time,lat,lon,vmax,mslp
2014-07-13 12:00:00,11.0,-128.5,20,1010
2014-07-13 15:00:00,11.0,-128.9,20,1010
2014-07-13 18:00:00,11.0,-129.4,20,1010
2014-07-13 21:00:00,11.0,-129.9,20,1010
2014-07-14 00:00:00,11.1,-130.3,20,1010
2014-07-14 03:00:00,11.2,-130.7,20,1010
2014-07-14 06:00:00,11.3,-131.1,20,1010
2014-07-14 09:00:00,11.4,-131.5,20,1010
2014-07-14 12:00:00,11.4,-132.0,20,1010
2014-07-14 15:00:00,11.4,-132.5,20,1010
2014-07-14 18:00:00,11.4,-132.9,20,1010
2014-07-14 21:00:00,11.4,-133.3,20,1010
2014-07-15 00:00:00,11.3,-133.7,20,1010
2014-07-15 03:00:00,11.2,-134.2,23,1010
2014-07-15 06:00:00,11.0,-134.7,25,1010
2014-07-15 09:00:00,10.9,-135.2,25,1010
2014-07-15 12:00:00,10.8,-135.7,25,1010
2014-07-15 15:00:00,10.8,-136.2,25,1010
2014-07-15 18:00:00,10.8,-136.7,25,1010
2014-07-15 21:00:00,10.8,-137.3,25,1010
2014-07-16 00:00:00,10.9,-137.8,25,1009
2014-07-16 03:00:00,10.9,-138.3,25,1009
2014-07-16 06:00:00,11.0,-138.7,25,1009
2014-07-16 09:00:00,11.1,-139.1,25,1009
2014-07-16 12:00:00,11.1,-139.5,25,1009
2014-07-16 15:00:00,11.1,-139.7,25,1009
2014-07-16 18:00:00,11.2,-139.9,25,1009
2014-07-16 21:00:00,11.3,-140.0,25,1009
2014-07-17 00:00:00,11.5,-140.1,25,1008
2014-07-17 03:00:00,11.6,-140.1,25,1008
2014-07-17 06:00:00,11.8,-140.1,25,1008
2014-07-17 09:00:00,12.0,-140.1,28,1008
2014-07-17 12:00:00,12.2,-140.2,30,1007
2014-07-17 15:00:00,12.3,-140.3,33,1006
2014-07-17 18:00:00,12.4,-140.4,35,1005
2014-07-17 21:00:00,12.7,-140.6,38,1004
2014-07-18 00:00:00,13.2,-140.8,40,1003
2014-07-18 03:00:00,13.7,-141.1,40,1003
2014-07-18 06:00:00,14.3,-141.5,40,1003
2014-07-18 09:00:00,14.7,-142.0,38,1004
2014-07-18 12:00:00,15.1,-142.6,35,1005
2014-07-18 15:00:00,15.4,-143.1,33,1006
2014-07-18 18:00:00,15.6,-143.6,30,1007
2014-07-18 21:00:00,15.8,-144.0,28,1008
2014-07-19 00:00:00,16.1,-144.4,25,1008
