time,lat,lon,vmax,mslp
2014-07-26 00:00:00,12.3,-104.9,30,1007
2014-07-26 03:00:00,12.8,-105.2,30,1007
2014-07-26 06:00:00,13.3,-105.6,30,1007
2014-07-26 09:00:00,13.8,-106.1,30,1007
2014-07-26 12:00:00,14.3,-106.6,30,1007
2014-07-26 15:00:00,14.7,-107.1,33,1006
2014-07-26 18:00:00,15.1,-107.6,35,1005
2014-07-26 21:00:00,15.4,-108.1,40,1003
2014-07-27 00:00:00,15.8,-108.5,45,1001
2014-07-27 03:00:00,16.2,-109.0,50,999
2014-07-27 06:00:00,16.6,-109.5,55,997
2014-07-27 09:00:00,17.0,-110.0,58,996
2014-07-27 12:00:00,17.5,-110.6,60,994
2014-07-27 15:00:00,17.9,-111.2,63,993
2014-07-27 18:00:00,18.3,-111.7,65,992
2014-07-27 21:00:00,18.7,-112.2,65,992
2014-07-28 00:00:00,19.0,-112.8,65,992
2014-07-28 03:00:00,19.3,-113.4,63,993
2014-07-28 06:00:00,19.6,-114.0,60,994
2014-07-28 09:00:00,19.9,-114.6,58,995
2014-07-28 12:00:00,20.3,-115.3,55,996
2014-07-28 15:00:00,20.6,-116.0,50,998
2014-07-28 18:00:00,21.0,-116.7,45,1000
2014-07-28 21:00:00,21.4,-117.4,43,1002
2014-07-29 00:00:00,21.8,-118.0,40,1004
2014-07-29 03:00:00,22.2,-118.7,38,1005
2014-07-29 06:00:00,22.5,-119.3,35,1006
2014-07-29 09:00:00,22.9,-119.9,33,1007
2014-07-29 12:00:00,23.2,-120.4,30,1008
2014-07-29 15:00:00,23.5,-120.9,28,1008
2014-07-29 18:00:00,23.8,-121.4,25,1008
2014-07-29 21:00:00,24.0,-121.9,25,1009
2014-07-30 00:00:00,24.1,-122.4,25,1009
2014-07-30 03:00:00,24.2,-122.8,25,1009
2014-07-30 06:00:00,24.3,-123.2,25,1009
2014-07-30 09:00:00,24.5,-123.6,25,1010
2014-07-30 12:00:00,24.7,-123.9,25,1010
2014-07-30 15:00:00,24.9,-124.2,25,1011
2014-07-30 18:00:00,25.1,-124.5,25,1011
2014-07-30 21:00:00,25.2,-124.8,23,1012
2014-07-31 00:00:00,25.3,-125.2,20,1012
2014-07-31 03:00:00,25.3,-125.6,20,1012
2014-07-31 06:00:00,25.3,-125.9,20,1012
