time,lat,lon,vmax,mslp
2014-08-02 00:00:00,12.5,-111.2,25,1008
2014-08-02 03:00:00,12.4,-111.1,25,1008
2014-08-02 06:00:00,12.5,-111.2,25,1008
2014-08-02 09:00:00,12.8,-111.5,25,1008
2014-08-02 12:00:00,13.2,-111.9,25,1008
2014-08-02 15:00:00,13.3,-112.2,25,1008
2014-08-02 18:00:00,13.4,-112.5,25,1008
2014-08-02 21:00:00,13.6,-112.8,25,1008
2014-08-03 00:00:00,13.7,-113.2,25,1008
2014-08-03 03:00:00,13.8,-113.6,25,1008
2014-08-03 06:00:00,13.8,-114.0,25,1008
2014-08-03 09:00:00,13.8,-114.4,25,1008
2014-08-03 12:00:00,13.8,-114.8,25,1008
2014-08-03 15:00:00,13.8,-115.2,25,1008
2014-08-03 18:00:00,13.7,-115.6,25,1007
2014-08-03 21:00:00,13.6,-116.1,28,1007
2014-08-04 00:00:00,13.5,-116.6,30,1006
2014-08-04 03:00:00,13.5,-117.1,33,1006
2014-08-04 06:00:00,13.5,-117.7,35,1005
2014-08-04 09:00:00,13.5,-118.4,38,1005
2014-08-04 12:00:00,13.5,-119.2,40,1004
2014-08-04 15:00:00,13.5,-120.0,43,1003
2014-08-04 18:00:00,13.5,-120.7,45,1002
2014-08-04 21:00:00,13.5,-121.3,48,1001
2014-08-05 00:00:00,13.5,-121.9,50,1000
2014-08-05 03:00:00,13.5,-122.5,50,1000
2014-08-05 06:00:00,13.6,-123.0,50,1000
2014-08-05 09:00:00,13.7,-123.5,50,1000
2014-08-05 12:00:00,13.8,-124.0,50,1000
2014-08-05 15:00:00,13.9,-124.6,53,999
2014-08-05 18:00:00,14.0,-125.3,55,997
2014-08-05 21:00:00,14.1,-126.0,58,995
2014-08-06 00:00:00,14.3,-126.8,60,993
2014-08-06 03:00:00,14.5,-127.5,63,991
2014-08-06 06:00:00,14.7,-128.2,65,989
2014-08-06 09:00:00,14.9,-129.0,68,987
2014-08-06 12:00:00,15.1,-129.7,70,985
2014-08-06 15:00:00,15.3,-130.4,73,983
2014-08-06 18:00:00,15.6,-131.1,75,981
2014-08-06 21:00:00,15.9,-131.8,78,980
2014-08-07 00:00:00,16.2,-132.5,80,979
2014-08-07 03:00:00,16.4,-133.3,83,977
2014-08-07 06:00:00,16.6,-134.1,85,975
2014-08-07 09:00:00,16.7,-134.9,88,973
2014-08-07 12:00:00,16.8,-135.6,90,971
2014-08-07 15:00:00,16.9,-136.3,93,969
2014-08-07 18:00:00,17.0,-137.0,95,966
2014-08-07 21:00:00,17.1,-137.7,98,965
2014-08-08 00:00:00,17.3,-138.4,100,963
2014-08-08 03:00:00,17.4,-139.1,103,962
2014-08-08 06:00:00,17.6,-139.8,105,960
2014-08-08 09:00:00,17.7,-140.5,103,962
2014-08-08 12:00:00,17.9,-141.2,100,964
2014-08-08 15:00:00,18.1,-141.9,98,966
2014-08-08 18:00:00,18.3,-142.6,95,968
2014-08-08 21:00:00,18.5,-143.3,93,970
2014-08-09 00:00:00,18.7,-144.0,90,972
2014-08-09 03:00:00,18.9,-144.7,88,974
2014-08-09 06:00:00,19.2,-145.4,85,976
2014-08-09 09:00:00,19.5,-146.1,85,977
2014-08-09 12:00:00,19.9,-146.8,85,978
2014-08-09 15:00:00,20.3,-147.5,85,979
2014-08-09 18:00:00,20.7,-148.2,85,980
2014-08-09 21:00:00,21.0,-148.9,83,981
2014-08-10 00:00:00,21.4,-149.6,80,981
2014-08-10 03:00:00,21.8,-150.2,80,982
2014-08-10 06:00:00,22.2,-150.7,80,982
2014-08-10 09:00:00,22.6,-151.2,80,983
2014-08-10 12:00:00,23.1,-151.7,80,983
2014-08-10 15:00:00,23.5,-152.1,80,983
2014-08-10 18:00:00,24.0,-152.5,80,982
2014-08-10 21:00:00,24.5,-152.9,78,983
2014-08-11 00:00:00,24.9,-153.3,75,984
2014-08-11 03:00:00,25.3,-153.7,73,985
2014-08-11 06:00:00,25.6,-154.0,70,986
2014-08-11 09:00:00,26.0,-154.4,68,987
2014-08-11 12:00:00,26.3,-154.7,65,988
2014-08-11 15:00:00,26.6,-155.1,65,988
2014-08-11 18:00:00,26.9,-155.4,65,988
2014-08-11 21:00:00,27.2,-155.7,63,989
2014-08-12 00:00:00,27.4,-156.0,60,990
2014-08-12 03:00:00,27.7,-156.3,60,991
2014-08-12 06:00:00,27.9,-156.6,60,991
2014-08-12 09:00:00,28.1,-156.8,58,993
2014-08-12 12:00:00,28.2,-156.9,55,994
2014-08-12 15:00:00,28.4,-157.1,55,994
2014-08-12 18:00:00,28.6,-157.3,55,994
2014-08-12 21:00:00,28.9,-157.6,58,993
2014-08-13 00:00:00,29.2,-157.9,60,991
2014-08-13 03:00:00,29.5,-158.2,63,989
2014-08-13 06:00:00,29.7,-158.4,65,987
2014-08-13 09:00:00,29.9,-158.7,65,986
2014-08-13 12:00:00,30.1,-158.9,65,985
2014-08-13 15:00:00,30.3,-159.1,68,984
2014-08-13 18:00:00,30.5,-159.2,70,983
2014-08-13 21:00:00,30.7,-159.2,68,985
2014-08-14 00:00:00,30.8,-159.2,65,986
2014-08-14 03:00:00,31.0,-159.1,63,988
2014-08-14 06:00:00,31.1,-158.9,60,989
2014-08-14 09:00:00,31.2,-158.7,58,991
2014-08-14 12:00:00,31.3,-158.4,55,993
2014-08-14 15:00:00,31.4,-158.2,53,995
2014-08-14 18:00:00,31.5,-158.0,50,996
2014-08-14 21:00:00,31.6,-157.8,48,998
2014-08-15 00:00:00,31.8,-157.6,45,999
2014-08-15 03:00:00,32.0,-157.5,43,1001
2014-08-15 06:00:00,32.1,-157.5,40,1002
2014-08-15 09:00:00,32.2,-157.5,35,1004
2014-08-15 12:00:00,32.3,-157.5,30,1005
2014-08-15 15:00:00,32.4,-157.5,30,1006
2014-08-15 18:00:00,32.5,-157.6,30,1007
2014-08-15 21:00:00,32.6,-157.7,30,1008
2014-08-16 00:00:00,32.8,-157.8,30,1008
2014-08-16 03:00:00,32.9,-158.0,30,1009
2014-08-16 06:00:00,33.1,-158.2,30,1009
2014-08-16 09:00:00,33.3,-158.4,30,1010
2014-08-16 12:00:00,33.4,-158.7,30,1010
2014-08-16 15:00:00,33.5,-159.0,28,1011
2014-08-16 18:00:00,33.6,-159.2,25,1011
2014-08-16 21:00:00,33.8,-159.3,25,1012
2014-08-17 00:00:00,34.1,-159.4,25,1012
2014-08-17 03:00:00,34.3,-159.4,25,1013
2014-08-17 06:00:00,34.6,-159.4,25,1013
2014-08-17 09:00:00,35.0,-159.3,25,1014
2014-08-17 12:00:00,35.5,-159.2,25,1014
2014-08-17 15:00:00,36.0,-159.2,23,1014
2014-08-17 18:00:00,36.5,-159.2,20,1014
2014-08-17 21:00:00,37.0,-159.1,20,1014
2014-08-18 00:00:00,37.6,-159.0,20,1014
2014-08-18 03:00:00,38.2,-158.8,20,1014
2014-08-18 06:00:00,38.8,-158.5,20,1014
