time,lat,lon,vmax,mslp
2014-08-22 00:00:00,12.3,-98.8,30,1007
2014-08-22 03:00:00,12.5,-99.5,33,1007
2014-08-22 06:00:00,12.6,-100.3,35,1006
2014-08-22 09:00:00,12.7,-101.1,40,1004
2014-08-22 12:00:00,12.9,-101.8,45,1002
2014-08-22 15:00:00,13.0,-102.4,48,1001
2014-08-22 18:00:00,13.2,-103.0,50,1000
2014-08-22 21:00:00,13.3,-103.6,55,998
2014-08-23 00:00:00,13.5,-104.1,60,995
2014-08-23 03:00:00,13.7,-104.6,63,994
2014-08-23 06:00:00,13.9,-105.1,65,992
2014-08-23 09:00:00,14.1,-105.6,70,988
2014-08-23 12:00:00,14.3,-106.1,75,983
2014-08-23 15:00:00,14.5,-106.6,78,981
2014-08-23 18:00:00,14.8,-107.1,80,979
2014-08-23 21:00:00,15.2,-107.6,85,975
2014-08-24 00:00:00,15.5,-108.2,90,971
2014-08-24 03:00:00,15.7,-108.8,103,958
2014-08-24 06:00:00,15.9,-109.4,115,944
2014-08-24 09:00:00,16.0,-110.1,123,937
2014-08-24 12:00:00,16.0,-110.8,130,929
2014-08-24 15:00:00,15.9,-111.4,135,924
2014-08-24 18:00:00,15.9,-111.9,140,918
2014-08-24 21:00:00,16.0,-112.2,138,920
2014-08-25 00:00:00,16.3,-112.5,135,922
2014-08-25 03:00:00,16.6,-112.9,133,925
2014-08-25 06:00:00,16.9,-113.4,130,927
2014-08-25 09:00:00,17.2,-113.8,128,930
2014-08-25 12:00:00,17.5,-114.3,125,932
2014-08-25 15:00:00,17.8,-114.8,120,936
2014-08-25 18:00:00,18.1,-115.3,115,939
2014-08-25 21:00:00,18.4,-115.8,108,946
2014-08-26 00:00:00,18.8,-116.2,100,952
2014-08-26 03:00:00,19.2,-116.7,95,957
2014-08-26 06:00:00,19.6,-117.2,90,961
2014-08-26 09:00:00,20.0,-117.8,88,963
2014-08-26 12:00:00,20.4,-118.4,85,965
2014-08-26 15:00:00,20.7,-119.0,85,967
2014-08-26 18:00:00,20.9,-119.6,85,968
2014-08-26 21:00:00,21.1,-120.2,83,970
2014-08-27 00:00:00,21.2,-120.8,80,971
2014-08-27 03:00:00,21.4,-121.4,78,973
2014-08-27 06:00:00,21.6,-122.0,75,974
2014-08-27 09:00:00,21.8,-122.6,70,977
2014-08-27 12:00:00,22.1,-123.2,65,980
2014-08-27 15:00:00,22.4,-123.8,60,985
2014-08-27 18:00:00,22.7,-124.4,55,989
2014-08-27 21:00:00,23.0,-125.1,53,991
2014-08-28 00:00:00,23.4,-125.8,50,992
2014-08-28 03:00:00,23.7,-126.5,48,994
2014-08-28 06:00:00,24.1,-127.2,45,995
2014-08-28 09:00:00,24.4,-127.9,43,996
2014-08-28 12:00:00,24.8,-128.5,40,997
2014-08-28 15:00:00,25.2,-129.2,38,999
2014-08-28 18:00:00,25.6,-129.8,35,1000
2014-08-28 21:00:00,26.0,-130.4,35,1001
2014-08-29 00:00:00,26.5,-131.0,35,1002
2014-08-29 03:00:00,26.9,-131.6,35,1002
2014-08-29 06:00:00,27.3,-132.1,35,1002
2014-08-29 09:00:00,27.7,-132.5,33,1002
2014-08-29 12:00:00,28.2,-132.8,30,1002
2014-08-29 15:00:00,28.7,-133.1,30,1003
2014-08-29 18:00:00,29.1,-133.3,30,1003
2014-08-29 21:00:00,29.5,-133.5,28,1004
2014-08-30 00:00:00,29.8,-133.7,25,1004
2014-08-30 03:00:00,30.2,-133.9,25,1005
2014-08-30 06:00:00,30.5,-134.1,25,1005
2014-08-30 09:00:00,30.8,-134.3,25,1005
2014-08-30 12:00:00,31.0,-134.5,25,1005
2014-08-30 15:00:00,31.2,-134.8,25,1006
2014-08-30 18:00:00,31.3,-135.1,25,1006
2014-08-30 21:00:00,31.4,-135.5,25,1007
2014-08-31 00:00:00,31.4,-135.9,25,1007
2014-08-31 03:00:00,31.4,-136.3,25,1008
2014-08-31 06:00:00,31.4,-136.6,25,1008
2014-08-31 09:00:00,31.4,-136.9,25,1009
2014-08-31 12:00:00,31.4,-137.1,25,1009
2014-08-31 15:00:00,31.4,-137.3,25,1010
2014-08-31 18:00:00,31.4,-137.5,25,1010
2014-08-31 21:00:00,31.4,-137.7,25,1011
2014-09-01 00:00:00,31.4,-137.9,25,1011
2014-09-01 03:00:00,31.4,-138.1,25,1011
2014-09-01 06:00:00,31.4,-138.3,25,1011
2014-09-01 09:00:00,31.4,-138.5,25,1011
2014-09-01 12:00:00,31.3,-138.8,25,1011
2014-09-01 15:00:00,31.2,-139.1,25,1011
2014-09-01 18:00:00,31.0,-139.3,25,1011
2014-09-01 21:00:00,30.9,-139.5,25,1011
2014-09-02 00:00:00,30.8,-139.7,25,1011
2014-09-02 03:00:00,30.7,-139.9,25,1012
2014-09-02 06:00:00,30.6,-140.1,25,1012
