time,lat,lon,vmax,mslp
2014-09-02 12:00:00,17.0,-106.5,35,1004
2014-09-02 15:00:00,17.5,-106.4,35,1004
2014-09-02 18:00:00,18.0,-106.4,35,1004
2014-09-02 21:00:00,18.5,-106.5,38,1004
2014-09-03 00:00:00,18.9,-106.7,40,1003
2014-09-03 03:00:00,19.2,-107.0,43,1002
2014-09-03 06:00:00,19.4,-107.3,45,1001
2014-09-03 09:00:00,19.5,-107.7,50,998
2014-09-03 12:00:00,19.5,-108.1,55,995
2014-09-03 15:00:00,19.5,-108.5,58,992
2014-09-03 18:00:00,19.5,-108.9,60,989
2014-09-03 21:00:00,19.6,-109.1,63,987
2014-09-04 00:00:00,19.7,-109.3,65,985
2014-09-04 03:00:00,19.9,-109.5,68,984
2014-09-04 06:00:00,20.1,-109.8,70,982
2014-09-04 09:00:00,20.2,-110.0,73,980
2014-09-04 12:00:00,20.4,-110.2,75,978
2014-09-04 15:00:00,20.6,-110.4,78,974
2014-09-04 18:00:00,20.9,-110.6,80,970
2014-09-04 21:00:00,21.2,-110.7,80,970
2014-09-05 00:00:00,21.5,-110.8,80,970
2014-09-05 03:00:00,21.8,-110.9,80,970
2014-09-05 06:00:00,22.1,-111.1,80,970
2014-09-05 09:00:00,22.4,-111.3,80,970
2014-09-05 12:00:00,22.8,-111.6,80,970
2014-09-05 15:00:00,23.2,-111.8,80,968
2014-09-05 18:00:00,23.5,-112.0,80,966
2014-09-05 21:00:00,23.8,-112.3,88,964
2014-09-06 00:00:00,24.0,-112.6,95,961
2014-09-06 03:00:00,24.2,-112.8,103,956
2014-09-06 06:00:00,24.4,-113.1,110,950
2014-09-06 09:00:00,24.6,-113.4,105,955
2014-09-06 12:00:00,24.8,-113.8,100,960
2014-09-06 15:00:00,25.0,-114.2,95,963
2014-09-06 18:00:00,25.1,-114.5,90,965
2014-09-06 21:00:00,25.2,-114.8,85,969
2014-09-07 00:00:00,25.3,-115.1,80,973
2014-09-07 03:00:00,25.4,-115.5,75,976
2014-09-07 06:00:00,25.6,-116.0,70,979
2014-09-07 09:00:00,25.7,-116.4,63,985
2014-09-07 12:00:00,25.9,-116.7,55,991
2014-09-07 15:00:00,26.1,-117.0,50,994
2014-09-07 18:00:00,26.3,-117.3,45,997
2014-09-07 21:00:00,26.5,-117.5,43,999
2014-09-08 00:00:00,26.8,-117.7,40,1000
2014-09-08 03:00:00,27.0,-117.9,38,1001
2014-09-08 06:00:00,27.2,-118.1,35,1001
2014-09-08 09:00:00,27.4,-118.3,33,1002
2014-09-08 12:00:00,27.5,-118.5,30,1002
2014-09-08 15:00:00,27.7,-118.6,30,1003
2014-09-08 18:00:00,27.9,-118.6,30,1003
2014-09-08 21:00:00,28.2,-118.6,28,1004
2014-09-09 00:00:00,28.5,-118.5,25,1004
2014-09-09 03:00:00,28.8,-118.5,23,1005
2014-09-09 06:00:00,29.0,-118.4,20,1006
2014-09-09 09:00:00,29.0,-118.3,20,1006
2014-09-09 12:00:00,28.8,-118.2,20,1006
2014-09-09 15:00:00,28.6,-118.2,20,1007
2014-09-09 18:00:00,28.4,-118.2,20,1007
2014-09-09 21:00:00,28.2,-118.1,20,1008
2014-09-10 00:00:00,28.1,-118.0,20,1008
2014-09-10 03:00:00,28.0,-117.8,20,1008
2014-09-10 06:00:00,27.9,-117.6,20,1008
2014-09-10 09:00:00,27.8,-117.5,20,1009
2014-09-10 12:00:00,27.6,-117.5,20,1009
2014-09-10 15:00:00,27.4,-117.5,20,1010
2014-09-10 18:00:00,27.2,-117.6,20,1010
2014-09-10 21:00:00,27.0,-117.7,20,1010
2014-09-11 00:00:00,26.9,-117.7,20,1010
