time,lat,lon,vmax,mslp
2014-09-09 12:00:00,13.5,-100.1,25,1007
2014-09-09 15:00:00,13.6,-100.5,28,1007
2014-09-09 18:00:00,13.7,-100.9,30,1006
2014-09-09 21:00:00,13.8,-101.3,30,1006
2014-09-10 00:00:00,14.0,-101.7,30,1005
2014-09-10 03:00:00,14.2,-102.1,33,1005
2014-09-10 06:00:00,14.4,-102.4,35,1004
2014-09-10 09:00:00,14.6,-102.6,38,1003
2014-09-10 12:00:00,14.8,-102.8,40,1002
2014-09-10 15:00:00,15.0,-103.0,40,1002
2014-09-10 18:00:00,15.2,-103.1,40,1002
2014-09-10 21:00:00,15.3,-103.3,40,1002
2014-09-11 00:00:00,15.4,-103.5,40,1001
2014-09-11 03:00:00,15.5,-103.7,43,1000
2014-09-11 06:00:00,15.5,-103.8,45,998
2014-09-11 09:00:00,15.5,-104.0,45,998
2014-09-11 12:00:00,15.4,-104.1,45,998
2014-09-11 15:00:00,15.3,-104.2,48,997
2014-09-11 18:00:00,15.3,-104.3,50,995
2014-09-11 21:00:00,15.3,-104.4,50,995
2014-09-12 00:00:00,15.3,-104.5,50,994
2014-09-12 03:00:00,15.3,-104.6,50,994
2014-09-12 06:00:00,15.4,-104.6,50,993
2014-09-12 09:00:00,15.4,-104.7,53,992
2014-09-12 12:00:00,15.5,-104.7,55,990
2014-09-12 15:00:00,15.6,-104.8,55,990
2014-09-12 18:00:00,15.6,-104.8,55,989
2014-09-12 21:00:00,15.6,-104.8,58,988
2014-09-13 00:00:00,15.7,-104.9,60,986
2014-09-13 03:00:00,15.8,-105.1,63,985
2014-09-13 06:00:00,16.0,-105.3,65,983
2014-09-13 09:00:00,16.1,-105.5,68,981
2014-09-13 12:00:00,16.3,-105.6,70,978
2014-09-13 15:00:00,16.5,-105.7,75,972
2014-09-13 18:00:00,16.7,-105.9,80,966
2014-09-13 21:00:00,17.1,-106.1,88,958
2014-09-14 00:00:00,17.6,-106.3,95,950
2014-09-14 03:00:00,18.1,-106.6,108,934
2014-09-14 06:00:00,18.5,-107.0,120,918
2014-09-14 09:00:00,18.9,-107.3,118,919
2014-09-14 12:00:00,19.4,-107.7,115,920
2014-09-14 15:00:00,20.0,-108.1,113,922
2014-09-14 18:00:00,20.7,-108.5,110,923
2014-09-14 21:00:00,21.4,-108.9,110,928
2014-09-15 00:00:00,22.0,-109.3,110,932
2014-09-15 03:00:00,22.5,-109.7,110,938
2014-09-15 04:45:00,22.9,-109.9,110,941
2014-09-15 06:00:00,23.3,-110.1,105,945
2014-09-15 09:00:00,23.9,-110.5,98,949
2014-09-15 12:00:00,24.2,-110.9,90,953
2014-09-15 15:00:00,24.6,-111.2,85,959
2014-09-15 18:00:00,25.1,-111.5,80,965
2014-09-15 21:00:00,25.6,-111.8,75,972
2014-09-16 00:00:00,26.1,-112.0,70,978
2014-09-16 03:00:00,26.6,-112.2,65,981
2014-09-16 06:00:00,27.0,-112.5,60,984
2014-09-16 09:00:00,27.5,-112.8,58,987
2014-09-16 12:00:00,27.9,-113.1,55,990
2014-09-16 15:00:00,28.4,-113.3,53,991
2014-09-16 18:00:00,28.8,-113.5,50,992
2014-09-16 21:00:00,29.1,-113.6,48,993
2014-09-17 00:00:00,29.4,-113.6,45,993
2014-09-17 03:00:00,29.7,-113.6,43,994
2014-09-17 06:00:00,29.9,-113.6,40,995
2014-09-17 09:00:00,30.2,-113.5,38,996
2014-09-17 12:00:00,30.4,-113.4,35,997
2014-09-17 15:00:00,30.6,-113.2,35,998
2014-09-17 16:30:00,30.7,-113.1,35,999
2014-09-17 18:00:00,30.8,-112.9,30,1001
2014-09-17 21:00:00,30.9,-112.5,28,1002
2014-09-18 00:00:00,31.0,-112.0,25,1003
