time,lat,lon,vmax,mslp
2014-09-16 00:00:00,11.4,-97.6,35,1007
2014-09-16 03:00:00,11.5,-97.9,38,1007
2014-09-16 06:00:00,11.6,-98.3,40,1006
2014-09-16 09:00:00,11.8,-98.7,40,1006
2014-09-16 12:00:00,12.1,-99.1,40,1005
2014-09-16 15:00:00,12.4,-99.6,43,1004
2014-09-16 18:00:00,12.8,-100.0,45,1003
2014-09-16 21:00:00,13.2,-100.4,45,1002
2014-09-17 00:00:00,13.6,-100.8,45,1000
2014-09-17 03:00:00,14.0,-101.2,45,999
2014-09-17 06:00:00,14.4,-101.5,45,998
2014-09-17 09:00:00,14.8,-101.9,48,996
2014-09-17 12:00:00,15.2,-102.3,50,994
2014-09-17 15:00:00,15.5,-102.7,55,990
2014-09-17 18:00:00,15.7,-103.1,60,986
2014-09-17 21:00:00,15.9,-103.6,63,983
2014-09-18 00:00:00,16.0,-104.0,65,979
2014-09-18 03:00:00,16.2,-104.4,65,979
2014-09-18 06:00:00,16.4,-104.7,65,979
2014-09-18 09:00:00,16.6,-105.0,65,980
2014-09-18 12:00:00,16.9,-105.2,65,980
2014-09-18 15:00:00,17.2,-105.4,63,981
2014-09-18 18:00:00,17.5,-105.6,60,981
2014-09-18 21:00:00,17.8,-105.8,60,982
2014-09-19 00:00:00,18.1,-106.1,60,982
2014-09-19 03:00:00,18.3,-106.4,60,983
2014-09-19 06:00:00,18.5,-106.7,60,983
2014-09-19 09:00:00,18.7,-107.0,60,984
2014-09-19 12:00:00,18.9,-107.2,60,985
2014-09-19 15:00:00,19.1,-107.4,60,986
2014-09-19 18:00:00,19.4,-107.6,60,987
2014-09-19 21:00:00,19.6,-107.8,58,989
2014-09-20 00:00:00,19.8,-107.9,55,990
2014-09-20 03:00:00,20.0,-108.0,53,993
2014-09-20 06:00:00,20.2,-108.2,50,995
2014-09-20 09:00:00,20.4,-108.4,48,998
2014-09-20 12:00:00,20.7,-108.6,45,1000
2014-09-20 15:00:00,20.9,-108.8,43,1001
2014-09-20 18:00:00,21.1,-109.1,40,1002
2014-09-20 21:00:00,21.3,-109.3,38,1003
2014-09-21 00:00:00,21.4,-109.6,35,1003
2014-09-21 03:00:00,21.5,-109.9,35,1003
2014-09-21 06:00:00,21.6,-110.2,35,1003
2014-09-21 09:00:00,21.8,-110.6,38,1003
2014-09-21 12:00:00,22.0,-111.0,40,1003
2014-09-21 15:00:00,22.2,-111.4,40,1003
2014-09-21 18:00:00,22.4,-111.8,40,1003
2014-09-21 21:00:00,22.5,-112.2,38,1003
2014-09-22 00:00:00,22.6,-112.7,35,1003
2014-09-22 03:00:00,22.6,-113.1,33,1004
2014-09-22 06:00:00,22.5,-113.5,30,1004
2014-09-22 09:00:00,22.4,-113.9,28,1005
2014-09-22 12:00:00,22.3,-114.2,25,1005
2014-09-22 15:00:00,22.2,-114.5,25,1006
2014-09-22 18:00:00,22.1,-114.8,25,1006
2014-09-22 21:00:00,22.0,-115.0,25,1007
2014-09-23 00:00:00,21.9,-115.1,25,1007
2014-09-23 03:00:00,21.8,-115.2,25,1007
2014-09-23 06:00:00,21.6,-115.4,25,1007
2014-09-23 09:00:00,21.5,-115.6,25,1007
2014-09-23 12:00:00,21.3,-115.7,25,1007
2014-09-23 15:00:00,21.2,-115.8,23,1007
2014-09-23 18:00:00,21.0,-115.8,20,1007
2014-09-23 21:00:00,20.8,-115.9,20,1007
2014-09-24 00:00:00,20.6,-115.9,20,1007
2014-09-24 03:00:00,20.4,-115.9,20,1007
2014-09-24 06:00:00,20.2,-116.0,20,1007
2014-09-24 09:00:00,20.0,-116.1,20,1007
2014-09-24 12:00:00,19.7,-116.2,20,1007
2014-09-24 15:00:00,19.5,-116.3,20,1007
2014-09-24 18:00:00,19.3,-116.4,20,1007
2014-09-24 21:00:00,19.1,-116.6,20,1007
2014-09-25 00:00:00,18.9,-116.9,20,1007
2014-09-25 03:00:00,18.7,-117.2,20,1007
2014-09-25 06:00:00,18.5,-117.5,20,1007
2014-09-25 09:00:00,18.3,-117.8,20,1007
2014-09-25 12:00:00,18.0,-118.2,20,1007
2014-09-25 15:00:00,17.7,-118.5,20,1007
2014-09-25 18:00:00,17.4,-118.8,20,1007
2014-09-25 21:00:00,17.1,-119.1,20,1007
2014-09-26 00:00:00,16.9,-119.5,20,1007
2014-09-26 03:00:00,16.7,-119.9,20,1007
2014-09-26 06:00:00,16.5,-120.2,20,1007
2014-09-26 09:00:00,16.3,-120.5,20,1007
2014-09-26 12:00:00,16.0,-120.8,20,1007
2014-09-26 15:00:00,15.7,-121.1,20,1007
2014-09-26 18:00:00,15.5,-121.4,20,1007
