time,lat,lon,vmax,mslp
2014-09-24 12:00:00,18.9,149.1,20.0,1002.0
2014-09-24 15:00:00,18.9,148.6,23.0,1003.0
2014-09-24 18:00:00,19.0,148.2,25.0,1004.0
2014-09-24 21:00:00,19.1,147.8,28.0,1002.0
2014-09-25 00:00:00,19.3,147.5,30.0,1000.0
2014-09-25 03:00:00,19.5,147.3,30.0,1000.0
2014-09-25 06:00:00,19.8,147.2,30.0,1000.0
2014-09-25 09:00:00,20.0,147.1,33.0,998.0
2014-09-25 12:00:00,20.2,146.9,35.0,996.0
2014-09-25 15:00:00,20.6,146.7,38.0,995.0
2014-09-25 18:00:00,21.0,146.5,40.0,993.0
2014-09-25 21:00:00,21.3,146.3,43.0,991.0
2014-09-26 00:00:00,21.7,146.2,45.0,989.0
2014-09-26 03:00:00,22.1,146.1,45.0,989.0
2014-09-26 06:00:00,22.5,145.9,45.0,988.0
2014-09-26 09:00:00,22.9,145.7,50.0,985.0
2014-09-26 12:00:00,23.4,145.5,55.0,982.0
2014-09-26 15:00:00,23.9,145.3,55.0,982.0
2014-09-26 18:00:00,24.4,145.0,55.0,982.0
2014-09-26 21:00:00,24.8,144.7,55.0,982.0
2014-09-27 00:00:00,25.3,144.5,55.0,982.0
2014-09-27 03:00:00,25.8,144.2,55.0,982.0
2014-09-27 06:00:00,26.3,144.0,55.0,982.0
2014-09-27 09:00:00,26.8,143.7,53.0,984.0
2014-09-27 12:00:00,27.4,143.5,50.0,985.0
2014-09-27 15:00:00,28.0,143.4,50.0,985.0
2014-09-27 18:00:00,28.6,143.4,50.0,985.0
2014-09-27 21:00:00,29.2,143.4,50.0,985.0
2014-09-28 00:00:00,29.8,143.5,50.0,985.0
2014-09-28 03:00:00,30.3,143.6,50.0,985.0
2014-09-28 06:00:00,30.7,143.8,50.0,985.0
2014-09-28 09:00:00,31.1,144.1,48.0,987.0
2014-09-28 12:00:00,31.6,144.4,45.0,989.0
2014-09-28 15:00:00,32.0,144.8,45.0,989.0
2014-09-28 18:00:00,32.5,145.2,45.0,989.0
2014-09-28 21:00:00,33.0,145.7,45.0,989.0
2014-09-29 00:00:00,33.6,146.4,45.0,989.0
2014-09-29 03:00:00,34.2,147.2,45.0,989.0
2014-09-29 06:00:00,34.8,148.1,45.0,989.0
2014-09-29 09:00:00,35.3,148.9,45.0,989.0
2014-09-29 12:00:00,35.9,149.8,45.0,989.0
2014-09-29 15:00:00,36.6,151.1,45.0,989.0
2014-09-29 18:00:00,37.3,152.6,45.0,989.0
2014-09-29 21:00:00,38.1,154.0,43.0,991.0
2014-09-30 00:00:00,38.9,155.4,40.0,993.0
