time,lat,lon,vmax,mslp
2014-09-27 18:00:00,9.5,159.5,20.0,1007.0
2014-09-27 21:00:00,9.9,159.0,20.0,1007.0
2014-09-28 00:00:00,10.3,158.4,20.0,1007.0
2014-09-28 03:00:00,10.7,157.6,23.0,1006.0
2014-09-28 06:00:00,11.0,156.7,25.0,1004.0
2014-09-28 09:00:00,11.4,155.8,25.0,1004.0
2014-09-28 12:00:00,11.7,155.0,25.0,1004.0
2014-09-28 15:00:00,12.0,154.2,28.0,1002.0
2014-09-28 18:00:00,12.3,153.5,30.0,1000.0
2014-09-28 21:00:00,12.5,152.8,33.0,998.0
2014-09-29 00:00:00,12.7,152.1,35.0,996.0
2014-09-29 03:00:00,12.9,151.6,38.0,995.0
2014-09-29 06:00:00,13.1,151.1,40.0,993.0
2014-09-29 09:00:00,13.3,150.7,40.0,993.0
2014-09-29 12:00:00,13.6,150.3,40.0,993.0
2014-09-29 15:00:00,13.9,149.9,40.0,993.0
2014-09-29 18:00:00,14.4,149.5,40.0,993.0
2014-09-29 21:00:00,15.1,149.0,43.0,991.0
2014-09-30 00:00:00,15.7,148.5,45.0,989.0
2014-09-30 03:00:00,16.1,147.9,43.0,991.0
2014-09-30 06:00:00,16.4,147.1,40.0,993.0
2014-09-30 09:00:00,16.4,146.2,43.0,991.0
2014-09-30 12:00:00,16.4,145.3,45.0,989.0
2014-09-30 15:00:00,16.4,144.7,45.0,989.0
2014-09-30 18:00:00,16.5,144.3,45.0,989.0
2014-09-30 21:00:00,16.8,144.0,50.0,986.0
2014-10-01 00:00:00,17.2,143.6,55.0,982.0
2014-10-01 03:00:00,17.8,143.1,60.0,978.0
2014-10-01 06:00:00,18.1,142.5,65.0,974.0
2014-10-01 09:00:00,18.3,141.9,68.0,972.0
2014-10-01 12:00:00,18.5,141.3,70.0,970.0
2014-10-01 15:00:00,18.7,140.7,80.0,963.0
2014-10-01 18:00:00,19.0,140.2,90.0,956.0
2014-10-01 21:00:00,19.3,139.6,103.0,947.0
2014-10-02 00:00:00,19.5,139.0,115.0,937.0
2014-10-02 03:00:00,19.6,138.6,115.0,937.0
2014-10-02 06:00:00,19.8,138.2,115.0,937.0
2014-10-02 09:00:00,20.2,137.6,110.0,941.0
2014-10-02 12:00:00,20.7,137.3,110.0,941.0
2014-10-02 15:00:00,21.1,136.9,110.0,941.0
2014-10-02 18:00:00,21.4,136.4,110.0,941.0
2014-10-02 21:00:00,21.8,135.9,108.0,943.0
2014-10-03 00:00:00,22.3,135.5,105.0,944.0
2014-10-03 03:00:00,22.7,135.0,105.0,944.0
2014-10-03 06:00:00,23.2,134.6,105.0,944.0
2014-10-03 09:00:00,23.7,134.2,105.0,944.0
2014-10-03 12:00:00,24.1,133.8,105.0,944.0
2014-10-03 15:00:00,24.4,133.5,110.0,941.0
2014-10-03 18:00:00,24.7,133.3,115.0,937.0
2014-10-03 21:00:00,25.0,133.0,125.0,930.0
2014-10-04 00:00:00,25.4,132.8,135.0,922.0
2014-10-04 03:00:00,25.7,132.6,128.0,928.0
2014-10-04 06:00:00,26.1,132.4,120.0,933.0
2014-10-04 09:00:00,26.6,132.1,118.0,935.0
2014-10-04 12:00:00,27.1,131.7,115.0,937.0
2014-10-04 15:00:00,27.6,131.3,113.0,939.0
2014-10-04 18:00:00,28.0,131.1,110.0,941.0
2014-10-04 21:00:00,28.5,131.1,105.0,945.0
2014-10-05 00:00:00,29.0,131.2,100.0,948.0
2014-10-05 03:00:00,29.6,131.4,95.0,952.0
2014-10-05 06:00:00,30.2,131.9,90.0,956.0
2014-10-05 09:00:00,30.8,132.5,88.0,958.0
2014-10-05 12:00:00,31.4,133.4,85.0,959.0
2014-10-05 15:00:00,32.2,134.4,83.0,961.0
2014-10-05 18:00:00,33.1,135.5,80.0,963.0
2014-10-05 21:00:00,33.9,136.7,75.0,967.0
2014-10-05 23:00:00,34.5,137.6,72.0,969.0
2014-10-06 00:00:00,34.8,138.2,70.0,970.0
2014-10-06 03:00:00,36.0,140.2,63.0,976.0
2014-10-06 06:00:00,37.2,142.6,55.0,982.0
2014-10-06 09:00:00,38.3,145.0,53.0,984.0
2014-10-06 12:00:00,39.3,147.4,50.0,985.0
