time,lat,lon,vmax,mslp
2014-09-30 12:00:00,14.7,-100.1,25,1008
2014-09-30 15:00:00,15.0,-100.5,25,1008
2014-09-30 18:00:00,15.2,-100.9,25,1007
2014-09-30 21:00:00,15.4,-101.3,25,1006
2014-10-01 00:00:00,15.7,-101.6,25,1005
2014-10-01 03:00:00,15.9,-102.0,25,1005
2014-10-01 06:00:00,16.2,-102.4,25,1005
2014-10-01 09:00:00,16.5,-102.8,25,1005
2014-10-01 12:00:00,16.7,-103.2,25,1005
2014-10-01 15:00:00,16.9,-103.6,25,1005
2014-10-01 18:00:00,17.1,-104.0,25,1004
2014-10-01 21:00:00,17.3,-104.4,28,1004
2014-10-02 00:00:00,17.5,-104.8,30,1003
2014-10-02 03:00:00,17.7,-105.2,33,1003
2014-10-02 06:00:00,17.9,-105.7,35,1002
2014-10-02 09:00:00,18.0,-106.2,35,1002
2014-10-02 12:00:00,18.1,-106.6,35,1002
2014-10-02 15:00:00,18.2,-107.0,38,1001
2014-10-02 18:00:00,18.2,-107.4,40,1000
2014-10-02 21:00:00,18.2,-107.7,43,1000
2014-10-03 00:00:00,18.2,-108.0,45,999
2014-10-03 03:00:00,18.2,-108.3,45,999
2014-10-03 06:00:00,18.3,-108.6,45,999
2014-10-03 09:00:00,18.3,-108.9,48,999
2014-10-03 12:00:00,18.4,-109.3,50,998
2014-10-03 15:00:00,18.5,-109.7,53,997
2014-10-03 18:00:00,18.7,-110.2,55,995
2014-10-03 21:00:00,18.8,-110.7,60,990
2014-10-04 00:00:00,19.0,-111.2,65,985
2014-10-04 03:00:00,19.1,-111.7,70,982
2014-10-04 06:00:00,19.3,-112.2,75,978
2014-10-04 09:00:00,19.5,-112.8,83,974
2014-10-04 12:00:00,19.8,-113.4,90,969
2014-10-04 15:00:00,20.0,-114.0,98,960
2014-10-04 18:00:00,20.3,-114.6,105,950
2014-10-04 21:00:00,20.6,-115.1,110,948
2014-10-05 00:00:00,21.0,-115.6,115,946
2014-10-05 03:00:00,21.4,-116.0,108,952
2014-10-05 06:00:00,21.8,-116.4,100,957
2014-10-05 09:00:00,22.1,-116.7,95,963
2014-10-05 12:00:00,22.4,-117.0,90,968
2014-10-05 15:00:00,22.8,-117.3,80,973
2014-10-05 18:00:00,23.1,-117.5,70,978
2014-10-05 21:00:00,23.4,-117.6,65,982
2014-10-06 00:00:00,23.6,-117.6,60,986
2014-10-06 03:00:00,23.9,-117.6,58,989
2014-10-06 06:00:00,24.2,-117.6,55,992
2014-10-06 09:00:00,24.5,-117.6,53,994
2014-10-06 12:00:00,24.8,-117.6,50,996
2014-10-06 15:00:00,25.1,-117.6,48,997
2014-10-06 18:00:00,25.4,-117.6,45,997
2014-10-06 21:00:00,25.7,-117.6,43,999
2014-10-07 00:00:00,26.0,-117.6,40,1000
2014-10-07 03:00:00,26.3,-117.5,40,1001
2014-10-07 06:00:00,26.6,-117.3,40,1001
2014-10-07 09:00:00,26.9,-117.1,38,1002
2014-10-07 12:00:00,27.1,-116.8,35,1002
2014-10-07 15:00:00,27.4,-116.6,35,1002
2014-10-07 18:00:00,27.6,-116.4,35,1002
2014-10-07 21:00:00,27.8,-116.2,33,1003
2014-10-08 00:00:00,27.9,-115.9,30,1003
2014-10-08 03:00:00,28.0,-115.6,30,1004
2014-10-08 06:00:00,28.1,-115.3,30,1004
2014-10-08 09:00:00,28.2,-115.0,28,1005
2014-10-08 12:00:00,28.3,-114.6,25,1005
2014-10-08 15:00:00,28.3,-114.3,25,1006
2014-10-08 18:00:00,28.2,-114.0,25,1006
2014-10-08 21:00:00,28.0,-113.7,23,1007
2014-10-09 00:00:00,27.7,-113.4,20,1007
