time,lat,lon,vmax,mslp
2014-10-17 06:00:00,13.9,-98.6,25,1007
2014-10-17 09:00:00,14.2,-98.7,28,1006
2014-10-17 12:00:00,14.6,-98.8,30,1005
2014-10-17 15:00:00,15.0,-98.9,33,1004
2014-10-17 18:00:00,15.3,-99.0,35,1003
2014-10-17 21:00:00,15.6,-99.0,38,1002
2014-10-18 00:00:00,15.8,-99.0,40,1001
2014-10-18 03:00:00,16.0,-99.0,45,1000
2014-10-18 06:00:00,16.2,-98.9,50,999
2014-10-18 09:00:00,16.5,-98.8,55,998
2014-10-18 09:15:00,16.5,-98.8,55,998
2014-10-18 12:00:00,16.7,-98.7,45,1001
2014-10-18 15:00:00,16.9,-98.6,38,1003
2014-10-18 18:00:00,17.1,-98.4,30,1005
2014-10-18 21:00:00,17.2,-98.3,28,1006
2014-10-19 00:00:00,17.3,-98.2,25,1007
