time,lat,lon,vmax,mslp
2014-10-29 18:00:00,10.7,-99.1,30,1007
2014-10-29 21:00:00,10.7,-99.4,30,1007
2014-10-30 00:00:00,10.8,-99.6,30,1007
2014-10-30 03:00:00,10.9,-99.8,30,1007
2014-10-30 06:00:00,11.0,-100.0,30,1006
2014-10-30 09:00:00,11.1,-100.2,30,1006
2014-10-30 12:00:00,11.2,-100.3,30,1006
2014-10-30 15:00:00,11.2,-100.5,33,1006
2014-10-30 18:00:00,11.1,-100.6,35,1005
2014-10-30 21:00:00,11.0,-100.6,38,1005
2014-10-31 00:00:00,10.8,-100.5,40,1004
2014-10-31 03:00:00,10.6,-100.4,43,1003
2014-10-31 06:00:00,10.4,-100.4,45,1002
2014-10-31 09:00:00,10.1,-100.5,45,1002
2014-10-31 12:00:00,9.9,-100.7,45,1002
2014-10-31 15:00:00,9.7,-100.9,43,1003
2014-10-31 18:00:00,9.6,-101.2,40,1004
2014-10-31 21:00:00,9.5,-101.4,40,1004
2014-11-01 00:00:00,9.4,-101.7,40,1004
2014-11-01 03:00:00,9.4,-102.0,38,1005
2014-11-01 06:00:00,9.4,-102.3,35,1005
2014-11-01 09:00:00,9.5,-102.6,35,1005
2014-11-01 12:00:00,9.6,-103.0,35,1005
2014-11-01 15:00:00,9.7,-103.4,38,1005
2014-11-01 18:00:00,9.8,-103.8,40,1004
2014-11-01 21:00:00,10.0,-104.3,43,1003
2014-11-02 00:00:00,10.2,-104.8,45,1001
2014-11-02 03:00:00,10.4,-105.4,50,1000
2014-11-02 06:00:00,10.7,-106.0,55,998
2014-11-02 09:00:00,11.0,-106.6,60,996
2014-11-02 12:00:00,11.4,-107.1,65,994
2014-11-02 15:00:00,11.8,-107.7,70,990
2014-11-02 18:00:00,12.2,-108.2,75,986
2014-11-02 21:00:00,12.6,-108.7,83,980
2014-11-03 00:00:00,13.1,-109.2,90,973
2014-11-03 03:00:00,13.5,-109.6,90,972
2014-11-03 06:00:00,14.0,-110.0,90,971
2014-11-03 09:00:00,14.4,-110.3,90,970
2014-11-03 12:00:00,14.9,-110.6,90,969
2014-11-03 15:00:00,15.4,-110.8,93,967
2014-11-03 18:00:00,15.9,-110.9,95,964
2014-11-03 21:00:00,16.4,-110.9,95,964
2014-11-04 00:00:00,16.9,-110.8,95,964
2014-11-04 03:00:00,17.4,-110.6,93,966
2014-11-04 06:00:00,17.9,-110.3,90,968
2014-11-04 09:00:00,18.4,-109.9,88,970
2014-11-04 12:00:00,18.9,-109.5,85,972
2014-11-04 15:00:00,19.4,-109.1,73,981
2014-11-04 18:00:00,19.9,-108.7,60,990
2014-11-04 21:00:00,20.3,-108.3,50,996
2014-11-05 00:00:00,20.7,-108.0,40,1002
2014-11-05 03:00:00,21.1,-107.7,35,1003
2014-11-05 06:00:00,21.5,-107.3,30,1004
