time,lat,lon,vmax,mslp
2015-05-06 18:00:00,4.5,158.9,25.0,1004.0
2015-05-06 21:00:00,4.2,159.2,25.0,1004.0
2015-05-07 00:00:00,3.9,159.5,25.0,1004.0
2015-05-07 03:00:00,3.6,159.9,25.0,1004.0
2015-05-07 06:00:00,3.4,160.3,25.0,1004.0
2015-05-07 09:00:00,3.4,160.5,28.0,1002.0
2015-05-07 12:00:00,3.4,160.7,30.0,1000.0
2015-05-07 15:00:00,3.4,161.0,30.0,1000.0
2015-05-07 18:00:00,3.5,161.4,30.0,1000.0
2015-05-07 21:00:00,3.5,161.7,30.0,1000.0
2015-05-08 00:00:00,3.6,161.9,30.0,1000.0
2015-05-08 03:00:00,3.6,162.1,30.0,1000.0
2015-05-08 06:00:00,3.7,162.2,30.0,1000.0
2015-05-08 09:00:00,3.8,162.4,33.0,998.0
2015-05-08 12:00:00,3.9,162.5,35.0,996.0
2015-05-08 15:00:00,4.0,162.6,35.0,996.0
2015-05-08 18:00:00,4.2,162.6,35.0,996.0
2015-05-08 21:00:00,4.3,162.6,35.0,996.0
2015-05-09 00:00:00,4.5,162.5,35.0,996.0
2015-05-09 03:00:00,4.7,162.5,35.0,996.0
2015-05-09 06:00:00,4.9,162.4,35.0,996.0
2015-05-09 09:00:00,5.3,162.2,35.0,996.0
2015-05-09 12:00:00,5.7,162.0,35.0,996.0
2015-05-09 15:00:00,5.9,161.7,35.0,996.0
2015-05-09 18:00:00,6.1,161.3,35.0,996.0
2015-05-09 21:00:00,6.3,160.9,35.0,996.0
2015-05-10 00:00:00,6.5,160.6,35.0,996.0
2015-05-10 03:00:00,6.7,160.4,38.0,995.0
2015-05-10 06:00:00,6.9,160.3,40.0,993.0
2015-05-10 09:00:00,7.3,160.2,43.0,991.0
2015-05-10 12:00:00,7.7,160.2,45.0,989.0
2015-05-10 15:00:00,8.2,160.1,43.0,991.0
2015-05-10 18:00:00,8.7,160.0,40.0,993.0
2015-05-10 21:00:00,9.1,159.9,40.0,993.0
2015-05-11 00:00:00,9.4,159.8,40.0,993.0
2015-05-11 03:00:00,9.7,159.8,40.0,993.0
2015-05-11 06:00:00,9.9,159.7,40.0,993.0
2015-05-11 09:00:00,10.0,159.5,40.0,993.0
2015-05-11 12:00:00,10.1,159.2,40.0,993.0
2015-05-11 15:00:00,10.1,159.2,40.0,993.0
2015-05-11 18:00:00,10.1,159.1,40.0,993.0
2015-05-11 21:00:00,10.1,158.8,40.0,993.0
2015-05-12 00:00:00,10.1,158.5,40.0,993.0
2015-05-12 03:00:00,10.1,158.2,43.0,991.0
2015-05-12 06:00:00,10.0,157.9,45.0,989.0
2015-05-12 09:00:00,9.9,157.6,45.0,989.0
2015-05-12 12:00:00,9.8,157.4,45.0,989.0
2015-05-12 15:00:00,9.8,157.2,50.0,986.0
2015-05-12 18:00:00,9.9,157.0,55.0,982.0
2015-05-12 21:00:00,10.0,156.6,60.0,978.0
2015-05-13 00:00:00,10.1,156.2,65.0,974.0
2015-05-13 03:00:00,10.2,155.8,73.0,969.0
2015-05-13 06:00:00,10.3,155.3,80.0,963.0
2015-05-13 09:00:00,10.4,154.7,83.0,961.0
2015-05-13 12:00:00,10.6,154.2,85.0,959.0
2015-05-13 15:00:00,10.8,153.9,88.0,958.0
2015-05-13 18:00:00,11.0,153.5,90.0,956.0
