time,lat,lon,vmax,mslp
2015-07-06 18:00:00,7.8,-165.6,20,1008
2015-07-06 21:00:00,7.7,-166.0,20,1008
2015-07-07 00:00:00,7.6,-166.3,20,1008
2015-07-07 03:00:00,7.5,-166.6,23,1008
2015-07-07 06:00:00,7.5,-166.8,25,1007
2015-07-07 09:00:00,7.5,-167.0,25,1007
2015-07-07 12:00:00,7.6,-167.1,25,1007
2015-07-07 15:00:00,7.7,-167.2,25,1007
2015-07-07 18:00:00,7.8,-167.2,25,1007
2015-07-07 21:00:00,7.9,-167.2,25,1007
2015-07-08 00:00:00,8.1,-167.2,25,1007
2015-07-08 03:00:00,8.4,-167.1,25,1007
2015-07-08 06:00:00,8.7,-167.0,25,1007
2015-07-08 09:00:00,9.1,-166.9,25,1007
2015-07-08 12:00:00,9.4,-166.8,25,1007
2015-07-08 15:00:00,9.7,-166.7,25,1007
2015-07-08 18:00:00,9.9,-166.6,25,1007
2015-07-08 21:00:00,10.1,-166.6,25,1007
2015-07-09 00:00:00,10.3,-166.6,25,1007
2015-07-09 03:00:00,10.6,-166.7,25,1007
2015-07-09 06:00:00,10.9,-167.0,25,1007
2015-07-09 09:00:00,11.0,-167.4,25,1007
2015-07-09 12:00:00,11.1,-167.8,25,1007
2015-07-09 15:00:00,11.2,-168.2,28,1007
2015-07-09 18:00:00,11.3,-168.6,30,1006
2015-07-09 21:00:00,11.4,-168.9,30,1006
2015-07-10 00:00:00,11.4,-169.2,30,1006
2015-07-10 03:00:00,11.5,-169.5,30,1006
2015-07-10 06:00:00,11.5,-169.9,30,1006
2015-07-10 09:00:00,11.5,-170.3,30,1006
2015-07-10 12:00:00,11.5,-170.7,30,1006
2015-07-10 15:00:00,11.5,-171.1,30,1006
2015-07-10 18:00:00,11.5,-171.6,30,1006
2015-07-10 21:00:00,11.5,-172.1,33,1005
2015-07-11 00:00:00,11.4,-172.7,35,1004
2015-07-11 03:00:00,11.3,-173.3,35,1004
2015-07-11 06:00:00,11.2,-173.9,35,1004
2015-07-11 09:00:00,11.0,-174.4,38,1004
