time,lat,lon,vmax,mslp
2015-07-12 12:00:00,13.1,-125.0,30,1005
2015-07-12 15:00:00,13.3,-125.3,30,1005
2015-07-12 18:00:00,13.5,-125.5,30,1005
2015-07-12 21:00:00,13.7,-125.7,30,1005
2015-07-13 00:00:00,14.0,-125.8,30,1005
2015-07-13 03:00:00,14.3,-125.9,33,1005
2015-07-13 06:00:00,14.7,-126.1,35,1004
2015-07-13 09:00:00,15.1,-126.3,35,1004
2015-07-13 12:00:00,15.6,-126.5,35,1004
2015-07-13 15:00:00,16.0,-126.8,35,1004
2015-07-13 18:00:00,16.3,-127.2,35,1004
2015-07-13 21:00:00,16.5,-127.6,35,1004
2015-07-14 00:00:00,16.7,-128.0,35,1003
2015-07-14 03:00:00,16.9,-128.4,38,1003
2015-07-14 06:00:00,17.1,-128.7,40,1002
2015-07-14 09:00:00,17.3,-129.1,40,1002
2015-07-14 12:00:00,17.5,-129.4,40,1001
2015-07-14 15:00:00,17.7,-129.7,43,1001
2015-07-14 18:00:00,17.9,-130.1,45,1000
2015-07-14 21:00:00,18.1,-130.5,45,1000
2015-07-15 00:00:00,18.2,-130.9,45,1000
2015-07-15 03:00:00,18.3,-131.4,45,1001
2015-07-15 06:00:00,18.5,-131.8,45,1001
2015-07-15 09:00:00,18.7,-132.2,43,1002
2015-07-15 12:00:00,18.8,-132.6,40,1003
2015-07-15 15:00:00,18.9,-133.0,38,1004
2015-07-15 18:00:00,19.0,-133.3,35,1004
2015-07-15 21:00:00,19.0,-133.7,35,1004
2015-07-16 00:00:00,19.1,-134.0,35,1004
2015-07-16 03:00:00,19.2,-134.4,35,1004
2015-07-16 06:00:00,19.3,-134.7,35,1004
2015-07-16 09:00:00,19.5,-135.0,35,1004
2015-07-16 12:00:00,19.7,-135.3,35,1004
2015-07-16 15:00:00,19.9,-135.5,35,1005
2015-07-16 18:00:00,20.1,-135.7,35,1005
2015-07-16 21:00:00,20.3,-135.9,35,1006
2015-07-17 00:00:00,20.4,-136.1,35,1006
2015-07-17 03:00:00,20.5,-136.3,35,1006
2015-07-17 06:00:00,20.5,-136.5,35,1006
2015-07-17 09:00:00,20.5,-136.7,33,1006
2015-07-17 12:00:00,20.5,-136.8,30,1006
2015-07-17 15:00:00,20.5,-136.9,30,1007
2015-07-17 18:00:00,20.5,-137.0,30,1007
2015-07-17 21:00:00,20.5,-137.1,30,1007
2015-07-18 00:00:00,20.4,-137.2,30,1007
2015-07-18 03:00:00,20.3,-137.3,30,1007
2015-07-18 06:00:00,20.2,-137.3,30,1007
2015-07-18 09:00:00,20.1,-137.4,30,1007
2015-07-18 12:00:00,20.0,-137.4,30,1007
2015-07-18 15:00:00,19.9,-137.4,28,1008
2015-07-18 18:00:00,19.8,-137.3,25,1008
2015-07-18 21:00:00,19.7,-137.2,25,1008
2015-07-19 00:00:00,19.6,-137.0,25,1008
2015-07-19 03:00:00,19.5,-136.8,25,1008
2015-07-19 06:00:00,19.5,-136.7,25,1008
2015-07-19 09:00:00,19.5,-136.6,25,1008
2015-07-19 12:00:00,19.5,-136.6,25,1008
2015-07-19 15:00:00,19.5,-136.5,23,1008
2015-07-19 18:00:00,19.6,-136.4,20,1008
2015-07-19 21:00:00,19.7,-136.3,20,1008
2015-07-20 00:00:00,19.8,-136.2,20,1008
2015-07-20 03:00:00,19.9,-136.1,20,1008
2015-07-20 06:00:00,20.0,-136.1,20,1008
2015-07-20 09:00:00,20.2,-136.1,20,1008
2015-07-20 12:00:00,20.4,-136.2,20,1008
2015-07-20 15:00:00,20.7,-136.3,20,1008
2015-07-20 18:00:00,20.9,-136.4,20,1008
2015-07-20 21:00:00,21.1,-136.5,20,1008
2015-07-21 00:00:00,21.3,-136.6,20,1008
2015-07-21 03:00:00,21.5,-136.8,20,1009
2015-07-21 06:00:00,21.7,-137.0,20,1010
2015-07-21 09:00:00,21.9,-137.3,20,1010
2015-07-21 12:00:00,22.1,-137.6,20,1010
2015-07-21 15:00:00,22.3,-138.0,20,1010
2015-07-21 18:00:00,22.4,-138.5,20,1010
