time,lat,lon,vmax,mslp
2015-08-06 00:00:00,12.4,-129.2,30,1006
2015-08-06 03:00:00,12.4,-129.7,30,1006
2015-08-06 06:00:00,12.5,-130.3,30,1006
2015-08-06 09:00:00,12.6,-130.9,33,1005
2015-08-06 12:00:00,12.6,-131.5,35,1004
2015-08-06 15:00:00,12.6,-132.2,40,1003
2015-08-06 18:00:00,12.6,-132.8,45,1001
2015-08-06 21:00:00,12.6,-133.4,48,1000
2015-08-07 00:00:00,12.6,-133.9,50,999
2015-08-07 03:00:00,12.6,-134.4,53,998
2015-08-07 06:00:00,12.6,-135.0,55,997
2015-08-07 09:00:00,12.5,-135.6,58,996
2015-08-07 12:00:00,12.5,-136.3,60,994
2015-08-07 15:00:00,12.5,-136.9,68,991
2015-08-07 18:00:00,12.6,-137.6,75,987
2015-08-07 21:00:00,12.7,-138.3,88,977
2015-08-08 00:00:00,12.8,-139.0,100,967
2015-08-08 03:00:00,12.9,-139.7,100,967
2015-08-08 06:00:00,13.1,-140.3,100,966
2015-08-08 09:00:00,13.2,-140.9,105,960
2015-08-08 12:00:00,13.3,-141.5,110,953
2015-08-08 15:00:00,13.4,-142.2,118,945
2015-08-08 18:00:00,13.6,-142.8,125,937
2015-08-08 21:00:00,13.7,-143.4,123,942
2015-08-09 00:00:00,13.9,-144.0,120,946
2015-08-09 03:00:00,14.0,-144.6,118,948
2015-08-09 06:00:00,14.2,-145.2,115,950
2015-08-09 09:00:00,14.3,-145.7,108,957
2015-08-09 12:00:00,14.5,-146.2,100,963
2015-08-09 15:00:00,14.6,-146.7,98,964
2015-08-09 18:00:00,14.8,-147.1,95,964
2015-08-09 21:00:00,14.9,-147.5,93,967
2015-08-10 00:00:00,15.1,-147.9,90,970
2015-08-10 03:00:00,15.3,-148.3,88,972
2015-08-10 06:00:00,15.5,-148.7,85,974
2015-08-10 09:00:00,15.7,-149.1,85,974
2015-08-10 12:00:00,15.9,-149.4,85,974
2015-08-10 15:00:00,16.0,-149.7,83,975
2015-08-10 18:00:00,16.2,-150.0,80,976
2015-08-10 21:00:00,16.4,-150.3,80,977
2015-08-11 00:00:00,16.6,-150.5,80,978
2015-08-11 03:00:00,16.7,-150.7,80,980
2015-08-11 06:00:00,16.8,-150.8,80,981
2015-08-11 09:00:00,16.9,-151.0,78,983
2015-08-11 12:00:00,17.0,-151.1,75,985
2015-08-11 15:00:00,17.0,-151.3,70,987
2015-08-11 18:00:00,17.0,-151.4,65,989
2015-08-11 21:00:00,17.0,-151.5,60,991
2015-08-12 00:00:00,17.1,-151.5,55,992
2015-08-12 03:00:00,17.1,-151.5,53,993
2015-08-12 06:00:00,17.2,-151.5,50,994
2015-08-12 09:00:00,17.3,-151.6,48,996
2015-08-12 12:00:00,17.4,-151.7,45,998
2015-08-12 15:00:00,17.4,-151.7,43,1000
2015-08-12 18:00:00,17.3,-151.8,40,1002
2015-08-12 21:00:00,17.3,-152.0,40,1003
2015-08-13 00:00:00,17.3,-152.2,40,1003
2015-08-13 03:00:00,17.3,-152.3,40,1003
2015-08-13 06:00:00,17.2,-152.4,40,1003
2015-08-13 09:00:00,17.1,-152.8,38,1004
2015-08-13 12:00:00,16.9,-153.3,35,1005
2015-08-13 15:00:00,16.7,-153.7,33,1006
2015-08-13 18:00:00,16.5,-154.2,30,1007
2015-08-13 21:00:00,16.2,-154.8,28,1008
2015-08-14 00:00:00,16.0,-155.3,25,1008
2015-08-14 03:00:00,15.8,-155.7,25,1008
2015-08-14 06:00:00,15.7,-156.2,25,1008
2015-08-14 09:00:00,15.6,-156.9,25,1008
2015-08-14 12:00:00,15.5,-157.7,25,1008
2015-08-14 15:00:00,15.4,-158.4,23,1008
2015-08-14 18:00:00,15.2,-159.0,20,1008
