time,lat,lon,vmax,mslp
2015-08-06 18:00:00,20.2,148.4,20.0,1003.0
2015-08-06 21:00:00,20.9,148.1,23.0,1003.0
2015-08-07 00:00:00,21.5,147.9,25.0,1002.0
2015-08-07 03:00:00,22.1,147.7,25.0,1003.0
2015-08-07 06:00:00,22.7,147.4,25.0,1004.0
2015-08-07 09:00:00,23.5,147.1,28.0,1002.0
2015-08-07 12:00:00,24.3,146.7,30.0,1000.0
2015-08-07 15:00:00,24.9,146.2,30.0,1000.0
2015-08-07 18:00:00,25.3,145.6,30.0,1000.0
2015-08-07 21:00:00,25.7,144.8,33.0,998.0
2015-08-08 00:00:00,26.0,144.2,35.0,996.0
2015-08-08 03:00:00,26.2,144.1,35.0,996.0
2015-08-08 06:00:00,26.3,143.7,35.0,996.0
2015-08-08 09:00:00,26.4,143.1,35.0,996.0
2015-08-08 12:00:00,26.5,142.5,35.0,996.0
2015-08-08 15:00:00,26.6,142.0,35.0,996.0
2015-08-08 18:00:00,26.8,141.6,35.0,996.0
2015-08-08 21:00:00,26.9,141.3,35.0,996.0
2015-08-09 00:00:00,27.1,141.0,35.0,996.0
2015-08-09 03:00:00,27.4,140.8,35.0,996.0
2015-08-09 06:00:00,27.7,140.7,35.0,996.0
2015-08-09 09:00:00,28.1,140.5,35.0,996.0
2015-08-09 12:00:00,28.6,140.4,35.0,996.0
2015-08-09 15:00:00,29.0,140.3,35.0,996.0
2015-08-09 18:00:00,29.3,140.2,35.0,996.0
2015-08-09 21:00:00,29.6,140.2,35.0,996.0
2015-08-10 00:00:00,29.8,140.3,35.0,996.0
2015-08-10 03:00:00,30.0,140.4,35.0,996.0
2015-08-10 06:00:00,30.3,140.6,35.0,996.0
2015-08-10 09:00:00,30.6,140.8,35.0,996.0
2015-08-10 12:00:00,30.9,141.0,35.0,996.0
2015-08-10 15:00:00,31.2,141.4,35.0,996.0
2015-08-10 18:00:00,31.4,141.8,35.0,996.0
2015-08-10 21:00:00,31.5,142.2,38.0,995.0
2015-08-11 00:00:00,31.7,142.7,40.0,993.0
2015-08-11 03:00:00,31.9,143.2,43.0,991.0
2015-08-11 06:00:00,32.2,143.7,45.0,989.0
2015-08-11 09:00:00,32.4,144.1,43.0,991.0
2015-08-11 12:00:00,32.6,144.6,40.0,993.0
2015-08-11 15:00:00,32.9,145.2,40.0,993.0
2015-08-11 18:00:00,33.1,145.9,40.0,993.0
2015-08-11 21:00:00,33.3,146.7,40.0,993.0
2015-08-12 00:00:00,33.4,147.4,40.0,993.0
2015-08-12 03:00:00,33.5,148.0,40.0,993.0
2015-08-12 06:00:00,33.6,148.5,40.0,993.0
2015-08-12 09:00:00,33.7,149.2,40.0,993.0
2015-08-12 12:00:00,33.9,150.0,40.0,993.0
2015-08-12 15:00:00,34.0,150.9,40.0,993.0
2015-08-12 18:00:00,34.3,151.9,40.0,993.0
2015-08-12 21:00:00,34.8,153.0,40.0,993.0
2015-08-13 00:00:00,35.4,154.1,40.0,993.0
2015-08-13 03:00:00,35.8,154.8,38.0,995.0
2015-08-13 06:00:00,36.0,155.3,35.0,996.0
2015-08-13 09:00:00,36.2,155.9,35.0,996.0
2015-08-13 12:00:00,36.4,156.7,35.0,996.0
2015-08-13 15:00:00,36.7,157.9,35.0,996.0
2015-08-13 18:00:00,37.1,159.2,35.0,996.0
2015-08-13 21:00:00,37.4,160.5,35.0,996.0
2015-08-14 00:00:00,37.7,161.8,35.0,996.0
