time,lat,lon,vmax,mslp
2015-08-19 00:00:00,13.4,-176.8,20,1007
2015-08-19 03:00:00,13.4,-177.3,20,1007
2015-08-19 06:00:00,13.5,-177.8,20,1007
2015-08-19 09:00:00,13.6,-178.2,20,1007
2015-08-19 12:00:00,13.7,-178.6,20,1007
2015-08-19 15:00:00,13.6,-179.0,20,1007
2015-08-19 18:00:00,13.4,-179.3,20,1007
2015-08-19 21:00:00,13.4,-179.2,20,1007
2015-08-20 00:00:00,13.4,-179.0,20,1007
2015-08-20 03:00:00,13.5,-178.8,20,1007
2015-08-20 06:00:00,13.6,-178.6,20,1007
2015-08-20 09:00:00,13.7,-178.4,23,1007
2015-08-20 12:00:00,13.9,-178.3,25,1006
2015-08-20 15:00:00,14.1,-178.1,25,1006
2015-08-20 18:00:00,14.3,-177.9,25,1005
2015-08-20 21:00:00,14.5,-177.7,28,1005
2015-08-21 00:00:00,14.8,-177.5,30,1004
2015-08-21 03:00:00,15.1,-177.4,30,1004
2015-08-21 06:00:00,15.3,-177.3,30,1003
2015-08-21 09:00:00,15.5,-177.2,30,1003
2015-08-21 12:00:00,15.7,-177.2,30,1003
2015-08-21 15:00:00,15.9,-177.2,33,1003
2015-08-21 18:00:00,16.1,-177.2,35,1002
2015-08-21 21:00:00,16.3,-177.2,35,1002
2015-08-22 00:00:00,16.5,-177.3,35,1002
2015-08-22 03:00:00,16.6,-177.4,35,1002
2015-08-22 06:00:00,16.8,-177.5,35,1002
2015-08-22 09:00:00,17.0,-177.7,33,1003
2015-08-22 12:00:00,17.2,-177.9,30,1004
2015-08-22 15:00:00,17.5,-178.2,30,1004
2015-08-22 18:00:00,17.8,-178.5,30,1004
2015-08-22 21:00:00,18.1,-178.8,33,1004
2015-08-23 00:00:00,18.4,-179.0,35,1003
2015-08-23 03:00:00,18.7,-179.2,35,1003
2015-08-23 06:00:00,19.1,-179.3,35,1003
2015-08-23 09:00:00,19.5,-179.5,35,1003
2015-08-23 12:00:00,20.0,-179.6,35,1003
2015-08-23 15:00:00,20.6,-179.7,38,1003
2015-08-23 18:00:00,21.2,-179.7,40,1002
2015-08-23 21:00:00,21.8,-179.6,43,1001
2015-08-24 00:00:00,22.4,-179.4,45,1000
2015-08-24 03:00:00,23.0,-179.1,50,998
2015-08-24 06:00:00,23.5,-178.8,55,995
2015-08-24 09:00:00,24.0,-178.4,58,993
2015-08-24 12:00:00,24.4,-177.9,60,991
2015-08-24 15:00:00,24.8,-177.3,63,989
2015-08-24 18:00:00,25.3,-176.7,65,986
2015-08-24 21:00:00,25.8,-176.1,65,986
2015-08-25 00:00:00,26.4,-175.4,65,986
2015-08-25 03:00:00,27.0,-174.6,65,986
2015-08-25 06:00:00,27.6,-173.9,65,986
2015-08-25 09:00:00,28.2,-173.4,65,986
2015-08-25 12:00:00,28.8,-173.1,65,985
2015-08-25 15:00:00,29.4,-173.0,63,986
2015-08-25 18:00:00,30.1,-173.0,60,986
2015-08-25 21:00:00,30.7,-173.2,58,987
2015-08-26 00:00:00,31.3,-173.5,55,988
2015-08-26 03:00:00,31.8,-173.8,55,988
2015-08-26 06:00:00,32.5,-174.4,55,988
2015-08-26 09:00:00,33.4,-175.2,53,990
2015-08-26 12:00:00,34.5,-176.3,50,991
2015-08-26 15:00:00,35.6,-177.7,50,991
2015-08-26 18:00:00,36.6,-179.2,50,991
