time,lat,lon,vmax,mslp
2015-08-23 18:00:00,12.3,-129.3,25,1009
2015-08-23 21:00:00,12.3,-129.4,25,1009
2015-08-24 00:00:00,12.3,-129.5,25,1008
2015-08-24 03:00:00,12.4,-129.7,25,1008
2015-08-24 06:00:00,12.5,-129.9,25,1008
2015-08-24 09:00:00,12.7,-130.1,25,1008
2015-08-24 12:00:00,12.8,-130.3,25,1007
2015-08-24 15:00:00,12.9,-130.4,28,1007
2015-08-24 18:00:00,13.0,-130.6,30,1007
2015-08-24 21:00:00,13.1,-130.8,30,1007
2015-08-25 00:00:00,13.1,-131.1,30,1007
2015-08-25 03:00:00,13.1,-131.3,30,1007
2015-08-25 06:00:00,13.1,-131.6,30,1006
2015-08-25 09:00:00,13.1,-131.9,30,1006
2015-08-25 12:00:00,13.0,-132.2,30,1005
2015-08-25 15:00:00,12.9,-132.5,33,1005
2015-08-25 18:00:00,12.8,-132.8,35,1004
2015-08-25 21:00:00,12.6,-133.0,38,1004
2015-08-26 00:00:00,12.4,-133.3,40,1003
2015-08-26 03:00:00,12.3,-133.7,43,1002
2015-08-26 06:00:00,12.2,-134.1,45,1001
2015-08-26 09:00:00,12.1,-134.5,48,1000
2015-08-26 12:00:00,12.0,-135.0,50,999
2015-08-26 15:00:00,11.9,-135.4,53,999
2015-08-26 18:00:00,11.8,-135.9,55,998
2015-08-26 21:00:00,11.9,-136.4,60,995
2015-08-27 00:00:00,12.0,-136.9,65,992
2015-08-27 03:00:00,12.1,-137.4,70,989
2015-08-27 06:00:00,12.3,-137.9,75,985
2015-08-27 09:00:00,12.4,-138.4,78,984
2015-08-27 12:00:00,12.6,-139.0,80,982
2015-08-27 15:00:00,12.7,-139.6,80,982
2015-08-27 18:00:00,12.9,-140.2,80,982
2015-08-27 21:00:00,13.1,-140.8,80,982
2015-08-28 00:00:00,13.3,-141.4,80,981
2015-08-28 03:00:00,13.5,-142.0,80,981
2015-08-28 06:00:00,13.7,-142.6,80,980
2015-08-28 09:00:00,13.9,-143.1,80,980
2015-08-28 12:00:00,14.1,-143.5,80,979
2015-08-28 15:00:00,14.3,-143.9,80,979
2015-08-28 18:00:00,14.5,-144.2,80,978
2015-08-28 21:00:00,14.7,-144.6,80,977
2015-08-29 00:00:00,14.9,-144.9,80,976
2015-08-29 03:00:00,15.0,-145.2,80,975
2015-08-29 06:00:00,15.2,-145.5,80,974
2015-08-29 09:00:00,15.4,-145.8,90,968
2015-08-29 12:00:00,15.7,-146.1,100,961
