time,lat,lon,vmax,mslp
2015-08-31 18:00:00,11.8,-111.7,30,1006
2015-08-31 21:00:00,11.9,-112.0,30,1006
2015-09-01 00:00:00,12.0,-112.4,30,1006
2015-09-01 03:00:00,12.1,-112.8,30,1006
2015-09-01 06:00:00,12.2,-113.1,30,1006
2015-09-01 09:00:00,12.4,-113.3,30,1006
2015-09-01 12:00:00,12.6,-113.5,30,1006
2015-09-01 15:00:00,12.8,-113.7,33,1006
2015-09-01 18:00:00,13.1,-113.9,35,1006
2015-09-01 21:00:00,13.4,-114.1,35,1006
2015-09-02 00:00:00,13.8,-114.2,35,1006
2015-09-02 03:00:00,14.2,-114.3,35,1006
2015-09-02 06:00:00,14.7,-114.4,35,1005
2015-09-02 09:00:00,15.2,-114.5,35,1005
2015-09-02 12:00:00,15.6,-114.7,35,1005
2015-09-02 15:00:00,15.9,-114.8,35,1005
2015-09-02 18:00:00,16.2,-114.9,35,1005
2015-09-02 21:00:00,16.5,-115.0,38,1004
2015-09-03 00:00:00,16.7,-115.1,40,1003
2015-09-03 03:00:00,17.0,-115.2,43,1002
2015-09-03 06:00:00,17.2,-115.4,45,1001
2015-09-03 09:00:00,17.4,-115.5,45,1001
2015-09-03 12:00:00,17.7,-115.6,45,1000
2015-09-03 15:00:00,18.1,-115.7,48,999
2015-09-03 18:00:00,18.5,-115.8,50,998
2015-09-03 21:00:00,18.9,-115.8,48,999
2015-09-04 00:00:00,19.4,-115.7,45,999
2015-09-04 03:00:00,19.8,-115.6,45,1000
2015-09-04 06:00:00,20.2,-115.5,45,1000
2015-09-04 09:00:00,20.6,-115.4,45,1001
2015-09-04 12:00:00,20.9,-115.3,45,1001
2015-09-04 15:00:00,21.2,-115.2,43,1002
2015-09-04 18:00:00,21.6,-115.1,40,1002
2015-09-04 21:00:00,22.0,-115.0,38,1003
2015-09-05 00:00:00,22.3,-114.8,35,1003
2015-09-05 03:00:00,22.6,-114.7,33,1004
2015-09-05 06:00:00,22.8,-114.6,30,1005
2015-09-05 09:00:00,23.0,-114.4,28,1007
2015-09-05 12:00:00,23.2,-114.3,25,1008
2015-09-05 15:00:00,23.5,-114.4,23,1009
2015-09-05 18:00:00,23.7,-114.5,20,1010
2015-09-05 21:00:00,23.9,-114.6,18,1011
2015-09-06 00:00:00,24.0,-114.7,15,1012
2015-09-06 03:00:00,24.1,-114.8,15,1013
2015-09-06 06:00:00,24.1,-114.8,15,1013
