time,lat,lon,vmax,mslp
2015-09-04 12:00:00,10.0,-104.0,25,1007
2015-09-04 15:00:00,10.2,-104.2,25,1007
2015-09-04 18:00:00,10.4,-104.4,25,1007
2015-09-04 21:00:00,10.6,-104.6,25,1007
2015-09-05 00:00:00,10.8,-104.8,25,1006
2015-09-05 03:00:00,11.0,-105.0,25,1006
2015-09-05 06:00:00,11.3,-105.3,25,1006
2015-09-05 09:00:00,11.5,-105.6,25,1006
2015-09-05 12:00:00,11.7,-105.8,25,1005
2015-09-05 15:00:00,11.9,-106.0,25,1004
2015-09-05 18:00:00,12.1,-106.3,25,1003
2015-09-05 21:00:00,12.3,-106.6,28,1002
2015-09-06 00:00:00,12.6,-107.0,30,1001
2015-09-06 03:00:00,12.9,-107.4,33,1000
2015-09-06 06:00:00,13.2,-107.8,35,999
2015-09-06 09:00:00,13.5,-108.2,38,998
2015-09-06 12:00:00,13.8,-108.6,40,997
2015-09-06 15:00:00,14.1,-109.0,45,996
2015-09-06 18:00:00,14.5,-109.3,50,995
2015-09-06 21:00:00,14.9,-109.7,55,993
2015-09-07 00:00:00,15.4,-110.1,60,990
2015-09-07 03:00:00,15.9,-110.6,68,987
2015-09-07 06:00:00,16.3,-111.0,75,984
2015-09-07 09:00:00,16.8,-111.4,80,980
2015-09-07 12:00:00,17.2,-111.7,85,976
2015-09-07 15:00:00,17.6,-111.9,85,975
2015-09-07 18:00:00,17.9,-112.1,85,974
2015-09-07 21:00:00,18.2,-112.3,85,973
2015-09-08 00:00:00,18.6,-112.5,85,971
2015-09-08 03:00:00,19.1,-112.7,88,968
2015-09-08 06:00:00,19.6,-113.0,90,964
2015-09-08 09:00:00,20.1,-113.3,100,957
2015-09-08 12:00:00,20.6,-113.6,110,950
2015-09-08 15:00:00,21.1,-114.0,110,950
2015-09-08 18:00:00,21.5,-114.5,110,950
2015-09-08 21:00:00,21.9,-114.9,108,953
2015-09-09 00:00:00,22.2,-115.3,105,955
2015-09-09 03:00:00,22.5,-115.6,98,960
2015-09-09 06:00:00,22.8,-115.9,90,965
2015-09-09 09:00:00,23.1,-116.2,83,971
2015-09-09 12:00:00,23.4,-116.4,75,976
2015-09-09 15:00:00,23.7,-116.7,68,981
2015-09-09 18:00:00,24.0,-117.0,60,986
2015-09-09 21:00:00,24.3,-117.3,58,988
2015-09-10 00:00:00,24.6,-117.5,55,990
2015-09-10 03:00:00,24.9,-117.8,50,993
2015-09-10 06:00:00,25.2,-118.0,45,996
2015-09-10 09:00:00,25.5,-118.2,40,999
2015-09-10 12:00:00,25.7,-118.4,35,1002
2015-09-10 15:00:00,25.9,-118.6,33,1002
2015-09-10 18:00:00,26.1,-118.8,30,1002
2015-09-10 21:00:00,26.3,-119.0,30,1003
2015-09-11 00:00:00,26.4,-119.2,30,1003
2015-09-11 03:00:00,26.5,-119.4,30,1003
2015-09-11 06:00:00,26.6,-119.6,30,1003
2015-09-11 09:00:00,26.7,-119.8,30,1003
2015-09-11 12:00:00,26.8,-120.0,30,1003
2015-09-11 15:00:00,26.9,-120.2,28,1004
2015-09-11 18:00:00,27.1,-120.4,25,1004
2015-09-11 21:00:00,27.3,-120.6,25,1004
2015-09-12 00:00:00,27.4,-120.9,25,1004
2015-09-12 03:00:00,27.5,-121.2,25,1004
2015-09-12 06:00:00,27.5,-121.4,25,1004
2015-09-12 09:00:00,27.6,-121.6,25,1004
2015-09-12 12:00:00,27.6,-121.8,25,1004
2015-09-12 15:00:00,27.6,-122.0,25,1004
2015-09-12 18:00:00,27.6,-122.2,25,1004
2015-09-12 21:00:00,27.6,-122.3,23,1005
2015-09-13 00:00:00,27.7,-122.4,20,1005
2015-09-13 03:00:00,27.7,-122.5,20,1005
2015-09-13 06:00:00,27.7,-122.6,20,1005
2015-09-13 09:00:00,27.7,-122.7,20,1005
2015-09-13 12:00:00,27.8,-122.8,20,1005
2015-09-13 15:00:00,27.8,-122.9,18,1006
2015-09-13 18:00:00,27.8,-123.0,15,1006
2015-09-13 21:00:00,27.8,-123.0,15,1007
2015-09-14 00:00:00,27.8,-123.0,15,1007
2015-09-14 03:00:00,27.8,-123.0,15,1008
2015-09-14 06:00:00,27.8,-122.9,15,1008
2015-09-14 09:00:00,27.8,-122.8,15,1008
2015-09-14 12:00:00,27.8,-122.7,15,1008
