time,lat,lon,vmax,mslp
2015-09-17 06:00:00,11.9,-173.4,20,1007
2015-09-17 09:00:00,12.4,-173.8,20,1007
2015-09-17 12:00:00,12.9,-174.3,20,1007
2015-09-17 15:00:00,13.4,-174.8,20,1007
2015-09-17 18:00:00,13.9,-175.2,20,1007
2015-09-17 21:00:00,14.3,-175.5,23,1007
2015-09-18 00:00:00,14.7,-175.8,25,1007
2015-09-18 03:00:00,15.1,-176.1,25,1007
2015-09-18 06:00:00,15.5,-176.3,25,1007
2015-09-18 09:00:00,15.9,-176.4,25,1007
2015-09-18 12:00:00,16.4,-176.4,25,1007
2015-09-18 15:00:00,16.8,-176.3,28,1006
2015-09-18 18:00:00,17.2,-176.0,30,1005
2015-09-18 21:00:00,17.5,-175.7,30,1005
2015-09-19 00:00:00,17.7,-175.4,30,1005
2015-09-19 03:00:00,17.9,-175.2,30,1005
2015-09-19 06:00:00,18.0,-175.0,30,1005
2015-09-19 09:00:00,18.1,-174.8,30,1005
2015-09-19 12:00:00,18.3,-174.7,30,1005
2015-09-19 15:00:00,18.5,-174.5,30,1005
2015-09-19 18:00:00,18.7,-174.4,30,1005
2015-09-19 21:00:00,18.9,-174.2,30,1005
2015-09-20 00:00:00,19.2,-174.1,30,1005
2015-09-20 03:00:00,19.4,-173.9,30,1005
2015-09-20 06:00:00,19.7,-173.8,30,1005
2015-09-20 09:00:00,20.0,-173.6,30,1005
2015-09-20 12:00:00,20.5,-173.5,30,1005
2015-09-20 15:00:00,21.1,-173.4,30,1005
2015-09-20 18:00:00,21.8,-173.2,30,1005
2015-09-20 21:00:00,22.5,-172.9,33,1003
2015-09-21 00:00:00,23.1,-172.5,35,1001
2015-09-21 03:00:00,23.6,-172.1,38,1000
2015-09-21 06:00:00,24.1,-171.8,40,998
2015-09-21 09:00:00,24.6,-171.6,43,995
2015-09-21 12:00:00,25.2,-171.4,45,992
2015-09-21 15:00:00,25.8,-171.3,43,993
2015-09-21 18:00:00,26.4,-171.3,40,993
2015-09-21 21:00:00,26.8,-171.6,40,993
2015-09-22 00:00:00,27.1,-172.0,40,993
2015-09-22 03:00:00,27.3,-172.2,38,994
2015-09-22 06:00:00,27.5,-172.4,35,994
2015-09-22 09:00:00,27.8,-172.7,35,994
2015-09-22 12:00:00,28.2,-173.0,35,994
2015-09-22 15:00:00,28.7,-173.2,35,995
2015-09-22 18:00:00,29.3,-173.3,35,996
2015-09-22 21:00:00,30.0,-173.4,35,996
2015-09-23 00:00:00,30.8,-173.5,35,996
