time,lat,lon,vmax,mslp
2015-09-23 06:00:00,11.3,-146.3,25,1007
2015-09-23 09:00:00,11.3,-146.4,25,1007
2015-09-23 12:00:00,11.4,-146.6,25,1006
2015-09-23 15:00:00,11.5,-146.8,25,1006
2015-09-23 18:00:00,11.6,-147.0,25,1006
2015-09-23 21:00:00,11.7,-147.3,25,1006
2015-09-24 00:00:00,11.8,-147.5,25,1006
2015-09-24 03:00:00,12.0,-147.7,25,1006
2015-09-24 06:00:00,12.3,-147.9,25,1006
2015-09-24 09:00:00,12.6,-148.1,25,1006
2015-09-24 12:00:00,12.9,-148.2,25,1006
2015-09-24 15:00:00,13.3,-148.4,25,1006
2015-09-24 18:00:00,13.6,-148.6,25,1006
2015-09-24 21:00:00,13.8,-148.9,28,1005
2015-09-25 00:00:00,14.0,-149.1,30,1004
2015-09-25 03:00:00,14.2,-149.3,33,1003
2015-09-25 06:00:00,14.4,-149.5,35,1002
2015-09-25 09:00:00,14.6,-149.7,35,1002
2015-09-25 12:00:00,14.8,-149.8,35,1002
2015-09-25 15:00:00,15.2,-150.0,38,1002
2015-09-25 18:00:00,15.6,-150.2,40,1001
2015-09-25 21:00:00,15.8,-150.4,43,1000
2015-09-26 00:00:00,16.0,-150.6,45,999
2015-09-26 03:00:00,16.2,-150.8,45,999
2015-09-26 06:00:00,16.5,-151.0,45,999
2015-09-26 09:00:00,16.8,-151.2,48,998
2015-09-26 12:00:00,17.1,-151.5,50,997
2015-09-26 15:00:00,17.2,-151.7,53,995
2015-09-26 18:00:00,17.1,-151.9,55,992
2015-09-26 21:00:00,17.0,-152.2,53,994
2015-09-27 00:00:00,16.9,-152.6,50,995
2015-09-27 03:00:00,16.8,-152.9,48,997
2015-09-27 06:00:00,16.6,-153.2,45,999
2015-09-27 09:00:00,16.4,-153.4,45,999
2015-09-27 12:00:00,16.3,-153.6,45,999
2015-09-27 15:00:00,16.2,-153.9,45,999
2015-09-27 18:00:00,16.1,-154.3,45,999
2015-09-27 21:00:00,15.9,-154.8,43,1002
2015-09-28 00:00:00,15.7,-155.2,40,1004
2015-09-28 03:00:00,15.5,-155.5,38,1005
2015-09-28 06:00:00,15.4,-155.8,35,1005
2015-09-28 09:00:00,15.2,-156.2,33,1006
2015-09-28 12:00:00,15.0,-156.6,30,1007
2015-09-28 15:00:00,15.0,-157.0,28,1008
2015-09-28 18:00:00,15.1,-157.5,25,1008
2015-09-28 21:00:00,15.2,-158.0,25,1009
2015-09-29 00:00:00,15.4,-158.4,25,1009
2015-09-29 03:00:00,15.5,-158.8,25,1009
2015-09-29 06:00:00,15.5,-159.2,25,1009
2015-09-29 09:00:00,15.6,-159.6,25,1009
2015-09-29 12:00:00,15.6,-159.9,25,1009
2015-09-29 15:00:00,15.5,-160.2,25,1009
2015-09-29 18:00:00,15.4,-160.4,25,1009
2015-09-29 21:00:00,15.3,-160.6,25,1009
2015-09-30 00:00:00,15.1,-160.8,25,1008
2015-09-30 03:00:00,14.9,-161.0,25,1008
2015-09-30 06:00:00,14.7,-161.2,25,1008
2015-09-30 09:00:00,14.4,-161.4,25,1008
2015-09-30 12:00:00,14.2,-161.6,25,1008
2015-09-30 15:00:00,14.1,-161.9,23,1009
2015-09-30 18:00:00,14.1,-162.2,20,1009
