time,lat,lon,vmax,mslp
2015-09-26 12:00:00,12.7,-102.8,25,1006
2015-09-26 15:00:00,12.9,-102.9,28,1006
2015-09-26 18:00:00,13.1,-103.0,30,1005
2015-09-26 21:00:00,13.3,-103.1,35,1004
2015-09-27 00:00:00,13.6,-103.1,40,1003
2015-09-27 03:00:00,13.8,-103.1,43,1002
2015-09-27 06:00:00,14.1,-103.1,45,1000
2015-09-27 09:00:00,14.4,-103.1,48,999
2015-09-27 12:00:00,14.6,-103.1,50,997
2015-09-27 15:00:00,14.8,-103.1,50,997
2015-09-27 18:00:00,15.0,-103.1,50,997
2015-09-27 21:00:00,15.2,-103.1,53,996
2015-09-28 00:00:00,15.4,-103.2,55,994
2015-09-28 03:00:00,15.6,-103.2,58,993
2015-09-28 06:00:00,15.8,-103.2,60,991
2015-09-28 09:00:00,16.1,-103.1,63,990
2015-09-28 12:00:00,16.3,-103.0,65,989
2015-09-28 15:00:00,16.5,-102.7,68,988
2015-09-28 18:00:00,16.6,-102.4,70,987
2015-09-28 21:00:00,16.6,-102.2,68,988
2015-09-29 00:00:00,16.5,-102.1,65,988
2015-09-29 03:00:00,16.4,-102.0,63,990
2015-09-29 06:00:00,16.3,-101.9,60,991
2015-09-29 09:00:00,16.2,-101.8,58,993
2015-09-29 12:00:00,16.2,-101.6,55,994
2015-09-29 15:00:00,16.2,-101.4,50,997
2015-09-29 18:00:00,16.2,-101.2,45,1000
2015-09-29 21:00:00,16.1,-101.2,43,1001
2015-09-30 00:00:00,16.1,-101.3,40,1002
2015-09-30 03:00:00,16.1,-101.5,38,1003
2015-09-30 06:00:00,16.1,-101.7,35,1003
2015-09-30 09:00:00,16.1,-101.9,33,1004
2015-09-30 12:00:00,16.2,-102.2,30,1004
2015-09-30 15:00:00,16.3,-102.5,30,1005
2015-09-30 18:00:00,16.4,-102.7,30,1005
