time,lat,lon,vmax,mslp
2015-10-01 06:00:00,12.8,-159.5,20,1005
2015-10-01 09:00:00,12.9,-159.4,23,1005
2015-10-01 12:00:00,13.0,-159.2,25,1004
2015-10-01 15:00:00,13.1,-159.0,25,1004
2015-10-01 18:00:00,13.1,-158.8,25,1004
2015-10-01 21:00:00,13.2,-158.4,25,1004
2015-10-02 00:00:00,13.2,-158.0,25,1004
2015-10-02 03:00:00,13.1,-157.7,25,1004
2015-10-02 06:00:00,12.9,-157.4,25,1004
2015-10-02 09:00:00,12.8,-157.2,25,1004
2015-10-02 12:00:00,12.7,-156.9,25,1003
2015-10-02 15:00:00,12.5,-156.6,25,1003
2015-10-02 18:00:00,12.4,-156.3,25,1002
2015-10-02 21:00:00,12.4,-156.0,28,1002
2015-10-03 00:00:00,12.4,-155.8,30,1001
2015-10-03 03:00:00,12.4,-155.6,30,1001
2015-10-03 06:00:00,12.5,-155.4,30,1001
2015-10-03 09:00:00,12.5,-155.3,33,1001
2015-10-03 12:00:00,12.6,-155.2,35,1000
2015-10-03 15:00:00,12.6,-155.1,35,1000
2015-10-03 18:00:00,12.7,-155.0,35,1000
2015-10-03 21:00:00,12.8,-154.7,35,1000
2015-10-04 00:00:00,12.9,-154.5,35,1000
2015-10-04 03:00:00,13.0,-154.5,35,1000
2015-10-04 06:00:00,13.1,-154.6,35,1000
2015-10-04 09:00:00,13.2,-154.7,35,1000
2015-10-04 12:00:00,13.2,-154.8,35,1000
2015-10-04 15:00:00,13.2,-154.9,35,1000
2015-10-04 18:00:00,13.3,-154.9,35,1000
2015-10-04 21:00:00,13.4,-154.9,38,998
2015-10-05 00:00:00,13.5,-154.8,40,996
2015-10-05 03:00:00,13.6,-154.8,43,993
2015-10-05 06:00:00,13.7,-154.7,45,989
2015-10-05 09:00:00,13.8,-154.6,48,988
2015-10-05 12:00:00,14.0,-154.5,50,986
2015-10-05 15:00:00,14.3,-154.3,53,985
2015-10-05 18:00:00,14.5,-154.0,55,984
2015-10-05 21:00:00,14.6,-153.9,55,984
2015-10-06 00:00:00,14.7,-153.7,55,984
2015-10-06 03:00:00,14.8,-153.5,58,983
2015-10-06 06:00:00,14.9,-153.1,60,982
2015-10-06 09:00:00,15.0,-152.5,63,981
2015-10-06 12:00:00,15.1,-151.9,65,980
2015-10-06 15:00:00,15.4,-151.3,70,978
2015-10-06 18:00:00,15.9,-150.7,75,975
2015-10-06 21:00:00,16.4,-150.1,78,973
2015-10-07 00:00:00,17.1,-149.4,80,971
2015-10-07 03:00:00,18.0,-148.6,85,967
2015-10-07 06:00:00,19.1,-147.9,90,962
2015-10-07 09:00:00,20.4,-147.2,93,960
2015-10-07 12:00:00,21.9,-146.6,95,957
2015-10-07 15:00:00,23.4,-145.7,93,962
2015-10-07 18:00:00,25.0,-145.1,90,966
2015-10-07 21:00:00,27.0,-145.1,83,970
2015-10-08 00:00:00,28.8,-145.2,75,973
2015-10-08 03:00:00,29.9,-144.8,70,976
2015-10-08 06:00:00,30.8,-144.1,65,978
2015-10-08 09:00:00,31.9,-143.4,63,981
2015-10-08 12:00:00,33.3,-142.5,60,983
2015-10-08 15:00:00,34.7,-140.8,58,984
2015-10-08 18:00:00,37.0,-139.5,55,985
2015-10-08 21:00:00,41.0,-140.5,50,986
2015-10-09 00:00:00,45.0,-141.5,45,987
2015-10-09 03:00:00,47.3,-139.5,48,985
2015-10-09 06:00:00,49.0,-137.0,50,982
2015-10-09 09:00:00,51.1,-136.6,58,977
2015-10-09 12:00:00,53.0,-137.0,65,971
2015-10-09 15:00:00,54.7,-137.4,60,967
2015-10-09 18:00:00,56.0,-138.0,55,962
2015-10-09 21:00:00,56.8,-138.4,48,963
2015-10-10 00:00:00,57.5,-139.0,40,964
2015-10-10 03:00:00,58.4,-140.8,38,967
2015-10-10 06:00:00,59.5,-142.0,35,969
2015-10-10 09:00:00,61.1,-140.9,30,975
2015-10-10 12:00:00,63.0,-138.0,25,981
