time,lat,lon,vmax,mslp
2015-10-13 06:00:00,13.0,160.7,25.0,1003.0
2015-10-13 09:00:00,13.1,159.9,25.0,1004.0
2015-10-13 12:00:00,13.3,159.3,25.0,1004.0
2015-10-13 15:00:00,13.6,158.9,28.0,1002.0
2015-10-13 18:00:00,13.9,158.6,30.0,1000.0
2015-10-13 21:00:00,14.2,158.4,30.0,1000.0
2015-10-14 00:00:00,14.5,158.0,30.0,1000.0
2015-10-14 03:00:00,14.8,157.3,33.0,998.0
2015-10-14 06:00:00,15.0,156.4,35.0,996.0
2015-10-14 09:00:00,14.9,155.7,38.0,995.0
2015-10-14 12:00:00,14.8,155.1,40.0,993.0
2015-10-14 15:00:00,15.0,154.4,40.0,993.0
2015-10-14 18:00:00,15.2,153.7,40.0,993.0
2015-10-14 21:00:00,15.4,153.1,43.0,991.0
2015-10-15 00:00:00,15.6,152.5,45.0,989.0
2015-10-15 03:00:00,15.8,151.8,45.0,989.0
2015-10-15 06:00:00,16.0,151.1,45.0,989.0
2015-10-15 09:00:00,16.0,150.2,45.0,989.0
2015-10-15 12:00:00,15.9,149.4,45.0,989.0
2015-10-15 15:00:00,15.9,148.7,48.0,987.0
2015-10-15 18:00:00,16.0,148.0,50.0,985.0
2015-10-15 21:00:00,16.0,147.2,53.0,984.0
2015-10-16 00:00:00,16.0,146.4,55.0,982.0
2015-10-16 03:00:00,15.9,145.6,55.0,982.0
2015-10-16 06:00:00,15.8,144.9,55.0,982.0
2015-10-16 09:00:00,15.8,144.4,58.0,980.0
2015-10-16 12:00:00,16.0,144.1,60.0,978.0
2015-10-16 15:00:00,16.2,143.7,63.0,976.0
2015-10-16 18:00:00,16.5,143.3,65.0,974.0
2015-10-16 21:00:00,16.7,142.8,70.0,971.0
2015-10-17 00:00:00,17.0,142.4,75.0,967.0
2015-10-17 03:00:00,17.3,142.0,80.0,963.0
2015-10-17 06:00:00,17.7,141.7,85.0,959.0
2015-10-17 09:00:00,18.1,141.2,88.0,958.0
2015-10-17 12:00:00,18.4,140.8,90.0,956.0
2015-10-17 15:00:00,18.7,140.4,90.0,956.0
