time,lat,lon,vmax,mslp
2015-11-18 06:00:00,12.9,-107.1,25,1007
2015-11-18 09:00:00,12.9,-107.0,28,1006
2015-11-18 12:00:00,12.9,-106.9,30,1005
2015-11-18 15:00:00,12.9,-106.8,30,1005
2015-11-18 18:00:00,12.9,-106.6,30,1004
2015-11-18 21:00:00,13.0,-106.3,30,1004
2015-11-19 00:00:00,13.1,-106.0,30,1004
2015-11-19 03:00:00,13.4,-105.8,30,1004
2015-11-19 06:00:00,13.7,-105.8,30,1003
2015-11-19 09:00:00,14.0,-105.9,33,1003
2015-11-19 12:00:00,14.2,-106.1,35,1002
2015-11-19 15:00:00,14.4,-106.4,35,1002
2015-11-19 18:00:00,14.7,-106.8,35,1002
2015-11-19 21:00:00,14.9,-107.3,35,1002
2015-11-20 00:00:00,15.2,-107.8,35,1002
2015-11-20 03:00:00,15.5,-108.4,35,1002
2015-11-20 06:00:00,15.7,-109.0,35,1002
2015-11-20 09:00:00,15.8,-109.6,35,1002
2015-11-20 12:00:00,15.9,-110.1,35,1002
2015-11-20 15:00:00,16.0,-110.6,35,1002
2015-11-20 18:00:00,16.1,-111.1,35,1002
2015-11-20 21:00:00,16.3,-111.6,35,1003
2015-11-21 00:00:00,16.5,-112.1,35,1003
2015-11-21 03:00:00,16.7,-112.7,35,1003
2015-11-21 06:00:00,16.8,-113.3,35,1003
2015-11-21 09:00:00,16.8,-113.9,35,1003
2015-11-21 12:00:00,16.8,-114.4,35,1003
2015-11-21 15:00:00,16.7,-115.0,35,1003
2015-11-21 18:00:00,16.7,-115.5,35,1003
2015-11-21 21:00:00,16.7,-116.0,35,1003
2015-11-22 00:00:00,16.8,-116.5,35,1003
2015-11-22 03:00:00,16.9,-117.0,33,1004
2015-11-22 06:00:00,17.0,-117.5,30,1004
2015-11-22 09:00:00,17.2,-117.9,30,1005
2015-11-22 12:00:00,17.4,-118.2,30,1005
2015-11-22 15:00:00,17.6,-118.6,30,1005
2015-11-22 18:00:00,17.8,-118.9,30,1005
2015-11-22 21:00:00,18.1,-119.2,30,1005
2015-11-23 00:00:00,18.5,-119.4,30,1005
2015-11-23 03:00:00,18.8,-119.7,30,1005
2015-11-23 06:00:00,19.1,-120.0,30,1005
2015-11-23 09:00:00,19.4,-120.3,28,1006
2015-11-23 12:00:00,19.6,-120.6,25,1006
2015-11-23 15:00:00,19.8,-120.9,25,1007
2015-11-23 18:00:00,20.1,-121.1,25,1007
2015-11-23 21:00:00,20.4,-121.4,25,1007
2015-11-24 00:00:00,20.6,-121.7,25,1007
2015-11-24 03:00:00,20.8,-122.0,25,1007
2015-11-24 06:00:00,20.9,-122.3,25,1007
2015-11-24 09:00:00,21.0,-122.6,23,1008
2015-11-24 12:00:00,21.1,-123.0,20,1008
2015-11-24 15:00:00,21.3,-123.4,20,1008
2015-11-24 18:00:00,21.4,-123.7,20,1008
2015-11-24 21:00:00,21.4,-123.9,20,1008
2015-11-25 00:00:00,21.4,-124.0,20,1008
2015-11-25 03:00:00,21.4,-124.1,20,1009
2015-11-25 06:00:00,21.4,-124.2,20,1009
2015-11-25 09:00:00,21.4,-124.4,20,1009
2015-11-25 12:00:00,21.3,-124.6,20,1009
2015-11-25 15:00:00,21.2,-124.8,20,1009
2015-11-25 18:00:00,21.0,-125.0,20,1009
2015-11-25 21:00:00,20.8,-125.2,20,1009
2015-11-26 00:00:00,20.6,-125.4,20,1009
2015-11-26 03:00:00,20.4,-125.7,20,1009
2015-11-26 06:00:00,20.2,-126.0,20,1009
