time,lat,lon,vmax,mslp
2015-11-23 12:00:00,10.9,-100.5,25,1006
2015-11-23 15:00:00,10.8,-101.3,28,1006
2015-11-23 18:00:00,10.8,-102.0,30,1005
2015-11-23 21:00:00,10.8,-102.7,33,1005
2015-11-24 00:00:00,10.8,-103.3,35,1004
2015-11-24 03:00:00,10.8,-103.9,38,1003
2015-11-24 06:00:00,10.9,-104.4,40,1002
2015-11-24 09:00:00,11.0,-104.9,43,1001
2015-11-24 12:00:00,11.2,-105.5,45,1000
2015-11-24 15:00:00,11.3,-106.1,48,1000
2015-11-24 18:00:00,11.5,-106.6,50,999
2015-11-24 21:00:00,11.6,-107.1,55,998
2015-11-25 00:00:00,11.8,-107.6,60,996
2015-11-25 03:00:00,12.0,-108.1,65,993
2015-11-25 06:00:00,12.1,-108.5,70,989
2015-11-25 09:00:00,12.2,-108.9,78,983
2015-11-25 12:00:00,12.3,-109.3,85,976
2015-11-25 15:00:00,12.5,-109.5,90,972
2015-11-25 18:00:00,12.7,-109.7,95,967
2015-11-25 21:00:00,13.0,-110.0,103,962
2015-11-26 00:00:00,13.3,-110.2,110,957
2015-11-26 03:00:00,13.7,-110.2,120,946
2015-11-26 06:00:00,14.1,-110.2,130,934
2015-11-26 09:00:00,14.6,-110.2,125,939
2015-11-26 12:00:00,15.2,-110.2,120,943
2015-11-26 15:00:00,15.7,-110.2,118,945
2015-11-26 18:00:00,16.3,-110.2,115,947
2015-11-26 21:00:00,16.9,-110.0,113,949
2015-11-27 00:00:00,17.4,-109.8,110,951
2015-11-27 03:00:00,18.0,-109.6,103,957
2015-11-27 06:00:00,18.5,-109.3,95,963
2015-11-27 09:00:00,18.9,-109.1,90,967
2015-11-27 12:00:00,19.3,-108.8,85,970
2015-11-27 15:00:00,19.7,-108.4,80,974
2015-11-27 18:00:00,20.0,-108.2,75,978
2015-11-27 21:00:00,20.4,-108.4,68,983
2015-11-28 00:00:00,20.7,-108.8,60,987
2015-11-28 03:00:00,21.0,-109.0,50,991
2015-11-28 06:00:00,21.2,-109.1,40,994
2015-11-28 09:00:00,21.4,-109.1,38,998
2015-11-28 12:00:00,21.7,-109.0,35,1002
2015-11-28 15:00:00,22.0,-108.9,33,1005
2015-11-28 18:00:00,22.4,-108.7,30,1007
2015-11-28 21:00:00,22.8,-108.5,30,1008
2015-11-29 00:00:00,23.1,-108.3,30,1008
2015-11-29 03:00:00,23.3,-108.1,28,1009
2015-11-29 06:00:00,23.5,-107.9,25,1009
2015-11-29 09:00:00,23.8,-107.8,23,1010
2015-11-29 12:00:00,24.2,-107.7,20,1010
