time,lat,lon,vmax,mslp
2016-01-06 00:00:00,1.9,-171.7,25,1007
2016-01-06 03:00:00,2.0,-171.7,25,1007
2016-01-06 06:00:00,2.1,-171.6,25,1007
2016-01-06 09:00:00,2.2,-171.6,25,1007
2016-01-06 12:00:00,2.3,-171.5,25,1007
2016-01-06 15:00:00,2.4,-171.5,25,1007
2016-01-06 18:00:00,2.6,-171.4,25,1007
2016-01-06 21:00:00,2.7,-171.4,25,1007
2016-01-07 00:00:00,2.9,-171.3,25,1007
2016-01-07 03:00:00,3.1,-171.3,28,1006
2016-01-07 06:00:00,3.3,-171.2,30,1005
2016-01-07 09:00:00,3.5,-171.2,33,1004
2016-01-07 12:00:00,3.8,-171.1,35,1003
2016-01-07 15:00:00,4.1,-171.0,40,1002
2016-01-07 18:00:00,4.4,-171.0,45,1000
2016-01-07 21:00:00,4.7,-171.0,48,999
2016-01-08 00:00:00,5.1,-171.1,50,998
2016-01-08 03:00:00,5.5,-171.2,53,997
2016-01-08 06:00:00,5.9,-171.3,55,996
2016-01-08 09:00:00,6.4,-171.5,58,995
2016-01-08 12:00:00,6.8,-171.8,60,994
2016-01-08 15:00:00,7.1,-172.1,58,995
2016-01-08 18:00:00,7.3,-172.4,55,996
2016-01-08 21:00:00,7.5,-172.7,53,997
2016-01-09 00:00:00,7.6,-172.9,50,998
2016-01-09 03:00:00,7.7,-173.1,48,999
2016-01-09 06:00:00,7.8,-173.3,45,1000
2016-01-09 09:00:00,7.9,-173.5,43,1001
2016-01-09 12:00:00,7.9,-173.7,40,1002
2016-01-09 15:00:00,7.9,-173.9,38,1003
2016-01-09 18:00:00,7.9,-174.0,35,1003
2016-01-09 21:00:00,7.9,-174.1,35,1003
2016-01-10 00:00:00,7.8,-174.2,35,1003
2016-01-10 03:00:00,7.7,-174.3,35,1003
2016-01-10 06:00:00,7.7,-174.3,35,1003
2016-01-10 09:00:00,7.7,-174.3,38,1003
2016-01-10 12:00:00,7.7,-174.2,40,1002
2016-01-10 15:00:00,7.7,-174.1,43,1001
2016-01-10 18:00:00,7.7,-174.0,45,1000
2016-01-10 21:00:00,7.6,-173.9,48,999
2016-01-11 00:00:00,7.6,-173.7,50,998
2016-01-11 03:00:00,7.7,-173.6,53,997
2016-01-11 06:00:00,7.8,-173.4,55,996
2016-01-11 09:00:00,7.9,-173.2,55,996
2016-01-11 12:00:00,8.1,-173.0,55,996
2016-01-11 15:00:00,8.2,-172.8,58,995
2016-01-11 18:00:00,8.3,-172.5,60,994
2016-01-11 21:00:00,8.3,-172.2,65,991
2016-01-12 00:00:00,8.2,-172.0,70,988
2016-01-12 03:00:00,8.0,-171.8,73,987
2016-01-12 06:00:00,7.7,-171.7,75,985
2016-01-12 09:00:00,7.4,-171.5,78,984
2016-01-12 12:00:00,7.1,-171.4,80,982
2016-01-12 15:00:00,6.8,-171.3,83,980
2016-01-12 18:00:00,6.4,-171.2,85,978
2016-01-12 21:00:00,6.1,-171.1,83,980
2016-01-13 00:00:00,5.7,-171.0,80,982
2016-01-13 03:00:00,5.3,-171.0,78,984
2016-01-13 06:00:00,5.0,-171.1,75,986
2016-01-13 09:00:00,4.6,-171.2,73,989
2016-01-13 12:00:00,4.3,-171.3,70,991
2016-01-13 15:00:00,4.0,-171.4,65,993
2016-01-13 18:00:00,3.7,-171.5,60,995
2016-01-13 21:00:00,3.5,-171.6,55,997
2016-01-14 00:00:00,3.3,-171.8,50,999
2016-01-14 03:00:00,3.1,-172.0,45,1001
2016-01-14 06:00:00,2.9,-172.1,40,1003
2016-01-14 09:00:00,2.7,-172.2,35,1005
2016-01-14 12:00:00,2.6,-172.3,30,1006
2016-01-14 15:00:00,2.5,-172.4,28,1007
2016-01-14 18:00:00,2.3,-172.5,25,1008
