time,lat,lon,vmax,mslp
2016-08-03 00:00:00,13.8,-116.7,30,1007
2016-08-03 03:00:00,13.9,-117.5,33,1007
2016-08-03 06:00:00,14.0,-118.3,35,1006
2016-08-03 09:00:00,14.1,-119.1,38,1006
2016-08-03 12:00:00,14.2,-119.8,40,1005
2016-08-03 15:00:00,14.3,-120.6,40,1005
2016-08-03 18:00:00,14.4,-121.4,40,1004
2016-08-03 21:00:00,14.5,-122.1,40,1004
2016-08-04 00:00:00,14.6,-122.8,40,1004
2016-08-04 03:00:00,14.7,-123.5,40,1004
2016-08-04 06:00:00,14.7,-124.1,40,1004
2016-08-04 09:00:00,14.8,-124.8,40,1004
2016-08-04 12:00:00,14.8,-125.5,40,1003
2016-08-04 15:00:00,14.8,-126.1,43,1003
2016-08-04 18:00:00,14.8,-126.7,45,1002
2016-08-04 21:00:00,14.8,-127.4,45,1002
2016-08-05 00:00:00,14.8,-128.0,45,1002
2016-08-05 03:00:00,14.8,-128.6,45,1002
2016-08-05 06:00:00,14.9,-129.2,45,1002
2016-08-05 09:00:00,15.0,-129.8,45,1002
2016-08-05 12:00:00,15.1,-130.3,45,1001
2016-08-05 15:00:00,15.2,-130.8,48,1001
2016-08-05 18:00:00,15.3,-131.2,50,1000
2016-08-05 21:00:00,15.3,-131.6,50,1000
2016-08-06 00:00:00,15.4,-132.1,50,1000
2016-08-06 03:00:00,15.5,-132.6,48,1001
2016-08-06 06:00:00,15.6,-133.1,45,1002
2016-08-06 09:00:00,15.7,-133.6,45,1003
2016-08-06 12:00:00,15.8,-134.0,45,1003
2016-08-06 15:00:00,15.9,-134.4,45,1003
2016-08-06 18:00:00,16.1,-134.9,45,1003
2016-08-06 21:00:00,16.2,-135.4,43,1004
2016-08-07 00:00:00,16.4,-135.9,40,1004
2016-08-07 03:00:00,16.5,-136.4,40,1005
2016-08-07 06:00:00,16.7,-136.8,40,1005
2016-08-07 09:00:00,16.9,-137.3,38,1006
2016-08-07 12:00:00,17.0,-137.7,35,1006
2016-08-07 15:00:00,17.1,-138.1,35,1006
2016-08-07 18:00:00,17.2,-138.5,35,1006
2016-08-07 21:00:00,17.2,-139.0,35,1006
2016-08-08 00:00:00,17.2,-139.4,35,1006
2016-08-08 03:00:00,17.1,-139.8,33,1007
2016-08-08 06:00:00,17.1,-140.1,30,1007
2016-08-08 09:00:00,17.1,-140.4,30,1008
2016-08-08 12:00:00,17.1,-140.7,30,1009
2016-08-08 15:00:00,17.1,-141.0,28,1010
2016-08-08 18:00:00,17.1,-141.3,25,1010
2016-08-08 21:00:00,17.1,-141.7,25,1010
2016-08-09 00:00:00,17.1,-142.2,25,1010
2016-08-09 03:00:00,17.1,-142.7,25,1010
2016-08-09 06:00:00,17.0,-143.2,25,1010
2016-08-09 09:00:00,17.0,-143.8,25,1010
2016-08-09 12:00:00,16.9,-144.4,25,1010
2016-08-09 15:00:00,16.8,-145.0,25,1010
2016-08-09 18:00:00,16.7,-145.6,25,1010
2016-08-09 21:00:00,16.6,-146.2,25,1010
2016-08-10 00:00:00,16.4,-146.8,25,1010
2016-08-10 03:00:00,16.2,-147.5,25,1011
2016-08-10 06:00:00,16.0,-148.3,25,1011
2016-08-10 09:00:00,15.8,-149.1,25,1011
2016-08-10 12:00:00,15.6,-150.0,25,1011
2016-08-10 15:00:00,15.4,-150.8,25,1011
2016-08-10 18:00:00,15.2,-151.7,25,1011
2016-08-10 21:00:00,15.0,-152.6,25,1011
2016-08-11 00:00:00,14.8,-153.4,25,1011
