time,lat,lon,vmax,mslp
2016-08-24 06:00:00,14.3,-107.4,25,1007
2016-08-24 09:00:00,14.5,-108.0,25,1007
2016-08-24 12:00:00,14.7,-108.5,25,1007
2016-08-24 15:00:00,14.9,-109.0,28,1007
2016-08-24 18:00:00,15.1,-109.5,30,1006
2016-08-24 21:00:00,15.3,-110.0,30,1006
2016-08-25 00:00:00,15.5,-110.4,30,1006
2016-08-25 03:00:00,15.7,-110.8,33,1006
2016-08-25 06:00:00,16.0,-111.3,35,1005
2016-08-25 09:00:00,16.2,-111.8,40,1004
2016-08-25 12:00:00,16.4,-112.3,45,1003
2016-08-25 15:00:00,16.5,-112.7,48,1002
2016-08-25 18:00:00,16.6,-113.0,50,1001
2016-08-25 21:00:00,16.7,-113.3,50,1001
2016-08-26 00:00:00,16.8,-113.6,50,1001
2016-08-26 03:00:00,16.9,-113.9,50,1001
2016-08-26 06:00:00,17.1,-114.2,50,1001
2016-08-26 09:00:00,17.3,-114.5,53,999
2016-08-26 12:00:00,17.4,-114.7,55,997
2016-08-26 15:00:00,17.5,-115.0,58,996
2016-08-26 18:00:00,17.6,-115.3,60,994
2016-08-26 21:00:00,17.7,-115.7,63,992
2016-08-27 00:00:00,17.8,-116.1,65,989
2016-08-27 03:00:00,17.8,-116.5,70,986
2016-08-27 06:00:00,17.8,-116.9,75,982
2016-08-27 09:00:00,17.8,-117.3,80,979
2016-08-27 12:00:00,17.8,-117.8,85,975
2016-08-27 15:00:00,17.8,-118.4,90,972
2016-08-27 18:00:00,17.9,-119.0,95,969
2016-08-27 21:00:00,17.9,-119.6,93,971
2016-08-28 00:00:00,17.9,-120.3,90,973
2016-08-28 03:00:00,17.9,-120.9,88,975
2016-08-28 06:00:00,17.9,-121.6,85,977
2016-08-28 09:00:00,17.8,-122.3,80,980
2016-08-28 12:00:00,17.8,-122.9,75,983
2016-08-28 15:00:00,17.8,-123.5,75,983
2016-08-28 18:00:00,17.8,-124.2,75,983
2016-08-28 21:00:00,17.8,-124.9,78,982
2016-08-29 00:00:00,17.8,-125.6,80,980
2016-08-29 03:00:00,17.8,-126.3,88,975
2016-08-29 06:00:00,17.9,-127.1,95,969
2016-08-29 09:00:00,18.0,-127.9,100,965
2016-08-29 12:00:00,18.0,-128.6,105,960
2016-08-29 15:00:00,18.0,-129.3,110,956
2016-08-29 18:00:00,18.0,-129.9,115,952
2016-08-29 21:00:00,18.0,-130.5,115,953
2016-08-30 00:00:00,18.1,-131.2,115,953
2016-08-30 03:00:00,18.1,-131.9,113,955
2016-08-30 06:00:00,18.1,-132.5,110,957
2016-08-30 09:00:00,18.1,-133.2,108,959
2016-08-30 12:00:00,18.1,-133.8,105,961
2016-08-30 15:00:00,18.0,-134.4,105,961
2016-08-30 18:00:00,17.9,-135.0,105,961
2016-08-30 21:00:00,17.8,-135.5,113,955
2016-08-31 00:00:00,17.8,-136.0,120,948
2016-08-31 03:00:00,17.7,-136.5,123,946
2016-08-31 06:00:00,17.7,-137.0,125,944
2016-08-31 09:00:00,17.7,-137.5,123,946
2016-08-31 12:00:00,17.7,-138.1,120,948
2016-08-31 15:00:00,17.8,-138.7,118,951
2016-08-31 18:00:00,17.9,-139.3,115,953
2016-08-31 21:00:00,18.0,-139.9,110,956
2016-09-01 00:00:00,18.1,-140.6,105,959
2016-09-01 03:00:00,18.1,-141.2,100,963
2016-09-01 06:00:00,18.1,-141.8,95,967
2016-09-01 09:00:00,18.1,-142.4,93,969
2016-09-01 12:00:00,18.2,-143.0,90,971
2016-09-01 15:00:00,18.2,-143.6,95,968
2016-09-01 18:00:00,18.3,-144.2,100,964
2016-09-01 21:00:00,18.4,-144.8,105,961
2016-09-02 00:00:00,18.6,-145.4,110,957
2016-09-02 03:00:00,18.7,-146.0,105,960
2016-09-02 06:00:00,18.9,-146.6,100,963
2016-09-02 09:00:00,19.1,-147.2,98,966
2016-09-02 12:00:00,19.4,-147.8,95,968
2016-09-02 15:00:00,19.6,-148.5,93,971
2016-09-02 18:00:00,19.9,-149.2,90,974
2016-09-02 21:00:00,20.1,-149.9,88,976
2016-09-03 00:00:00,20.4,-150.5,85,977
2016-09-03 03:00:00,20.6,-151.1,83,978
2016-09-03 06:00:00,20.9,-151.7,80,979
2016-09-03 09:00:00,21.2,-152.4,78,981
2016-09-03 12:00:00,21.5,-153.2,75,982
2016-09-03 15:00:00,21.8,-153.9,73,986
2016-09-03 18:00:00,22.0,-154.6,70,989
2016-09-03 21:00:00,22.2,-155.3,68,991
2016-09-04 00:00:00,22.5,-156.0,65,993
2016-09-04 03:00:00,22.7,-156.7,60,996
2016-09-04 06:00:00,23.0,-157.3,55,998
2016-09-04 09:00:00,23.5,-158.0,53,999
2016-09-04 12:00:00,24.0,-158.7,50,1000
2016-09-04 15:00:00,24.5,-159.2,48,1001
2016-09-04 18:00:00,25.0,-159.7,45,1002
2016-09-04 21:00:00,25.5,-160.2,45,1002
2016-09-05 00:00:00,26.1,-160.7,45,1002
2016-09-05 03:00:00,26.6,-161.3,48,1001
2016-09-05 06:00:00,27.2,-161.9,50,1000
2016-09-05 09:00:00,27.8,-162.6,50,1000
2016-09-05 12:00:00,28.3,-163.3,50,1000
2016-09-05 15:00:00,28.8,-163.9,50,1000
2016-09-05 18:00:00,29.3,-164.3,50,1000
2016-09-05 21:00:00,29.8,-164.7,50,1000
2016-09-06 00:00:00,30.3,-165.0,50,1000
2016-09-06 03:00:00,30.9,-165.4,50,1000
