time,lat,lon,vmax,mslp
2016-09-10 12:00:00,12.3,-113.1,25,1009
2016-09-10 15:00:00,12.7,-113.5,25,1009
2016-09-10 18:00:00,13.0,-113.8,25,1009
2016-09-10 21:00:00,13.3,-114.1,28,1009
2016-09-11 00:00:00,13.7,-114.5,30,1008
2016-09-11 03:00:00,14.1,-114.9,33,1008
2016-09-11 06:00:00,14.5,-115.4,35,1007
2016-09-11 09:00:00,14.9,-115.8,38,1006
2016-09-11 12:00:00,15.3,-116.2,40,1005
2016-09-11 15:00:00,15.6,-116.7,43,1004
2016-09-11 18:00:00,15.9,-117.2,45,1003
2016-09-11 21:00:00,16.2,-117.6,50,1002
2016-09-12 00:00:00,16.4,-118.0,55,1001
2016-09-12 03:00:00,16.6,-118.4,60,998
2016-09-12 06:00:00,16.8,-118.7,65,994
2016-09-12 09:00:00,17.0,-118.9,73,987
2016-09-12 12:00:00,17.2,-119.1,80,980
2016-09-12 15:00:00,17.4,-119.2,88,974
2016-09-12 18:00:00,17.7,-119.2,95,967
2016-09-12 21:00:00,18.0,-119.2,95,969
2016-09-13 00:00:00,18.4,-119.1,95,970
2016-09-13 03:00:00,18.7,-119.0,93,971
2016-09-13 06:00:00,18.9,-118.9,90,971
2016-09-13 09:00:00,19.1,-118.8,88,973
2016-09-13 12:00:00,19.2,-118.8,85,974
2016-09-13 15:00:00,19.4,-118.8,83,976
2016-09-13 18:00:00,19.6,-118.7,80,977
2016-09-13 21:00:00,19.7,-118.6,78,979
2016-09-14 00:00:00,19.8,-118.6,75,980
2016-09-14 03:00:00,20.0,-118.6,73,982
2016-09-14 06:00:00,20.1,-118.6,70,984
2016-09-14 09:00:00,20.1,-118.8,70,984
2016-09-14 12:00:00,20.1,-119.0,70,984
2016-09-14 15:00:00,20.1,-119.2,68,986
2016-09-14 18:00:00,20.2,-119.4,65,987
2016-09-14 21:00:00,20.3,-119.7,63,989
2016-09-15 00:00:00,20.3,-120.0,60,991
2016-09-15 03:00:00,20.3,-120.3,60,991
2016-09-15 06:00:00,20.2,-120.7,60,991
2016-09-15 09:00:00,20.1,-121.1,65,988
2016-09-15 12:00:00,20.0,-121.5,70,985
2016-09-15 15:00:00,19.9,-121.9,68,988
2016-09-15 18:00:00,19.9,-122.3,65,990
2016-09-15 21:00:00,19.9,-122.8,60,994
2016-09-16 00:00:00,19.9,-123.3,55,998
2016-09-16 03:00:00,19.9,-123.9,50,1000
2016-09-16 06:00:00,19.9,-124.4,45,1002
2016-09-16 09:00:00,19.9,-124.9,43,1003
2016-09-16 12:00:00,19.9,-125.4,40,1003
2016-09-16 15:00:00,19.9,-125.8,38,1004
2016-09-16 18:00:00,20.0,-126.2,35,1005
2016-09-16 21:00:00,20.0,-126.6,33,1006
2016-09-17 00:00:00,20.1,-127.1,30,1006
2016-09-17 03:00:00,20.2,-127.6,30,1006
2016-09-17 06:00:00,20.2,-128.0,30,1006
