time,lat,lon,vmax,mslp
2016-09-18 00:00:00,16.1,-109.1,30,1006
2016-09-18 03:00:00,16.5,-109.6,33,1005
2016-09-18 06:00:00,16.8,-110.1,35,1004
2016-09-18 09:00:00,17.1,-110.6,38,1003
2016-09-18 12:00:00,17.4,-111.2,40,1002
2016-09-18 15:00:00,17.7,-111.8,45,1000
2016-09-18 18:00:00,18.1,-112.4,50,998
2016-09-18 21:00:00,18.5,-113.0,55,995
2016-09-19 00:00:00,19.0,-113.5,60,992
2016-09-19 03:00:00,19.5,-114.0,65,990
2016-09-19 06:00:00,20.0,-114.4,70,987
2016-09-19 09:00:00,20.5,-114.9,73,984
2016-09-19 12:00:00,21.0,-115.3,75,981
2016-09-19 15:00:00,21.5,-115.7,78,980
2016-09-19 18:00:00,22.0,-116.1,80,979
2016-09-19 21:00:00,22.5,-116.4,75,981
2016-09-20 00:00:00,23.1,-116.6,70,983
2016-09-20 03:00:00,23.6,-116.8,63,989
2016-09-20 06:00:00,24.2,-117.0,55,995
2016-09-20 09:00:00,24.8,-117.1,50,998
2016-09-20 12:00:00,25.4,-117.1,45,1001
2016-09-20 15:00:00,26.0,-117.1,40,1002
2016-09-20 18:00:00,26.6,-117.0,35,1003
2016-09-20 21:00:00,27.1,-116.8,33,1004
2016-09-21 00:00:00,27.5,-116.6,30,1005
2016-09-21 03:00:00,27.9,-116.4,28,1006
2016-09-21 06:00:00,28.3,-116.2,25,1006
2016-09-21 09:00:00,28.7,-116.0,23,1007
2016-09-21 12:00:00,29.1,-115.8,20,1008
