time,lat,lon,vmax,mslp
2016-09-25 12:00:00,11.8,-137.4,25,1009
2016-09-25 15:00:00,11.6,-137.8,25,1009
2016-09-25 18:00:00,11.5,-138.1,25,1008
2016-09-25 21:00:00,11.4,-138.4,25,1008
2016-09-26 00:00:00,11.3,-138.6,25,1008
2016-09-26 03:00:00,11.2,-138.8,28,1008
2016-09-26 06:00:00,11.2,-139.1,30,1007
2016-09-26 09:00:00,11.2,-139.4,30,1007
2016-09-26 12:00:00,11.3,-139.7,30,1006
2016-09-26 15:00:00,11.4,-140.0,30,1006
2016-09-26 18:00:00,11.5,-140.2,30,1005
2016-09-26 21:00:00,11.5,-140.3,30,1005
2016-09-27 00:00:00,11.6,-140.4,30,1005
2016-09-27 03:00:00,11.7,-140.4,33,1005
2016-09-27 06:00:00,11.9,-140.4,35,1004
2016-09-27 09:00:00,12.0,-140.3,40,1002
2016-09-27 12:00:00,12.2,-140.2,45,999
2016-09-27 15:00:00,12.4,-140.0,48,998
2016-09-27 18:00:00,12.6,-139.8,50,997
2016-09-27 21:00:00,12.8,-139.6,53,996
2016-09-28 00:00:00,13.1,-139.4,55,995
2016-09-28 03:00:00,13.3,-139.2,60,994
2016-09-28 06:00:00,13.6,-139.1,65,992
2016-09-28 09:00:00,13.8,-138.9,65,992
2016-09-28 12:00:00,14.1,-138.8,65,992
2016-09-28 15:00:00,14.4,-138.7,63,993
2016-09-28 18:00:00,14.8,-138.7,60,994
2016-09-28 21:00:00,15.2,-138.7,58,996
2016-09-29 00:00:00,15.5,-138.8,55,997
2016-09-29 03:00:00,15.8,-138.9,53,999
2016-09-29 06:00:00,16.0,-139.1,50,1000
2016-09-29 09:00:00,16.3,-139.3,48,1002
2016-09-29 12:00:00,16.5,-139.5,45,1003
2016-09-29 15:00:00,16.7,-139.7,43,1005
2016-09-29 18:00:00,16.9,-139.9,40,1006
2016-09-29 21:00:00,17.2,-140.2,38,1007
2016-09-30 00:00:00,17.5,-140.6,35,1008
2016-09-30 03:00:00,17.7,-140.9,33,1009
2016-09-30 06:00:00,17.9,-141.3,30,1009
2016-09-30 09:00:00,18.1,-141.7,30,1010
2016-09-30 12:00:00,18.2,-142.1,30,1010
2016-09-30 15:00:00,18.4,-142.5,30,1011
2016-09-30 18:00:00,18.5,-142.9,30,1011
2016-09-30 21:00:00,18.6,-143.4,30,1012
2016-10-01 00:00:00,18.6,-144.0,30,1012
2016-10-01 03:00:00,18.7,-144.6,28,1013
2016-10-01 06:00:00,18.7,-145.3,25,1013
2016-10-01 09:00:00,18.7,-146.1,25,1013
2016-10-01 12:00:00,18.7,-146.9,25,1013
2016-10-01 15:00:00,18.7,-147.8,25,1013
2016-10-01 18:00:00,18.5,-148.8,25,1013
2016-10-01 21:00:00,18.1,-149.7,25,1013
2016-10-02 00:00:00,17.7,-150.5,25,1013
2016-10-02 03:00:00,17.4,-151.3,25,1013
2016-10-02 06:00:00,17.1,-152.1,25,1013
2016-10-02 09:00:00,16.8,-152.9,25,1013
2016-10-02 12:00:00,16.6,-153.6,25,1013
2016-10-02 15:00:00,16.3,-154.3,25,1014
2016-10-02 18:00:00,16.0,-155.0,25,1014
2016-10-02 21:00:00,15.7,-155.7,25,1014
2016-10-03 00:00:00,15.4,-156.5,25,1014
