time,lat,lon,vmax,mslp
2016-10-22 06:00:00,11.4,-98.4,25,1007
2016-10-22 09:00:00,11.6,-98.9,25,1007
2016-10-22 12:00:00,11.7,-99.5,25,1007
2016-10-22 15:00:00,11.8,-100.1,25,1007
2016-10-22 18:00:00,12.0,-100.6,25,1007
2016-10-22 21:00:00,12.1,-101.1,25,1007
2016-10-23 00:00:00,12.3,-101.7,25,1007
2016-10-23 03:00:00,12.5,-102.3,28,1007
2016-10-23 06:00:00,12.7,-102.9,30,1007
2016-10-23 09:00:00,12.9,-103.5,33,1006
2016-10-23 12:00:00,13.2,-104.1,35,1005
2016-10-23 15:00:00,13.4,-104.7,38,1004
2016-10-23 18:00:00,13.7,-105.3,40,1003
2016-10-23 21:00:00,14.0,-105.9,45,1002
2016-10-24 00:00:00,14.2,-106.5,50,1000
2016-10-24 03:00:00,14.4,-107.1,55,998
2016-10-24 06:00:00,14.6,-107.8,60,995
2016-10-24 09:00:00,14.8,-108.4,65,992
2016-10-24 12:00:00,14.9,-109.1,70,989
2016-10-24 15:00:00,15.1,-109.8,75,987
2016-10-24 18:00:00,15.2,-110.5,80,984
2016-10-24 21:00:00,15.3,-111.2,83,982
2016-10-25 00:00:00,15.3,-111.9,85,980
2016-10-25 03:00:00,15.3,-112.6,90,977
2016-10-25 06:00:00,15.4,-113.2,95,974
2016-10-25 09:00:00,15.4,-113.9,100,969
2016-10-25 12:00:00,15.5,-114.5,105,964
2016-10-25 15:00:00,15.5,-115.2,110,960
2016-10-25 18:00:00,15.6,-115.8,115,956
2016-10-25 21:00:00,15.7,-116.4,123,949
2016-10-26 00:00:00,15.9,-117.1,130,942
2016-10-26 03:00:00,16.0,-117.8,130,941
2016-10-26 06:00:00,16.2,-118.4,130,940
2016-10-26 09:00:00,16.4,-119.1,128,943
2016-10-26 12:00:00,16.6,-119.7,125,945
2016-10-26 15:00:00,16.8,-120.2,118,951
2016-10-26 18:00:00,17.1,-120.7,110,957
2016-10-26 21:00:00,17.5,-121.1,103,963
2016-10-27 00:00:00,18.0,-121.4,95,969
2016-10-27 03:00:00,18.5,-121.7,88,974
2016-10-27 06:00:00,19.0,-122.0,80,979
2016-10-27 09:00:00,19.4,-122.3,73,984
2016-10-27 12:00:00,19.8,-122.6,65,989
2016-10-27 15:00:00,20.4,-122.8,60,992
2016-10-27 18:00:00,20.9,-123.0,55,995
2016-10-27 21:00:00,21.3,-123.1,48,998
2016-10-28 00:00:00,21.6,-123.1,40,1001
2016-10-28 03:00:00,21.9,-123.0,38,1003
2016-10-28 06:00:00,22.1,-122.9,35,1004
2016-10-28 09:00:00,22.3,-122.7,33,1005
2016-10-28 12:00:00,22.5,-122.5,30,1006
2016-10-28 15:00:00,22.7,-122.3,28,1007
2016-10-28 18:00:00,22.8,-122.1,25,1007
2016-10-28 21:00:00,22.9,-121.9,23,1008
2016-10-29 00:00:00,23.0,-121.7,20,1008
2016-10-29 03:00:00,23.2,-121.6,20,1009
2016-10-29 06:00:00,23.4,-121.5,20,1009
2016-10-29 09:00:00,23.6,-121.5,18,1010
2016-10-29 12:00:00,23.8,-121.5,15,1010
2016-10-29 15:00:00,24.0,-121.5,15,1011
2016-10-29 18:00:00,24.2,-121.4,15,1011
2016-10-29 21:00:00,24.4,-121.3,15,1012
2016-10-30 00:00:00,24.6,-121.3,15,1012
2016-10-30 03:00:00,24.8,-121.3,15,1012
2016-10-30 06:00:00,25.0,-121.2,15,1012
