time,lat,lon,vmax,mslp
2016-11-13 06:00:00,17.5,-107.3,35,1005
2016-11-13 09:00:00,17.6,-107.2,35,1005
2016-11-13 12:00:00,17.7,-107.2,35,1004
2016-11-13 15:00:00,17.8,-107.2,35,1005
2016-11-13 18:00:00,17.9,-107.2,35,1005
2016-11-13 21:00:00,18.1,-107.2,35,1005
2016-11-14 00:00:00,18.3,-107.2,35,1005
2016-11-14 03:00:00,18.5,-107.4,33,1006
2016-11-14 06:00:00,18.6,-107.7,30,1006
2016-11-14 09:00:00,18.7,-108.0,30,1007
2016-11-14 12:00:00,18.8,-108.3,30,1007
2016-11-14 15:00:00,18.9,-108.6,30,1008
2016-11-14 18:00:00,18.9,-108.8,30,1008
2016-11-14 21:00:00,19.0,-109.1,28,1009
2016-11-15 00:00:00,19.0,-109.4,25,1009
2016-11-15 03:00:00,19.0,-109.7,25,1009
2016-11-15 06:00:00,19.0,-110.0,25,1009
2016-11-15 09:00:00,19.0,-110.3,25,1009
2016-11-15 12:00:00,19.0,-110.5,25,1009
2016-11-15 15:00:00,19.0,-110.8,25,1009
2016-11-15 18:00:00,19.0,-111.0,25,1009
2016-11-15 21:00:00,19.0,-111.2,23,1010
2016-11-16 00:00:00,19.0,-111.5,20,1010
2016-11-16 03:00:00,18.9,-111.8,20,1011
2016-11-16 06:00:00,18.9,-112.0,20,1011
2016-11-16 09:00:00,18.9,-112.3,20,1011
2016-11-16 12:00:00,18.9,-112.5,20,1011
2016-11-16 15:00:00,18.9,-112.7,20,1012
2016-11-16 18:00:00,18.9,-112.8,20,1012
2016-11-16 21:00:00,18.8,-112.9,20,1013
2016-11-17 00:00:00,18.8,-112.9,20,1013
2016-11-17 03:00:00,18.8,-113.0,20,1013
2016-11-17 06:00:00,18.8,-113.0,20,1013
2016-11-17 09:00:00,18.8,-113.0,20,1013
2016-11-17 12:00:00,18.9,-113.1,20,1013
2016-11-17 15:00:00,18.9,-113.2,18,1014
2016-11-17 18:00:00,18.9,-113.4,15,1014
2016-11-17 21:00:00,18.9,-113.5,15,1014
2016-11-18 00:00:00,18.9,-113.7,15,1014
2016-11-18 03:00:00,18.9,-113.9,15,1014
2016-11-18 06:00:00,18.9,-114.2,15,1014
2016-11-18 09:00:00,19.0,-114.5,15,1014
2016-11-18 12:00:00,19.1,-114.7,15,1014
