time,lat,lon,vmax,mslp
2016-11-17 18:00:00,12.5,-80.7,20,1006
2016-11-17 21:00:00,12.4,-81.0,20,1006
2016-11-18 00:00:00,12.3,-81.3,20,1005
2016-11-18 03:00:00,12.1,-81.5,20,1005
2016-11-18 06:00:00,11.8,-81.7,20,1005
2016-11-18 09:00:00,11.6,-81.9,20,1005
2016-11-18 12:00:00,11.4,-82.0,20,1005
2016-11-18 15:00:00,11.3,-82.0,20,1005
2016-11-18 18:00:00,11.2,-82.0,20,1005
2016-11-18 21:00:00,11.1,-82.0,23,1005
2016-11-19 00:00:00,11.1,-82.0,25,1005
2016-11-19 03:00:00,11.0,-81.9,25,1005
2016-11-19 06:00:00,11.0,-81.8,25,1005
2016-11-19 09:00:00,11.0,-81.7,25,1005
2016-11-19 12:00:00,10.9,-81.5,25,1005
2016-11-19 15:00:00,10.8,-81.4,25,1005
2016-11-19 18:00:00,10.8,-81.2,25,1005
2016-11-19 21:00:00,10.7,-81.0,25,1005
2016-11-20 00:00:00,10.7,-80.8,25,1005
2016-11-20 03:00:00,10.7,-80.6,25,1005
2016-11-20 06:00:00,10.7,-80.4,25,1005
2016-11-20 09:00:00,10.8,-80.2,25,1005
2016-11-20 12:00:00,10.9,-80.0,25,1004
2016-11-20 15:00:00,11.0,-79.8,28,1003
2016-11-20 18:00:00,11.1,-79.7,30,1002
2016-11-20 21:00:00,11.2,-79.5,30,1002
2016-11-21 00:00:00,11.3,-79.4,30,1002
2016-11-21 03:00:00,11.3,-79.3,33,1002
2016-11-21 06:00:00,11.3,-79.3,35,1002
2016-11-21 09:00:00,11.3,-79.3,38,1002
2016-11-21 12:00:00,11.3,-79.2,40,1001
2016-11-21 15:00:00,11.2,-79.1,43,1001
2016-11-21 18:00:00,11.1,-79.1,45,1000
2016-11-21 21:00:00,11.0,-79.1,48,999
2016-11-22 00:00:00,10.8,-79.1,50,998
2016-11-22 03:00:00,10.7,-79.1,53,995
2016-11-22 06:00:00,10.6,-79.1,55,992
2016-11-22 09:00:00,10.5,-79.1,58,989
2016-11-22 12:00:00,10.4,-79.2,60,986
2016-11-22 15:00:00,10.4,-79.3,60,986
2016-11-22 18:00:00,10.5,-79.4,60,986
2016-11-22 21:00:00,10.5,-79.5,60,987
2016-11-23 00:00:00,10.6,-79.6,60,987
2016-11-23 03:00:00,10.7,-79.8,60,989
2016-11-23 06:00:00,10.8,-80.0,60,991
2016-11-23 09:00:00,10.9,-80.2,60,993
2016-11-23 12:00:00,11.0,-80.4,60,994
2016-11-23 15:00:00,11.1,-80.7,63,992
2016-11-23 18:00:00,11.2,-81.1,65,990
2016-11-23 21:00:00,11.2,-81.5,73,985
2016-11-24 00:00:00,11.2,-81.8,80,980
2016-11-24 03:00:00,11.2,-82.1,85,979
2016-11-24 06:00:00,11.1,-82.4,90,978
2016-11-24 09:00:00,11.0,-82.7,95,977
2016-11-24 12:00:00,11.0,-83.0,100,975
2016-11-24 15:00:00,11.0,-83.4,100,975
2016-11-24 17:30:00,11.0,-83.8,100,975
2016-11-24 18:00:00,11.0,-83.9,95,978
2016-11-24 21:00:00,11.0,-84.4,80,985
2016-11-25 00:00:00,10.9,-84.9,65,992
2016-11-25 03:00:00,10.7,-85.5,61,993
2016-11-25 03:30:00,10.7,-85.6,60,993
2016-11-25 06:00:00,10.6,-86.2,60,994
2016-11-25 09:00:00,10.5,-86.9,58,995
2016-11-25 12:00:00,10.3,-87.5,55,995
2016-11-25 15:00:00,10.1,-88.1,53,996
2016-11-25 18:00:00,10.0,-88.8,50,997
2016-11-25 21:00:00,9.8,-89.5,48,999
2016-11-26 00:00:00,9.7,-90.2,45,1000
2016-11-26 03:00:00,9.5,-90.9,43,1002
2016-11-26 06:00:00,9.4,-91.7,40,1003
2016-11-26 09:00:00,9.3,-92.5,35,1004
2016-11-26 12:00:00,9.1,-93.3,30,1005
