time,lat,lon,vmax,mslp
2017-06-11 12:00:00,14.0,-94.7,30,1006
2017-06-11 15:00:00,14.3,-94.7,30,1006
2017-06-11 18:00:00,14.5,-94.8,30,1006
2017-06-11 21:00:00,14.7,-94.9,30,1006
2017-06-12 00:00:00,14.9,-94.9,30,1006
2017-06-12 03:00:00,15.1,-94.9,30,1006
2017-06-12 06:00:00,15.2,-95.0,30,1006
2017-06-12 09:00:00,15.3,-95.1,30,1006
2017-06-12 12:00:00,15.4,-95.2,30,1006
2017-06-12 15:00:00,15.5,-95.3,33,1006
2017-06-12 18:00:00,15.6,-95.4,35,1005
2017-06-12 21:00:00,15.7,-95.5,38,1005
2017-06-13 00:00:00,15.9,-95.7,40,1004
2017-06-13 03:00:00,16.1,-95.9,35,1006
2017-06-13 06:00:00,16.2,-96.1,30,1007
