time,lat,lon,vmax,mslp
2017-08-10 12:00:00,15.5,171.9,20.0,1007.0
2017-08-10 15:00:00,15.9,171.3,23.0,1006.0
2017-08-10 18:00:00,16.3,170.7,25.0,1004.0
2017-08-10 21:00:00,16.5,170.2,28.0,1005.0
2017-08-11 00:00:00,16.7,169.8,30.0,1006.0
2017-08-11 03:00:00,16.9,169.3,33.0,1007.0
2017-08-11 06:00:00,17.1,168.8,35.0,1007.0
2017-08-11 09:00:00,17.3,168.3,38.0,1000.0
2017-08-11 12:00:00,17.6,167.7,40.0,993.0
2017-08-11 15:00:00,17.9,167.1,43.0,991.0
2017-08-11 18:00:00,18.2,166.6,45.0,989.0
2017-08-11 21:00:00,18.4,166.1,48.0,987.0
2017-08-12 00:00:00,18.7,165.7,50.0,985.0
2017-08-12 03:00:00,19.0,165.4,55.0,982.0
2017-08-12 06:00:00,19.3,165.1,60.0,978.0
2017-08-12 09:00:00,19.7,164.9,68.0,973.0
2017-08-12 12:00:00,20.0,164.7,75.0,967.0
2017-08-12 15:00:00,20.3,164.5,85.0,960.0
2017-08-12 18:00:00,20.5,164.3,95.0,952.0
2017-08-12 21:00:00,20.7,164.2,110.0,941.0
2017-08-13 00:00:00,21.0,164.1,100.0,948.0
2017-08-13 03:00:00,21.3,164.0,98.0,950.0
2017-08-13 06:00:00,21.5,163.9,95.0,952.0
2017-08-13 09:00:00,21.7,163.8,93.0,954.0
2017-08-13 12:00:00,21.9,163.7,90.0,955.0
2017-08-13 15:00:00,22.0,163.6,88.0,957.0
2017-08-13 18:00:00,22.2,163.5,85.0,959.0
2017-08-13 21:00:00,22.5,163.4,85.0,959.0
2017-08-14 00:00:00,22.8,163.4,85.0,959.0
2017-08-14 03:00:00,23.1,163.4,85.0,959.0
2017-08-14 06:00:00,23.4,163.3,85.0,959.0
2017-08-14 09:00:00,23.7,163.2,83.0,961.0
2017-08-14 12:00:00,24.1,163.0,80.0,963.0
2017-08-14 15:00:00,24.4,162.8,83.0,962.0
2017-08-14 18:00:00,24.8,162.7,85.0,960.0
2017-08-14 21:00:00,25.4,162.6,85.0,960.0
2017-08-15 00:00:00,26.0,162.4,85.0,959.0
2017-08-15 03:00:00,26.5,162.2,83.0,961.0
2017-08-15 06:00:00,27.1,162.1,80.0,963.0
2017-08-15 09:00:00,27.7,162.2,78.0,965.0
2017-08-15 12:00:00,28.4,162.3,75.0,967.0
2017-08-15 15:00:00,29.0,162.3,73.0,969.0
2017-08-15 18:00:00,29.7,162.5,70.0,970.0
2017-08-15 21:00:00,30.6,163.0,68.0,972.0
2017-08-16 00:00:00,31.5,163.6,65.0,974.0
2017-08-16 03:00:00,32.2,164.2,68.0,972.0
2017-08-16 06:00:00,33.1,165.1,70.0,970.0
2017-08-16 09:00:00,34.3,166.4,73.0,969.0
2017-08-16 12:00:00,35.6,167.8,75.0,967.0
2017-08-16 15:00:00,36.7,169.2,70.0,971.0
2017-08-16 18:00:00,37.9,170.6,65.0,974.0
2017-08-16 21:00:00,39.2,172.2,63.0,976.0
2017-08-17 00:00:00,40.6,173.8,60.0,978.0
2017-08-17 03:00:00,41.8,175.2,58.0,980.0
2017-08-17 06:00:00,43.0,176.4,55.0,982.0
