time,lat,lon,vmax,mslp
2017-08-11 12:00:00,18.5,-106.7,30,1004
2017-08-11 15:00:00,18.7,-107.4,33,1004
2017-08-11 18:00:00,18.8,-108.0,35,1003
2017-08-11 21:00:00,18.9,-108.6,35,1003
2017-08-12 00:00:00,19.1,-109.2,35,1003
2017-08-12 03:00:00,19.3,-109.7,35,1003
2017-08-12 06:00:00,19.6,-110.2,35,1003
2017-08-12 09:00:00,19.8,-110.7,35,1003
2017-08-12 12:00:00,20.0,-111.3,35,1003
2017-08-12 15:00:00,20.1,-111.8,33,1004
2017-08-12 18:00:00,20.2,-112.4,30,1004
2017-08-12 21:00:00,20.3,-113.0,30,1005
2017-08-13 00:00:00,20.4,-113.7,30,1005
2017-08-13 03:00:00,20.4,-114.4,28,1006
2017-08-13 06:00:00,20.4,-115.1,25,1006
2017-08-13 09:00:00,20.4,-115.9,25,1006
2017-08-13 12:00:00,20.4,-116.6,25,1006
2017-08-13 15:00:00,20.4,-117.3,25,1006
2017-08-13 18:00:00,20.4,-118.0,25,1006
2017-08-13 21:00:00,20.4,-118.7,25,1006
2017-08-14 00:00:00,20.4,-119.3,25,1006
2017-08-14 03:00:00,20.4,-119.9,25,1006
2017-08-14 06:00:00,20.4,-120.5,25,1006
2017-08-14 09:00:00,20.3,-121.1,25,1007
2017-08-14 12:00:00,20.3,-121.6,25,1007
2017-08-14 15:00:00,20.3,-122.1,25,1007
2017-08-14 18:00:00,20.3,-122.7,25,1007
2017-08-14 21:00:00,20.3,-123.2,25,1007
2017-08-15 00:00:00,20.2,-123.8,25,1007
2017-08-15 03:00:00,20.1,-124.4,25,1007
2017-08-15 06:00:00,20.0,-125.0,25,1007
2017-08-15 09:00:00,19.9,-125.5,23,1008
2017-08-15 12:00:00,19.8,-126.1,20,1008
2017-08-15 15:00:00,19.7,-126.7,20,1008
2017-08-15 18:00:00,19.6,-127.3,20,1008
2017-08-15 21:00:00,19.5,-127.9,20,1008
2017-08-16 00:00:00,19.4,-128.4,20,1008
2017-08-16 03:00:00,19.3,-128.9,20,1008
2017-08-16 06:00:00,19.2,-129.5,20,1008
2017-08-16 09:00:00,19.1,-130.0,20,1008
2017-08-16 12:00:00,19.0,-130.6,20,1008
2017-08-16 15:00:00,18.9,-131.2,20,1008
2017-08-16 18:00:00,18.8,-131.7,20,1008
2017-08-16 21:00:00,18.7,-132.2,20,1008
2017-08-17 00:00:00,18.6,-132.7,20,1008
