time,lat,lon,vmax,mslp
2017-09-11 06:00:00,16.4,-108.6,25,1009
2017-09-11 09:00:00,16.5,-109.3,25,1008
2017-09-11 12:00:00,16.5,-110.0,25,1007
2017-09-11 15:00:00,16.5,-110.7,25,1007
2017-09-11 18:00:00,16.4,-111.5,25,1006
2017-09-11 21:00:00,16.3,-112.3,25,1006
2017-09-12 00:00:00,16.2,-113.0,25,1006
2017-09-12 03:00:00,16.1,-113.7,25,1006
2017-09-12 06:00:00,16.0,-114.4,25,1006
2017-09-12 09:00:00,15.9,-115.1,28,1005
2017-09-12 12:00:00,15.8,-115.7,30,1004
2017-09-12 15:00:00,15.7,-116.3,30,1004
2017-09-12 18:00:00,15.5,-116.9,30,1004
2017-09-12 21:00:00,15.3,-117.5,33,1004
2017-09-13 00:00:00,15.2,-118.0,35,1003
2017-09-13 03:00:00,15.0,-118.6,35,1003
2017-09-13 06:00:00,14.9,-119.1,35,1003
2017-09-13 09:00:00,14.9,-119.6,33,1004
2017-09-13 12:00:00,14.9,-120.1,30,1004
2017-09-13 15:00:00,14.9,-120.5,30,1004
2017-09-13 18:00:00,15.0,-120.9,30,1004
2017-09-13 21:00:00,15.0,-121.2,30,1004
2017-09-14 00:00:00,15.1,-121.5,30,1004
2017-09-14 03:00:00,15.1,-121.8,30,1004
2017-09-14 06:00:00,15.2,-122.1,30,1004
2017-09-14 09:00:00,15.2,-122.4,30,1005
2017-09-14 12:00:00,15.3,-122.7,30,1005
2017-09-14 15:00:00,15.4,-123.0,30,1005
2017-09-14 18:00:00,15.5,-123.3,30,1005
2017-09-14 21:00:00,15.6,-123.6,30,1006
2017-09-15 00:00:00,15.7,-123.9,30,1006
2017-09-15 03:00:00,15.8,-124.2,30,1006
2017-09-15 06:00:00,15.9,-124.4,30,1006
2017-09-15 09:00:00,16.0,-124.6,30,1007
2017-09-15 12:00:00,16.0,-124.8,30,1007
2017-09-15 15:00:00,16.0,-125.0,30,1007
2017-09-15 18:00:00,16.0,-125.2,30,1007
2017-09-15 21:00:00,16.0,-125.4,28,1008
2017-09-16 00:00:00,15.9,-125.5,25,1008
2017-09-16 03:00:00,15.8,-125.7,25,1008
2017-09-16 06:00:00,15.8,-125.9,25,1008
2017-09-16 09:00:00,15.8,-126.1,28,1008
2017-09-16 12:00:00,15.8,-126.4,30,1007
2017-09-16 15:00:00,15.8,-126.6,33,1007
2017-09-16 18:00:00,15.8,-126.8,35,1006
2017-09-16 21:00:00,15.8,-127.0,38,1006
2017-09-17 00:00:00,15.8,-127.1,40,1005
2017-09-17 03:00:00,15.9,-127.2,45,1003
2017-09-17 06:00:00,16.0,-127.3,50,1001
2017-09-17 09:00:00,16.1,-127.3,58,996
2017-09-17 12:00:00,16.3,-127.2,65,991
2017-09-17 15:00:00,16.5,-127.1,73,986
2017-09-17 18:00:00,16.8,-127.1,80,980
2017-09-17 21:00:00,17.2,-127.1,90,973
2017-09-18 00:00:00,17.6,-127.2,100,965
2017-09-18 03:00:00,18.0,-127.3,95,969
2017-09-18 06:00:00,18.3,-127.3,90,973
2017-09-18 09:00:00,18.5,-127.4,78,982
2017-09-18 12:00:00,18.7,-127.4,65,991
2017-09-18 15:00:00,18.9,-127.5,55,997
2017-09-18 18:00:00,19.0,-127.5,45,1002
2017-09-18 21:00:00,19.1,-127.5,43,1003
2017-09-19 00:00:00,19.1,-127.6,40,1004
2017-09-19 03:00:00,19.1,-127.7,38,1005
2017-09-19 06:00:00,19.1,-127.8,35,1006
2017-09-19 09:00:00,19.1,-128.0,33,1007
2017-09-19 12:00:00,19.0,-128.3,30,1007
2017-09-19 15:00:00,18.8,-128.5,30,1007
2017-09-19 18:00:00,18.6,-128.8,30,1007
2017-09-19 21:00:00,18.4,-129.1,28,1008
2017-09-20 00:00:00,18.1,-129.4,25,1008
2017-09-20 03:00:00,17.8,-129.6,25,1008
2017-09-20 06:00:00,17.6,-129.9,25,1008
2017-09-20 09:00:00,17.3,-130.2,25,1008
2017-09-20 12:00:00,17.1,-130.5,25,1008
2017-09-20 15:00:00,16.8,-130.8,25,1008
2017-09-20 18:00:00,16.6,-131.1,25,1008
2017-09-20 21:00:00,16.4,-131.4,23,1009
2017-09-21 00:00:00,16.1,-131.7,20,1009
