time,lat,lon,vmax,mslp
2017-09-22 00:00:00,16.7,-103.3,25,1007
2017-09-22 03:00:00,16.8,-103.4,25,1007
2017-09-22 06:00:00,16.8,-103.6,25,1006
2017-09-22 09:00:00,16.8,-103.8,25,1006
2017-09-22 12:00:00,16.9,-103.9,25,1005
2017-09-22 15:00:00,17.0,-104.1,25,1005
2017-09-22 18:00:00,17.1,-104.2,25,1005
2017-09-22 21:00:00,17.2,-104.3,25,1005
2017-09-23 00:00:00,17.3,-104.4,25,1005
2017-09-23 03:00:00,17.4,-104.5,25,1005
2017-09-23 06:00:00,17.6,-104.7,25,1005
2017-09-23 09:00:00,17.8,-104.9,28,1005
2017-09-23 12:00:00,17.9,-105.0,30,1005
2017-09-23 15:00:00,18.0,-105.1,33,1005
2017-09-23 18:00:00,18.2,-105.2,35,1004
2017-09-23 21:00:00,18.4,-105.3,35,1004
2017-09-24 00:00:00,18.6,-105.4,35,1003
2017-09-24 03:00:00,18.9,-105.5,38,1003
2017-09-24 06:00:00,19.2,-105.7,40,1002
2017-09-24 09:00:00,19.6,-105.9,43,1001
2017-09-24 12:00:00,20.0,-106.0,45,1000
2017-09-24 15:00:00,20.4,-106.2,45,1000
2017-09-24 18:00:00,20.9,-106.3,45,1000
2017-09-24 21:00:00,21.4,-106.5,43,1001
2017-09-25 00:00:00,21.8,-106.6,40,1002
2017-09-25 03:00:00,22.1,-106.7,38,1003
2017-09-25 06:00:00,22.3,-106.8,35,1003
2017-09-25 09:00:00,22.5,-106.9,30,1004
2017-09-25 12:00:00,22.6,-107.0,25,1004
