time,lat,lon,vmax,mslp
2018-06-23 00:00:00,12.4,-115.9,20,1009
2018-06-23 03:00:00,12.5,-115.8,23,1009
2018-06-23 06:00:00,12.6,-115.7,25,1009
2018-06-23 09:00:00,12.7,-115.6,25,1009
2018-06-23 12:00:00,12.8,-115.5,25,1008
2018-06-23 15:00:00,12.9,-115.5,25,1008
2018-06-23 18:00:00,13.1,-115.5,25,1008
2018-06-23 21:00:00,13.4,-115.5,28,1008
2018-06-24 00:00:00,13.7,-115.5,30,1007
2018-06-24 03:00:00,14.1,-115.5,30,1007
2018-06-24 06:00:00,14.6,-115.6,30,1007
2018-06-24 09:00:00,15.0,-115.7,33,1007
2018-06-24 12:00:00,15.5,-115.8,35,1006
2018-06-24 15:00:00,16.0,-115.9,38,1005
2018-06-24 18:00:00,16.6,-116.0,40,1004
2018-06-24 21:00:00,17.1,-116.1,40,1004
2018-06-25 00:00:00,17.6,-116.3,40,1004
2018-06-25 03:00:00,18.0,-116.4,40,1004
2018-06-25 06:00:00,18.4,-116.6,40,1004
2018-06-25 09:00:00,18.6,-116.9,38,1005
2018-06-25 12:00:00,18.8,-117.3,35,1005
2018-06-25 15:00:00,19.0,-117.6,33,1006
2018-06-25 18:00:00,19.2,-117.8,30,1006
2018-06-25 21:00:00,19.4,-118.1,30,1007
2018-06-26 00:00:00,19.6,-118.4,30,1007
2018-06-26 03:00:00,19.7,-118.7,28,1007
2018-06-26 06:00:00,19.8,-119.0,25,1007
2018-06-26 09:00:00,19.9,-119.4,25,1008
2018-06-26 12:00:00,19.9,-119.7,25,1008
2018-06-26 15:00:00,20.0,-120.0,25,1008
2018-06-26 18:00:00,20.0,-120.3,25,1008
2018-06-26 21:00:00,20.0,-120.6,25,1009
2018-06-27 00:00:00,19.9,-121.0,25,1009
2018-06-27 03:00:00,19.8,-121.3,23,1009
2018-06-27 06:00:00,19.7,-121.7,20,1009
2018-06-27 09:00:00,19.6,-122.1,20,1010
2018-06-27 12:00:00,19.6,-122.5,20,1010
2018-06-27 15:00:00,19.6,-123.0,20,1010
2018-06-27 18:00:00,19.5,-123.5,20,1010
2018-06-27 21:00:00,19.4,-124.0,20,1010
2018-06-28 00:00:00,19.4,-124.4,20,1010
2018-06-28 03:00:00,19.4,-124.8,20,1010
2018-06-28 06:00:00,19.3,-125.3,20,1010
