time,lat,lon,vmax,mslp
2018-08-04 18:00:00,12.3,-94.5,25,1008
2018-08-04 21:00:00,12.6,-95.0,25,1008
2018-08-05 00:00:00,12.8,-95.5,25,1008
2018-08-05 03:00:00,12.9,-95.9,28,1007
2018-08-05 06:00:00,13.0,-96.3,30,1006
2018-08-05 09:00:00,13.1,-96.7,33,1006
2018-08-05 12:00:00,13.3,-97.1,35,1006
2018-08-05 15:00:00,13.4,-97.5,40,1005
2018-08-05 18:00:00,13.6,-97.9,45,1003
2018-08-05 21:00:00,13.8,-98.3,48,1002
2018-08-06 00:00:00,14.1,-98.8,50,1001
2018-08-06 03:00:00,14.5,-99.4,50,1000
2018-08-06 06:00:00,14.9,-100.0,50,999
2018-08-06 09:00:00,15.3,-100.6,53,999
2018-08-06 12:00:00,15.8,-101.2,55,998
2018-08-06 15:00:00,16.2,-101.9,55,999
2018-08-06 18:00:00,16.7,-102.6,55,999
2018-08-06 21:00:00,17.2,-103.4,53,999
2018-08-07 00:00:00,17.7,-104.2,50,999
2018-08-07 03:00:00,18.3,-105.1,48,1001
2018-08-07 06:00:00,19.0,-106.0,45,1002
