time,lat,lon,vmax,mslp
2018-08-27 18:00:00,14.6,-109.4,25,1008
2018-08-27 21:00:00,15.0,-109.9,25,1008
2018-08-28 00:00:00,15.3,-110.3,25,1007
2018-08-28 03:00:00,15.6,-110.7,25,1007
2018-08-28 06:00:00,16.0,-111.0,25,1006
2018-08-28 09:00:00,16.4,-111.3,28,1006
2018-08-28 12:00:00,16.7,-111.7,30,1006
2018-08-28 15:00:00,17.0,-112.1,33,1005
2018-08-28 18:00:00,17.2,-112.5,35,1004
2018-08-28 21:00:00,17.3,-112.9,40,1002
2018-08-29 00:00:00,17.4,-113.4,45,1000
2018-08-29 03:00:00,17.5,-113.9,48,1000
2018-08-29 06:00:00,17.5,-114.3,50,999
2018-08-29 09:00:00,17.5,-114.7,53,997
2018-08-29 12:00:00,17.6,-115.1,55,995
2018-08-29 15:00:00,17.7,-115.4,60,992
2018-08-29 18:00:00,17.7,-115.7,65,988
2018-08-29 21:00:00,17.7,-116.0,70,985
2018-08-30 00:00:00,17.7,-116.3,75,982
2018-08-30 03:00:00,17.7,-116.6,85,975
2018-08-30 06:00:00,17.7,-117.0,95,968
2018-08-30 09:00:00,17.7,-117.3,110,955
2018-08-30 12:00:00,17.7,-117.7,125,941
2018-08-30 15:00:00,17.7,-118.0,128,939
2018-08-30 18:00:00,17.6,-118.4,130,937
2018-08-30 21:00:00,17.5,-118.8,130,937
2018-08-31 00:00:00,17.4,-119.2,130,937
2018-08-31 03:00:00,17.3,-119.6,128,939
2018-08-31 06:00:00,17.1,-119.9,125,940
2018-08-31 09:00:00,16.9,-120.2,120,945
2018-08-31 12:00:00,16.8,-120.5,115,949
2018-08-31 15:00:00,16.7,-120.8,113,951
2018-08-31 18:00:00,16.6,-121.1,110,953
2018-08-31 21:00:00,16.5,-121.4,105,957
2018-09-01 00:00:00,16.4,-121.8,100,961
2018-09-01 03:00:00,16.3,-122.1,95,966
2018-09-01 06:00:00,16.3,-122.5,90,970
2018-09-01 09:00:00,16.2,-122.9,90,970
2018-09-01 12:00:00,16.2,-123.3,90,970
2018-09-01 15:00:00,16.2,-123.8,90,970
2018-09-01 18:00:00,16.2,-124.3,90,970
2018-09-01 21:00:00,16.3,-124.9,90,970
2018-09-02 00:00:00,16.5,-125.5,90,970
2018-09-02 03:00:00,16.7,-126.1,93,968
2018-09-02 06:00:00,16.9,-126.7,95,966
2018-09-02 09:00:00,17.1,-127.5,105,958
2018-09-02 12:00:00,17.4,-128.3,115,950
2018-09-02 15:00:00,17.6,-129.1,118,949
2018-09-02 18:00:00,17.9,-130.0,120,947
2018-09-02 21:00:00,18.2,-130.9,118,949
2018-09-03 00:00:00,18.4,-131.8,115,950
2018-09-03 03:00:00,18.6,-132.8,113,952
2018-09-03 06:00:00,18.8,-133.8,110,954
2018-09-03 09:00:00,19.0,-134.8,105,959
2018-09-03 12:00:00,19.1,-135.7,100,963
2018-09-03 15:00:00,19.2,-136.7,95,967
2018-09-03 18:00:00,19.4,-137.6,90,970
2018-09-03 21:00:00,19.6,-138.5,85,974
2018-09-04 00:00:00,19.7,-139.4,80,978
2018-09-04 03:00:00,19.8,-140.2,78,980
2018-09-04 06:00:00,19.9,-141.0,75,982
2018-09-04 09:00:00,19.9,-141.8,75,982
2018-09-04 12:00:00,19.9,-142.6,75,982
2018-09-04 15:00:00,19.8,-143.3,73,983
2018-09-04 18:00:00,19.8,-143.9,70,984
2018-09-04 21:00:00,19.8,-144.5,70,984
2018-09-05 00:00:00,19.8,-145.1,70,984
2018-09-05 03:00:00,19.7,-145.6,75,981
2018-09-05 06:00:00,19.6,-146.1,80,978
2018-09-05 09:00:00,19.5,-146.7,90,970
2018-09-05 12:00:00,19.5,-147.2,100,962
2018-09-05 15:00:00,19.5,-147.6,103,961
2018-09-05 18:00:00,19.6,-148.0,105,960
2018-09-05 21:00:00,19.7,-148.4,105,960
2018-09-06 00:00:00,19.8,-148.8,105,960
2018-09-06 03:00:00,19.9,-149.2,105,959
2018-09-06 06:00:00,20.1,-149.5,105,958
2018-09-06 09:00:00,20.3,-149.9,103,959
2018-09-06 12:00:00,20.5,-150.2,100,960
2018-09-06 15:00:00,20.7,-150.4,98,962
2018-09-06 18:00:00,21.0,-150.6,95,963
2018-09-06 21:00:00,21.3,-150.8,90,967
2018-09-07 00:00:00,21.6,-151.1,85,970
2018-09-07 03:00:00,21.8,-151.4,80,973
2018-09-07 06:00:00,22.1,-151.6,75,976
2018-09-07 09:00:00,22.4,-151.9,70,980
2018-09-07 12:00:00,22.8,-152.1,65,983
2018-09-07 15:00:00,23.2,-152.4,63,986
2018-09-07 18:00:00,23.7,-152.6,60,989
2018-09-07 21:00:00,24.2,-152.9,60,990
2018-09-08 00:00:00,24.6,-153.1,60,991
2018-09-08 03:00:00,24.9,-153.3,58,993
2018-09-08 06:00:00,25.1,-153.5,55,995
2018-09-08 09:00:00,25.4,-153.8,53,997
2018-09-08 12:00:00,25.7,-154.1,50,998
2018-09-08 15:00:00,26.0,-154.3,48,999
2018-09-08 18:00:00,26.4,-154.4,45,1000
2018-09-08 21:00:00,26.7,-154.3,45,1000
2018-09-09 00:00:00,27.1,-154.1,45,1000
2018-09-09 03:00:00,27.5,-154.0,45,1000
2018-09-09 06:00:00,27.9,-153.9,45,1000
2018-09-09 09:00:00,28.2,-153.9,45,1000
2018-09-09 12:00:00,28.6,-153.9,45,1000
2018-09-09 15:00:00,29.1,-153.7,43,1001
2018-09-09 18:00:00,29.6,-153.5,40,1002
2018-09-09 21:00:00,30.2,-153.4,40,1002
2018-09-10 00:00:00,30.8,-153.2,40,1002
2018-09-10 03:00:00,31.4,-152.9,40,1002
2018-09-10 06:00:00,31.9,-152.4,40,1002
