time,lat,lon,vmax,mslp
2018-09-20 06:00:00,12.9,146.2,20.0,1002.0
2018-09-20 09:00:00,13.1,145.9,20.0,1002.0
2018-09-20 12:00:00,13.3,145.6,20.0,1002.0
2018-09-20 15:00:00,13.5,145.4,23.0,1003.0
2018-09-20 18:00:00,13.8,145.1,25.0,1003.0
2018-09-20 21:00:00,14.1,144.7,28.0,1003.0
2018-09-21 00:00:00,14.4,144.3,30.0,1003.0
2018-09-21 03:00:00,14.7,143.9,33.0,1002.0
2018-09-21 06:00:00,14.9,143.4,35.0,1001.0
2018-09-21 09:00:00,15.2,142.9,38.0,1001.0
2018-09-21 12:00:00,15.4,142.4,40.0,1000.0
2018-09-21 15:00:00,15.6,141.9,43.0,998.0
2018-09-21 18:00:00,15.8,141.4,45.0,996.0
2018-09-21 21:00:00,16.0,140.9,48.0,995.0
2018-09-22 00:00:00,16.2,140.3,50.0,994.0
2018-09-22 03:00:00,16.5,139.6,53.0,993.0
2018-09-22 06:00:00,16.7,138.9,55.0,992.0
2018-09-22 09:00:00,16.8,138.2,58.0,991.0
2018-09-22 12:00:00,16.8,137.5,60.0,989.0
2018-09-22 15:00:00,16.8,136.9,65.0,986.0
2018-09-22 18:00:00,16.8,136.3,70.0,982.0
2018-09-22 21:00:00,16.8,135.7,75.0,979.0
2018-09-23 00:00:00,16.9,135.1,80.0,975.0
2018-09-23 03:00:00,17.1,134.6,90.0,967.0
2018-09-23 06:00:00,17.3,134.2,100.0,958.0
2018-09-23 09:00:00,17.4,133.8,108.0,951.0
2018-09-23 12:00:00,17.5,133.3,115.0,944.0
2018-09-23 15:00:00,17.7,132.8,118.0,941.0
2018-09-23 18:00:00,18.0,132.2,120.0,938.0
2018-09-23 21:00:00,18.3,131.7,123.0,936.0
2018-09-24 00:00:00,18.5,131.2,125.0,933.0
2018-09-24 03:00:00,18.7,130.8,128.0,930.0
2018-09-24 06:00:00,18.9,130.5,130.0,927.0
2018-09-24 09:00:00,19.1,130.1,133.0,924.0
2018-09-24 12:00:00,19.3,129.7,135.0,920.0
2018-09-24 15:00:00,19.4,129.3,138.0,917.0
2018-09-24 18:00:00,19.5,129.0,140.0,914.0
2018-09-24 21:00:00,19.5,128.8,138.0,917.0
2018-09-25 00:00:00,19.6,128.8,135.0,919.0
2018-09-25 03:00:00,19.7,128.8,133.0,920.0
2018-09-25 06:00:00,19.8,128.9,130.0,921.0
2018-09-25 09:00:00,19.9,128.9,125.0,926.0
2018-09-25 12:00:00,20.0,128.9,120.0,930.0
2018-09-25 15:00:00,20.1,128.9,115.0,937.0
2018-09-25 18:00:00,20.3,128.9,110.0,943.0
2018-09-25 21:00:00,20.4,128.9,110.0,943.0
2018-09-26 00:00:00,20.6,129.0,110.0,942.0
2018-09-26 03:00:00,20.8,129.1,103.0,947.0
2018-09-26 06:00:00,21.0,129.2,95.0,952.0
2018-09-26 09:00:00,21.1,129.2,93.0,953.0
2018-09-26 12:00:00,21.2,129.2,90.0,954.0
2018-09-26 15:00:00,21.3,129.2,90.0,954.0
2018-09-26 18:00:00,21.4,129.2,90.0,953.0
2018-09-26 21:00:00,21.4,129.2,90.0,954.0
2018-09-27 00:00:00,21.5,129.2,90.0,955.0
2018-09-27 03:00:00,21.6,129.2,90.0,954.0
2018-09-27 06:00:00,21.7,129.1,90.0,952.0
2018-09-27 09:00:00,21.8,129.0,90.0,952.0
2018-09-27 12:00:00,22.0,128.8,90.0,951.0
2018-09-27 15:00:00,22.1,128.6,90.0,952.0
2018-09-27 18:00:00,22.3,128.4,90.0,953.0
2018-09-27 21:00:00,22.4,128.2,93.0,952.0
2018-09-28 00:00:00,22.6,127.9,95.0,951.0
2018-09-28 03:00:00,22.8,127.6,95.0,950.0
2018-09-28 06:00:00,23.1,127.4,95.0,949.0
2018-09-28 09:00:00,23.4,127.2,95.0,949.0
2018-09-28 12:00:00,23.8,127.0,95.0,949.0
2018-09-28 15:00:00,24.2,126.8,95.0,950.0
2018-09-28 18:00:00,24.7,126.7,95.0,951.0
2018-09-28 21:00:00,25.1,126.6,93.0,953.0
2018-09-29 00:00:00,25.5,126.7,90.0,954.0
2018-09-29 03:00:00,26.0,127.0,90.0,953.0
2018-09-29 06:00:00,26.5,127.4,90.0,952.0
2018-09-29 09:00:00,27.2,127.8,90.0,953.0
2018-09-29 12:00:00,27.9,128.3,90.0,953.0
2018-09-29 15:00:00,28.5,128.8,88.0,955.0
2018-09-29 18:00:00,29.2,129.5,85.0,957.0
2018-09-29 21:00:00,29.9,130.2,83.0,958.0
2018-09-30 00:00:00,30.6,131.1,80.0,959.0
2018-09-30 03:00:00,31.3,132.1,78.0,960.0
2018-09-30 06:00:00,32.1,133.2,75.0,960.0
2018-09-30 09:00:00,33.0,134.4,73.0,960.0
2018-09-30 11:00:00,33.7,135.4,71.0,959.0
2018-09-30 12:00:00,34.2,136.0,70.0,959.0
2018-09-30 15:00:00,35.9,138.2,65.0,962.0
2018-09-30 18:00:00,37.8,140.6,60.0,964.0
2018-09-30 21:00:00,39.6,142.5,58.0,966.0
2018-10-01 00:00:00,41.4,144.2,55.0,967.0
