time,lat,lon,vmax,mslp
2018-10-14 12:00:00,17.0,-102.8,30,1006
2018-10-14 15:00:00,17.1,-103.1,30,1006
2018-10-14 18:00:00,17.2,-103.4,30,1006
2018-10-14 21:00:00,17.2,-103.6,30,1006
2018-10-15 00:00:00,17.3,-103.8,30,1005
2018-10-15 03:00:00,17.4,-104.0,33,1004
2018-10-15 06:00:00,17.6,-104.1,35,1003
2018-10-15 09:00:00,17.7,-104.2,38,1002
2018-10-15 12:00:00,17.9,-104.2,40,1001
2018-10-15 15:00:00,18.1,-104.2,43,1001
2018-10-15 18:00:00,18.2,-104.2,45,1000
2018-10-15 21:00:00,18.3,-104.2,50,998
2018-10-16 00:00:00,18.4,-104.3,55,995
2018-10-16 03:00:00,18.4,-104.3,53,997
2018-10-16 06:00:00,18.5,-104.4,50,998
2018-10-16 09:00:00,18.6,-104.5,45,1000
2018-10-16 12:00:00,18.7,-104.6,40,1001
2018-10-16 15:00:00,18.8,-104.7,38,1002
2018-10-16 18:00:00,18.9,-104.9,35,1003
