time,lat,lon,vmax,mslp
2018-10-19 00:00:00,14.2,-98.9,25,1007
2018-10-19 03:00:00,14.4,-99.7,25,1007
2018-10-19 06:00:00,14.5,-100.4,25,1007
2018-10-19 09:00:00,14.6,-101.1,25,1007
2018-10-19 12:00:00,14.7,-101.7,25,1007
2018-10-19 15:00:00,14.8,-102.3,25,1007
2018-10-19 18:00:00,14.8,-102.8,25,1007
2018-10-19 21:00:00,14.8,-103.2,28,1007
2018-10-20 00:00:00,14.8,-103.6,30,1007
2018-10-20 03:00:00,14.7,-104.1,30,1007
2018-10-20 06:00:00,14.7,-104.5,30,1006
2018-10-20 09:00:00,14.8,-104.8,33,1006
2018-10-20 12:00:00,14.9,-105.1,35,1005
2018-10-20 15:00:00,15.0,-105.3,40,1003
2018-10-20 18:00:00,15.1,-105.5,45,1001
2018-10-20 21:00:00,15.3,-105.7,50,999
2018-10-21 00:00:00,15.5,-105.9,55,996
2018-10-21 03:00:00,15.8,-106.1,63,992
2018-10-21 06:00:00,16.0,-106.3,70,987
2018-10-21 09:00:00,16.2,-106.5,78,981
2018-10-21 12:00:00,16.4,-106.6,85,975
2018-10-21 15:00:00,16.6,-106.8,93,969
2018-10-21 18:00:00,16.8,-106.9,100,962
2018-10-21 21:00:00,17.1,-107.0,110,954
2018-10-22 00:00:00,17.5,-107.1,120,945
2018-10-22 03:00:00,17.7,-107.1,130,935
2018-10-22 06:00:00,17.9,-107.1,140,925
2018-10-22 09:00:00,18.3,-107.1,138,927
2018-10-22 12:00:00,18.7,-107.2,135,928
2018-10-22 15:00:00,19.0,-107.2,133,931
2018-10-22 18:00:00,19.4,-107.2,130,934
2018-10-22 21:00:00,19.8,-107.2,125,939
2018-10-23 00:00:00,20.2,-107.2,120,943
2018-10-23 03:00:00,20.4,-107.2,115,948
2018-10-23 06:00:00,20.6,-107.2,110,952
2018-10-23 09:00:00,20.8,-107.2,108,956
2018-10-23 12:00:00,21.1,-107.1,105,960
2018-10-23 15:00:00,21.4,-106.9,103,963
2018-10-23 18:00:00,21.7,-106.7,100,965
2018-10-23 21:00:00,22.1,-106.4,100,967
2018-10-24 00:00:00,22.5,-106.0,100,968
2018-10-24 01:30:00,22.7,-105.8,100,968
2018-10-24 03:00:00,23.0,-105.5,82,975
2018-10-24 06:00:00,23.8,-104.6,45,990
