time,lat,lon,vmax,mslp
2018-11-02 00:00:00,13.7,-111.0,25,1008
2018-11-02 03:00:00,13.9,-110.8,25,1008
2018-11-02 06:00:00,14.0,-110.6,25,1008
2018-11-02 09:00:00,14.1,-110.3,28,1008
2018-11-02 12:00:00,14.2,-109.9,30,1007
2018-11-02 15:00:00,14.3,-109.5,30,1007
2018-11-02 18:00:00,14.3,-109.2,30,1007
2018-11-02 21:00:00,14.3,-108.8,33,1007
2018-11-03 00:00:00,14.4,-108.5,35,1006
2018-11-03 03:00:00,14.4,-108.1,38,1005
2018-11-03 06:00:00,14.5,-107.8,40,1004
2018-11-03 09:00:00,14.6,-107.4,43,1003
2018-11-03 12:00:00,14.8,-107.1,45,1002
2018-11-03 15:00:00,15.0,-106.7,45,1001
2018-11-03 18:00:00,15.2,-106.4,45,1000
2018-11-03 21:00:00,15.5,-106.1,48,1000
2018-11-04 00:00:00,15.8,-105.9,50,999
2018-11-04 03:00:00,16.2,-105.7,50,999
2018-11-04 06:00:00,16.6,-105.5,50,998
2018-11-04 09:00:00,17.0,-105.4,53,997
2018-11-04 12:00:00,17.4,-105.3,55,996
2018-11-04 15:00:00,17.7,-105.3,55,996
2018-11-04 18:00:00,17.9,-105.4,55,995
2018-11-04 21:00:00,18.1,-105.4,55,995
2018-11-05 00:00:00,18.2,-105.5,55,995
2018-11-05 03:00:00,18.3,-105.6,53,997
2018-11-05 06:00:00,18.4,-105.8,50,999
2018-11-05 09:00:00,18.4,-105.9,50,999
2018-11-05 12:00:00,18.5,-106.0,50,999
2018-11-05 15:00:00,18.6,-106.2,48,1000
2018-11-05 18:00:00,18.8,-106.5,45,1001
2018-11-05 21:00:00,18.9,-106.8,43,1003
2018-11-06 00:00:00,18.9,-107.2,40,1004
2018-11-06 03:00:00,18.9,-107.6,38,1005
2018-11-06 06:00:00,18.9,-107.9,35,1005
2018-11-06 09:00:00,18.9,-108.2,35,1006
2018-11-06 12:00:00,18.9,-108.6,35,1006
2018-11-06 15:00:00,18.9,-109.0,33,1007
2018-11-06 18:00:00,18.8,-109.4,30,1007
2018-11-06 21:00:00,18.8,-109.8,30,1007
2018-11-07 00:00:00,18.7,-110.1,30,1007
2018-11-07 03:00:00,18.6,-110.4,28,1008
2018-11-07 06:00:00,18.4,-110.7,25,1008
2018-11-07 09:00:00,18.2,-111.0,25,1008
2018-11-07 12:00:00,18.0,-111.4,25,1008
2018-11-07 15:00:00,17.9,-111.8,25,1008
2018-11-07 18:00:00,17.8,-112.2,25,1008
2018-11-07 21:00:00,17.7,-112.6,25,1008
2018-11-08 00:00:00,17.7,-112.9,25,1008
2018-11-08 03:00:00,17.6,-113.2,23,1009
2018-11-08 06:00:00,17.6,-113.6,20,1009
2018-11-08 09:00:00,17.6,-114.0,20,1009
2018-11-08 12:00:00,17.5,-114.4,20,1009
2018-11-08 15:00:00,17.4,-114.8,20,1009
2018-11-08 18:00:00,17.4,-115.1,20,1009
2018-11-08 21:00:00,17.4,-115.4,20,1009
2018-11-09 00:00:00,17.3,-115.7,20,1009
