time,lat,lon,vmax,mslp
2018-11-20 06:00:00,4.5,154.9,20.0,1004.0
2018-11-20 09:00:00,4.5,154.5,23.0,1004.0
2018-11-20 12:00:00,4.7,154.0,25.0,1004.0
2018-11-20 15:00:00,5.2,153.4,30.0,1004.0
2018-11-20 18:00:00,5.8,152.7,35.0,1003.0
2018-11-20 21:00:00,6.3,151.8,38.0,1002.0
2018-11-21 00:00:00,6.8,150.8,40.0,1001.0
2018-11-21 03:00:00,7.5,150.0,45.0,998.0
2018-11-21 06:00:00,8.2,149.1,50.0,995.0
2018-11-21 09:00:00,8.7,147.7,55.0,994.0
2018-11-21 12:00:00,9.0,146.2,60.0,992.0
2018-11-21 15:00:00,9.2,144.9,65.0,990.0
2018-11-21 18:00:00,9.5,143.8,70.0,987.0
2018-11-21 21:00:00,10.0,142.8,75.0,984.0
2018-11-22 00:00:00,10.6,141.8,80.0,980.0
2018-11-22 03:00:00,11.2,140.8,83.0,978.0
2018-11-22 06:00:00,11.8,139.8,85.0,975.0
2018-11-22 09:00:00,12.3,139.0,88.0,973.0
2018-11-22 12:00:00,12.7,138.3,90.0,970.0
2018-11-22 15:00:00,13.1,137.7,93.0,969.0
2018-11-22 18:00:00,13.6,137.2,95.0,967.0
2018-11-22 21:00:00,14.0,136.7,93.0,969.0
2018-11-23 00:00:00,14.5,136.2,90.0,971.0
2018-11-23 03:00:00,15.0,135.9,90.0,971.0
2018-11-23 06:00:00,15.5,135.7,90.0,970.0
2018-11-23 09:00:00,16.0,135.5,90.0,971.0
2018-11-23 12:00:00,16.5,135.4,90.0,971.0
2018-11-23 15:00:00,17.0,135.4,90.0,971.0
2018-11-23 18:00:00,17.4,135.4,90.0,970.0
2018-11-23 21:00:00,17.7,135.4,88.0,965.0
2018-11-24 00:00:00,17.9,135.5,85.0,959.0
2018-11-24 03:00:00,18.1,135.7,83.0,968.0
2018-11-24 06:00:00,18.3,135.9,80.0,976.0
2018-11-24 09:00:00,18.4,136.1,80.0,977.0
2018-11-24 12:00:00,18.5,136.2,80.0,977.0
2018-11-24 15:00:00,18.6,136.3,80.0,977.0
2018-11-24 18:00:00,18.5,136.1,85.0,973.0
2018-11-24 21:00:00,18.4,136.0,90.0,968.0
2018-11-25 00:00:00,18.3,136.0,95.0,963.0
2018-11-25 03:00:00,18.3,136.0,90.0,967.0
2018-11-25 06:00:00,18.3,135.8,85.0,971.0
2018-11-25 09:00:00,18.4,135.5,83.0,974.0
2018-11-25 12:00:00,18.5,135.0,80.0,977.0
2018-11-25 15:00:00,18.7,134.4,73.0,983.0
2018-11-25 18:00:00,19.0,133.8,65.0,989.0
2018-11-25 21:00:00,19.3,133.4,55.0,996.0
2018-11-26 00:00:00,19.6,133.0,45.0,1003.0
2018-11-26 03:00:00,20.0,132.6,43.0,1004.0
2018-11-26 06:00:00,20.3,132.3,40.0,1005.0
2018-11-26 09:00:00,20.5,132.1,35.0,1006.0
2018-11-26 12:00:00,20.8,132.0,30.0,1006.0
2018-11-26 15:00:00,21.2,131.9,30.0,1006.0
2018-11-26 18:00:00,21.7,131.9,30.0,1006.0
2018-11-26 21:00:00,22.2,132.1,30.0,1007.0
2018-11-27 00:00:00,22.6,132.3,30.0,1007.0
2018-11-27 03:00:00,22.9,132.5,30.0,1008.0
2018-11-27 06:00:00,23.2,132.7,30.0,1008.0
2018-11-27 09:00:00,23.4,132.9,30.0,1008.0
2018-11-27 12:00:00,23.7,133.3,30.0,1008.0
2018-11-27 15:00:00,24.0,133.9,30.0,1008.0
2018-11-27 18:00:00,24.5,134.5,30.0,1008.0
2018-11-27 21:00:00,25.1,135.1,30.0,1009.0
2018-11-28 00:00:00,25.9,135.6,30.0,1010.0
