time,lat,lon,vmax,mslp
2019-07-27 12:00:00,11.2,-122.9,30,1006
2019-07-27 15:00:00,11.3,-123.7,33,1006
2019-07-27 18:00:00,11.5,-124.5,35,1005
2019-07-27 21:00:00,11.7,-125.3,35,1005
2019-07-28 00:00:00,11.8,-126.1,35,1005
2019-07-28 03:00:00,11.9,-126.9,35,1005
2019-07-28 06:00:00,11.9,-127.7,35,1005
2019-07-28 09:00:00,11.8,-128.6,35,1005
2019-07-28 12:00:00,11.7,-129.4,35,1005
2019-07-28 15:00:00,11.6,-130.2,38,1005
2019-07-28 18:00:00,11.5,-131.0,40,1004
2019-07-28 21:00:00,11.5,-131.7,45,1003
2019-07-29 00:00:00,11.6,-132.5,50,1001
2019-07-29 03:00:00,11.7,-133.3,53,1000
2019-07-29 06:00:00,11.8,-134.1,55,999
2019-07-29 09:00:00,11.9,-134.9,58,998
2019-07-29 12:00:00,12.1,-135.8,60,996
2019-07-29 15:00:00,12.3,-136.7,63,995
2019-07-29 18:00:00,12.4,-137.6,65,993
2019-07-29 21:00:00,12.5,-138.5,68,992
2019-07-30 00:00:00,12.6,-139.3,70,990
2019-07-30 03:00:00,12.7,-140.0,75,987
2019-07-30 06:00:00,12.9,-140.7,80,983
2019-07-30 09:00:00,13.1,-141.5,90,975
2019-07-30 12:00:00,13.2,-142.2,100,966
2019-07-30 15:00:00,13.3,-142.9,108,959
2019-07-30 18:00:00,13.4,-143.6,115,952
2019-07-30 21:00:00,13.6,-144.3,115,952
2019-07-31 00:00:00,13.8,-144.9,115,952
2019-07-31 03:00:00,14.0,-145.5,113,954
2019-07-31 06:00:00,14.1,-146.0,110,955
2019-07-31 09:00:00,14.2,-146.5,108,957
2019-07-31 12:00:00,14.3,-147.0,105,958
2019-07-31 15:00:00,14.4,-147.5,103,960
2019-07-31 18:00:00,14.6,-148.1,100,961
2019-07-31 21:00:00,14.8,-148.7,95,965
2019-08-01 00:00:00,15.0,-149.2,90,968
2019-08-01 03:00:00,15.2,-149.7,85,973
2019-08-01 06:00:00,15.3,-150.3,80,978
2019-08-01 09:00:00,15.4,-150.9,78,980
2019-08-01 12:00:00,15.5,-151.5,75,982
2019-08-01 15:00:00,15.5,-152.1,73,984
2019-08-01 18:00:00,15.6,-152.7,70,986
2019-08-01 21:00:00,15.7,-153.3,65,990
2019-08-02 00:00:00,15.8,-154.0,60,993
2019-08-02 03:00:00,15.9,-154.7,55,996
2019-08-02 06:00:00,16.1,-155.4,50,998
2019-08-02 09:00:00,16.3,-156.1,48,1000
2019-08-02 12:00:00,16.4,-156.8,45,1001
2019-08-02 15:00:00,16.5,-157.4,43,1002
2019-08-02 18:00:00,16.6,-158.0,40,1003
2019-08-02 21:00:00,16.7,-158.4,38,1004
2019-08-03 00:00:00,16.8,-158.9,35,1005
2019-08-03 03:00:00,16.9,-159.6,35,1005
2019-08-03 06:00:00,16.9,-160.5,35,1005
2019-08-03 09:00:00,16.9,-161.4,35,1005
2019-08-03 12:00:00,17.0,-162.2,35,1005
2019-08-03 15:00:00,17.1,-162.8,35,1005
2019-08-03 18:00:00,17.2,-163.4,35,1005
2019-08-03 21:00:00,17.4,-164.0,33,1006
2019-08-04 00:00:00,17.7,-164.6,30,1006
2019-08-04 03:00:00,17.9,-165.2,30,1006
2019-08-04 06:00:00,18.0,-165.7,30,1006
2019-08-04 09:00:00,18.1,-166.2,30,1006
2019-08-04 12:00:00,18.3,-166.6,30,1006
2019-08-04 15:00:00,18.6,-167.0,30,1007
2019-08-04 18:00:00,18.8,-167.5,30,1007
2019-08-04 21:00:00,18.9,-168.0,28,1008
2019-08-05 00:00:00,19.0,-168.5,25,1008
2019-08-05 03:00:00,19.1,-169.0,25,1008
2019-08-05 06:00:00,19.2,-169.5,25,1008
2019-08-05 09:00:00,19.3,-170.0,25,1008
2019-08-05 12:00:00,19.4,-170.4,25,1008
2019-08-05 15:00:00,19.5,-170.9,25,1008
2019-08-05 18:00:00,19.5,-171.3,25,1008
2019-08-05 21:00:00,19.5,-171.7,25,1008
2019-08-06 00:00:00,19.5,-172.1,25,1008
2019-08-06 03:00:00,19.5,-172.6,25,1008
2019-08-06 06:00:00,19.5,-173.1,25,1008
2019-08-06 09:00:00,19.5,-173.6,25,1008
2019-08-06 12:00:00,19.5,-174.1,25,1008
2019-08-06 15:00:00,19.5,-174.5,25,1008
2019-08-06 18:00:00,19.6,-174.9,25,1008
2019-08-06 21:00:00,19.6,-175.3,23,1009
2019-08-07 00:00:00,19.7,-175.7,20,1009
2019-08-07 03:00:00,19.7,-176.2,20,1009
2019-08-07 06:00:00,19.8,-176.8,20,1009
2019-08-07 09:00:00,19.9,-177.4,20,1009
2019-08-07 12:00:00,20.1,-178.0,20,1009
2019-08-07 15:00:00,20.4,-178.6,20,1009
2019-08-07 18:00:00,20.7,-179.2,20,1009
2019-08-07 21:00:00,20.9,-179.6,20,1009
2019-08-08 00:00:00,21.0,-180.0,20,1009
