time,lat,lon,vmax,mslp
2019-07-28 12:00:00,11.1,-106.8,25,1008
2019-07-28 15:00:00,11.4,-107.7,28,1008
2019-07-28 18:00:00,11.7,-108.6,30,1007
2019-07-28 21:00:00,12.0,-109.5,30,1007
2019-07-29 00:00:00,12.2,-110.4,30,1006
2019-07-29 03:00:00,12.4,-111.3,33,1006
2019-07-29 06:00:00,12.5,-112.1,35,1005
2019-07-29 09:00:00,12.5,-113.0,40,1004
2019-07-29 12:00:00,12.5,-113.8,45,1002
2019-07-29 15:00:00,12.5,-114.7,48,1002
2019-07-29 18:00:00,12.5,-115.5,50,1001
2019-07-29 21:00:00,12.4,-116.3,53,1001
2019-07-30 00:00:00,12.3,-117.1,55,1001
2019-07-30 03:00:00,12.2,-117.9,55,1001
2019-07-30 06:00:00,12.1,-118.6,55,1001
2019-07-30 09:00:00,12.1,-119.3,58,1000
2019-07-30 12:00:00,12.2,-119.9,60,998
2019-07-30 15:00:00,12.3,-120.6,63,997
2019-07-30 18:00:00,12.5,-121.2,65,995
2019-07-30 21:00:00,12.7,-121.8,68,993
2019-07-31 00:00:00,13.0,-122.4,70,990
2019-07-31 03:00:00,13.2,-123.1,70,989
2019-07-31 06:00:00,13.3,-123.8,70,987
2019-07-31 09:00:00,13.5,-124.5,68,989
2019-07-31 12:00:00,13.6,-125.2,65,991
2019-07-31 15:00:00,13.7,-125.9,63,993
2019-07-31 18:00:00,13.8,-126.6,60,994
2019-07-31 21:00:00,13.9,-127.4,58,996
2019-08-01 00:00:00,14.1,-128.1,55,997
2019-08-01 03:00:00,14.3,-128.8,55,997
2019-08-01 06:00:00,14.5,-129.5,55,996
2019-08-01 09:00:00,14.7,-130.2,55,996
2019-08-01 12:00:00,15.0,-131.0,55,996
2019-08-01 15:00:00,15.3,-131.8,55,996
2019-08-01 18:00:00,15.6,-132.5,55,995
2019-08-01 21:00:00,15.9,-133.2,58,995
2019-08-02 00:00:00,16.2,-134.0,60,994
2019-08-02 03:00:00,16.4,-134.8,60,994
2019-08-02 06:00:00,16.6,-135.6,60,993
2019-08-02 09:00:00,16.7,-136.3,60,993
2019-08-02 12:00:00,16.9,-137.1,60,993
2019-08-02 15:00:00,17.1,-138.0,58,994
2019-08-02 18:00:00,17.3,-138.8,55,994
2019-08-02 21:00:00,17.5,-139.6,53,995
2019-08-03 00:00:00,17.7,-140.3,50,996
2019-08-03 03:00:00,17.9,-141.0,50,997
2019-08-03 06:00:00,18.1,-141.7,50,998
2019-08-03 09:00:00,18.3,-142.3,50,998
2019-08-03 12:00:00,18.4,-142.9,50,998
2019-08-03 15:00:00,18.5,-143.4,48,1001
2019-08-03 18:00:00,18.6,-143.9,45,1003
2019-08-03 21:00:00,18.7,-144.4,43,1004
2019-08-04 00:00:00,18.8,-145.0,40,1005
2019-08-04 03:00:00,18.9,-145.6,40,1005
2019-08-04 06:00:00,18.9,-146.1,40,1005
2019-08-04 09:00:00,18.9,-146.6,38,1006
2019-08-04 12:00:00,18.9,-147.1,35,1007
2019-08-04 15:00:00,18.9,-147.5,35,1007
2019-08-04 18:00:00,18.9,-148.0,35,1007
2019-08-04 21:00:00,18.9,-148.6,33,1008
2019-08-05 00:00:00,18.9,-149.2,30,1009
2019-08-05 03:00:00,19.0,-149.9,30,1009
2019-08-05 06:00:00,19.2,-150.6,30,1009
2019-08-05 09:00:00,19.3,-151.3,30,1009
2019-08-05 12:00:00,19.5,-152.0,30,1009
2019-08-05 15:00:00,19.7,-152.5,30,1009
2019-08-05 18:00:00,20.0,-153.0,30,1009
2019-08-05 21:00:00,20.3,-153.5,30,1009
2019-08-06 00:00:00,20.6,-154.1,30,1009
2019-08-06 03:00:00,21.0,-154.7,30,1010
2019-08-06 06:00:00,21.4,-155.3,30,1010
2019-08-06 09:00:00,21.9,-155.8,30,1011
2019-08-06 12:00:00,22.4,-156.2,30,1011
2019-08-06 15:00:00,23.0,-156.5,30,1012
2019-08-06 18:00:00,23.6,-156.8,30,1012
2019-08-06 21:00:00,24.2,-157.0,30,1013
2019-08-07 00:00:00,24.7,-157.1,30,1013
