time,lat,lon,vmax,mslp
2019-08-11 18:00:00,18.2,-107.7,30,1006
2019-08-11 21:00:00,18.5,-108.4,30,1006
2019-08-12 00:00:00,18.8,-109.1,30,1006
2019-08-12 03:00:00,19.1,-109.8,33,1006
2019-08-12 06:00:00,19.3,-110.4,35,1005
2019-08-12 09:00:00,19.5,-111.0,38,1004
2019-08-12 12:00:00,19.7,-111.5,40,1003
2019-08-12 15:00:00,19.9,-112.1,40,1004
2019-08-12 18:00:00,20.1,-112.6,40,1004
2019-08-12 21:00:00,20.3,-113.2,38,1005
2019-08-13 00:00:00,20.5,-113.7,35,1005
2019-08-13 03:00:00,20.7,-114.2,33,1006
2019-08-13 06:00:00,20.9,-114.7,30,1007
2019-08-13 09:00:00,21.1,-115.1,28,1008
2019-08-13 12:00:00,21.2,-115.5,25,1008
2019-08-13 15:00:00,21.3,-115.9,23,1009
2019-08-13 18:00:00,21.3,-116.3,20,1009
2019-08-13 21:00:00,21.4,-116.6,20,1009
2019-08-14 00:00:00,21.5,-116.9,20,1009
2019-08-14 03:00:00,21.6,-117.1,18,1009
2019-08-14 06:00:00,21.8,-117.3,15,1009
2019-08-14 09:00:00,21.9,-117.5,15,1010
2019-08-14 12:00:00,22.0,-117.6,15,1010
2019-08-14 15:00:00,22.0,-117.8,15,1010
2019-08-14 18:00:00,22.0,-117.9,15,1010
2019-08-14 21:00:00,21.9,-118.0,15,1010
2019-08-15 00:00:00,21.7,-118.0,15,1010
