time,lat,lon,vmax,mslp
2019-08-30 06:00:00,13.8,-179.9,15.0,1010.0
2019-08-30 09:00:00,13.9,179.6,15.0,1010.0
2019-08-30 12:00:00,13.9,179.1,15.0,1010.0
2019-08-30 15:00:00,13.9,178.6,15.0,1010.0
2019-08-30 18:00:00,14.0,178.1,15.0,1009.0
2019-08-30 21:00:00,14.2,177.8,15.0,1009.0
2019-08-31 00:00:00,14.4,177.4,15.0,1009.0
2019-08-31 03:00:00,14.5,177.0,18.0,1008.0
2019-08-31 06:00:00,14.5,176.4,20.0,1007.0
2019-08-31 09:00:00,14.5,175.6,20.0,1007.0
2019-08-31 12:00:00,14.5,174.8,20.0,1007.0
2019-08-31 15:00:00,14.7,174.0,20.0,1009.0
2019-08-31 18:00:00,14.9,173.3,20.0,1010.0
2019-08-31 21:00:00,14.9,172.7,20.0,1009.0
2019-09-01 00:00:00,14.9,172.2,20.0,1007.0
2019-09-01 03:00:00,15.1,171.8,23.0,1008.0
2019-09-01 06:00:00,15.3,171.4,25.0,1008.0
2019-09-01 09:00:00,15.3,170.9,28.0,1008.0
2019-09-01 12:00:00,15.3,170.4,30.0,1007.0
2019-09-01 15:00:00,15.3,169.9,30.0,1006.0
2019-09-01 18:00:00,15.4,169.4,30.0,1005.0
2019-09-01 21:00:00,15.6,168.7,30.0,1004.0
2019-09-02 00:00:00,15.9,167.9,30.0,1003.0
2019-09-02 03:00:00,16.2,167.0,30.0,1004.0
2019-09-02 06:00:00,16.4,166.2,30.0,1005.0
2019-09-02 09:00:00,16.5,165.5,30.0,1007.0
2019-09-02 12:00:00,16.6,164.9,30.0,1009.0
2019-09-02 15:00:00,16.7,164.3,33.0,1007.0
2019-09-02 18:00:00,16.8,163.8,35.0,1005.0
2019-09-02 21:00:00,16.9,163.3,35.0,1004.0
2019-09-03 00:00:00,17.0,162.7,35.0,1003.0
2019-09-03 03:00:00,17.0,162.0,35.0,1004.0
2019-09-03 06:00:00,16.9,161.4,35.0,1005.0
2019-09-03 09:00:00,16.9,160.9,35.0,1005.0
2019-09-03 12:00:00,16.9,160.5,35.0,1004.0
2019-09-03 15:00:00,17.0,160.2,35.0,1005.0
2019-09-03 18:00:00,17.2,159.9,35.0,1005.0
2019-09-03 21:00:00,17.4,159.6,35.0,1003.0
2019-09-04 00:00:00,17.6,159.3,35.0,1000.0
2019-09-04 03:00:00,17.9,158.9,35.0,1001.0
2019-09-04 06:00:00,18.2,158.4,35.0,1001.0
2019-09-04 09:00:00,18.2,157.9,35.0,1001.0
2019-09-04 12:00:00,18.2,157.4,35.0,1001.0
2019-09-04 15:00:00,18.3,157.0,35.0,1002.0
2019-09-04 18:00:00,18.5,156.7,35.0,1002.0
2019-09-04 21:00:00,18.9,156.5,38.0,1000.0
2019-09-05 00:00:00,19.3,156.2,40.0,998.0
2019-09-05 03:00:00,19.7,155.7,43.0,997.0
2019-09-05 06:00:00,20.1,155.2,45.0,996.0
2019-09-05 09:00:00,20.5,154.7,48.0,995.0
2019-09-05 12:00:00,20.9,154.1,50.0,994.0
2019-09-05 15:00:00,21.3,153.5,53.0,993.0
2019-09-05 18:00:00,21.7,153.0,55.0,991.0
2019-09-05 21:00:00,22.2,152.5,58.0,990.0
2019-09-06 00:00:00,22.8,151.9,60.0,988.0
2019-09-06 03:00:00,23.3,151.0,63.0,986.0
2019-09-06 06:00:00,23.8,149.9,65.0,984.0
2019-09-06 09:00:00,24.2,149.0,65.0,984.0
2019-09-06 12:00:00,24.7,148.1,65.0,984.0
2019-09-06 15:00:00,25.2,147.2,68.0,982.0
2019-09-06 18:00:00,25.8,146.4,70.0,979.0
2019-09-06 21:00:00,26.3,145.6,78.0,974.0
2019-09-07 00:00:00,26.8,144.8,85.0,968.0
2019-09-07 03:00:00,27.3,144.0,93.0,962.0
2019-09-07 06:00:00,27.9,143.2,100.0,956.0
2019-09-07 09:00:00,28.4,142.5,105.0,952.0
2019-09-07 12:00:00,28.9,141.8,110.0,948.0
2019-09-07 15:00:00,29.5,141.1,113.0,945.0
2019-09-07 18:00:00,30.1,140.5,115.0,942.0
2019-09-07 21:00:00,30.8,140.0,115.0,942.0
