time,lat,lon,vmax,mslp
2019-09-12 06:00:00,15.2,-109.5,25,1007
2019-09-12 09:00:00,15.4,-110.1,28,1007
2019-09-12 12:00:00,15.6,-110.6,30,1006
2019-09-12 15:00:00,15.8,-111.1,33,1005
2019-09-12 18:00:00,15.9,-111.5,35,1004
2019-09-12 21:00:00,16.1,-111.9,35,1004
2019-09-13 00:00:00,16.2,-112.3,35,1004
2019-09-13 03:00:00,16.3,-112.7,35,1004
2019-09-13 06:00:00,16.4,-113.1,35,1004
2019-09-13 09:00:00,16.5,-113.5,35,1004
2019-09-13 12:00:00,16.6,-114.0,35,1004
2019-09-13 15:00:00,16.7,-114.5,35,1004
2019-09-13 18:00:00,16.8,-114.9,35,1004
2019-09-13 21:00:00,16.9,-115.3,38,1004
2019-09-14 00:00:00,17.0,-115.8,40,1003
2019-09-14 03:00:00,17.1,-116.3,45,1002
2019-09-14 06:00:00,17.2,-116.8,50,1000
2019-09-14 09:00:00,17.2,-117.3,55,996
2019-09-14 12:00:00,17.2,-117.8,60,992
2019-09-14 15:00:00,17.1,-118.3,68,989
2019-09-14 18:00:00,17.0,-118.8,75,985
2019-09-14 21:00:00,16.9,-119.2,85,978
2019-09-15 00:00:00,16.9,-119.6,95,970
2019-09-15 03:00:00,16.9,-120.0,100,964
2019-09-15 06:00:00,16.9,-120.3,105,958
2019-09-15 09:00:00,16.9,-120.6,110,954
2019-09-15 12:00:00,17.0,-120.9,115,950
2019-09-15 15:00:00,17.1,-121.2,115,950
2019-09-15 18:00:00,17.2,-121.6,115,950
2019-09-15 21:00:00,17.3,-122.0,113,952
2019-09-16 00:00:00,17.3,-122.3,110,954
2019-09-16 03:00:00,17.3,-122.6,105,959
2019-09-16 06:00:00,17.3,-122.9,100,963
2019-09-16 09:00:00,17.3,-123.2,95,967
2019-09-16 12:00:00,17.3,-123.4,90,971
2019-09-16 15:00:00,17.3,-123.6,88,973
2019-09-16 18:00:00,17.3,-123.8,85,974
2019-09-16 21:00:00,17.3,-124.0,80,978
2019-09-17 00:00:00,17.3,-124.1,75,982
2019-09-17 03:00:00,17.3,-124.3,73,984
2019-09-17 06:00:00,17.2,-124.4,70,985
2019-09-17 09:00:00,17.2,-124.5,65,988
2019-09-17 12:00:00,17.1,-124.6,60,990
2019-09-17 15:00:00,17.0,-124.7,55,993
2019-09-17 18:00:00,16.9,-124.9,50,995
2019-09-17 21:00:00,16.8,-125.1,48,999
2019-09-18 00:00:00,16.6,-125.3,45,1002
2019-09-18 03:00:00,16.4,-125.5,45,1002
2019-09-18 06:00:00,16.3,-125.8,45,1002
2019-09-18 09:00:00,16.1,-126.1,48,1002
2019-09-18 12:00:00,16.0,-126.4,50,1001
2019-09-18 15:00:00,15.9,-126.7,53,1000
2019-09-18 18:00:00,15.8,-127.0,55,998
2019-09-18 21:00:00,15.8,-127.3,55,998
2019-09-19 00:00:00,15.8,-127.5,55,998
2019-09-19 03:00:00,15.8,-127.8,55,998
2019-09-19 06:00:00,15.8,-128.0,55,998
2019-09-19 09:00:00,15.8,-128.2,53,999
2019-09-19 12:00:00,15.9,-128.5,50,1000
2019-09-19 15:00:00,16.0,-128.8,48,1001
2019-09-19 18:00:00,16.1,-129.1,45,1002
2019-09-19 21:00:00,16.2,-129.4,45,1002
2019-09-20 00:00:00,16.4,-129.6,45,1002
2019-09-20 03:00:00,16.6,-129.8,45,1002
2019-09-20 06:00:00,16.9,-129.9,45,1002
2019-09-20 09:00:00,17.2,-130.0,48,1001
2019-09-20 12:00:00,17.4,-130.0,50,999
2019-09-20 15:00:00,17.6,-130.1,50,999
2019-09-20 18:00:00,17.8,-130.1,50,999
2019-09-20 21:00:00,18.0,-130.1,53,998
2019-09-21 00:00:00,18.1,-130.2,55,996
2019-09-21 03:00:00,18.2,-130.3,55,996
2019-09-21 06:00:00,18.3,-130.5,55,996
2019-09-21 09:00:00,18.3,-130.7,53,998
2019-09-21 12:00:00,18.3,-130.9,50,999
2019-09-21 15:00:00,18.3,-131.1,48,1001
2019-09-21 18:00:00,18.2,-131.4,45,1003
2019-09-21 21:00:00,18.0,-131.7,43,1004
2019-09-22 00:00:00,17.8,-132.0,40,1005
2019-09-22 03:00:00,17.6,-132.3,38,1006
2019-09-22 06:00:00,17.3,-132.6,35,1006
2019-09-22 09:00:00,17.0,-132.9,35,1006
2019-09-22 12:00:00,16.7,-133.1,35,1006
2019-09-22 15:00:00,16.4,-133.3,35,1006
2019-09-22 18:00:00,16.1,-133.6,35,1006
2019-09-22 21:00:00,15.8,-133.8,35,1006
2019-09-23 00:00:00,15.6,-134.1,35,1006
2019-09-23 03:00:00,15.5,-134.5,35,1006
2019-09-23 06:00:00,15.4,-134.9,35,1006
2019-09-23 09:00:00,15.4,-135.3,40,1004
2019-09-23 12:00:00,15.5,-135.7,45,1002
2019-09-23 15:00:00,15.6,-136.1,48,1001
2019-09-23 18:00:00,15.8,-136.5,50,1000
2019-09-23 21:00:00,16.1,-136.8,50,1000
2019-09-24 00:00:00,16.4,-137.1,50,1000
2019-09-24 03:00:00,16.7,-137.4,48,1001
2019-09-24 06:00:00,17.0,-137.7,45,1002
2019-09-24 09:00:00,17.2,-138.0,43,1003
2019-09-24 12:00:00,17.4,-138.4,40,1004
2019-09-24 15:00:00,17.7,-138.8,35,1005
2019-09-24 18:00:00,18.0,-139.3,30,1006
2019-09-24 21:00:00,18.3,-139.7,30,1007
2019-09-25 00:00:00,18.7,-140.1,30,1007
2019-09-25 03:00:00,19.1,-140.4,28,1009
2019-09-25 06:00:00,19.3,-140.8,25,1010
2019-09-25 09:00:00,19.3,-141.3,25,1011
2019-09-25 12:00:00,19.2,-141.8,25,1011
2019-09-25 15:00:00,19.1,-142.2,25,1012
2019-09-25 18:00:00,19.1,-142.6,25,1012
2019-09-25 21:00:00,19.1,-143.0,25,1012
2019-09-26 00:00:00,19.1,-143.5,25,1012
2019-09-26 03:00:00,19.0,-144.0,23,1013
2019-09-26 06:00:00,18.9,-144.4,20,1013
2019-09-26 09:00:00,18.7,-144.8,20,1013
2019-09-26 12:00:00,18.6,-145.2,20,1013
2019-09-26 15:00:00,18.6,-145.6,20,1014
2019-09-26 18:00:00,18.7,-146.0,20,1014
