time,lat,lon,vmax,mslp
2019-09-16 12:00:00,9.9,-107.0,25,1009
2019-09-16 15:00:00,9.9,-107.2,28,1009
2019-09-16 18:00:00,10.0,-107.3,30,1008
2019-09-16 21:00:00,10.1,-107.5,30,1008
2019-09-17 00:00:00,10.3,-107.6,30,1008
2019-09-17 03:00:00,10.5,-107.8,30,1008
2019-09-17 06:00:00,10.8,-107.9,30,1007
2019-09-17 09:00:00,11.1,-108.0,30,1007
2019-09-17 12:00:00,11.5,-108.1,30,1006
2019-09-17 15:00:00,11.8,-108.2,30,1006
2019-09-17 18:00:00,12.2,-108.4,30,1005
2019-09-17 21:00:00,12.6,-108.6,33,1005
2019-09-18 00:00:00,12.9,-108.9,35,1004
2019-09-18 03:00:00,13.2,-109.3,40,1003
2019-09-18 06:00:00,13.5,-109.7,45,1001
2019-09-18 09:00:00,13.8,-110.2,50,1000
2019-09-18 12:00:00,14.0,-110.6,55,998
2019-09-18 15:00:00,14.2,-111.0,58,997
2019-09-18 18:00:00,14.4,-111.4,60,996
2019-09-18 21:00:00,14.7,-111.7,60,996
2019-09-19 00:00:00,15.0,-111.8,60,995
2019-09-19 03:00:00,15.4,-111.9,58,995
2019-09-19 06:00:00,15.7,-111.8,55,995
2019-09-19 09:00:00,16.0,-111.7,55,995
2019-09-19 12:00:00,16.2,-111.5,55,995
2019-09-19 15:00:00,16.4,-111.3,55,995
2019-09-19 18:00:00,16.6,-111.1,55,995
2019-09-19 21:00:00,16.8,-110.9,55,995
2019-09-20 00:00:00,17.0,-110.7,55,994
2019-09-20 03:00:00,17.2,-110.5,55,994
2019-09-20 06:00:00,17.3,-110.4,55,993
2019-09-20 09:00:00,17.5,-110.2,55,993
2019-09-20 12:00:00,17.6,-110.1,55,992
2019-09-20 15:00:00,17.7,-110.0,55,992
2019-09-20 18:00:00,17.8,-110.0,55,991
2019-09-20 21:00:00,17.9,-110.0,55,991
2019-09-21 00:00:00,18.1,-110.1,55,991
2019-09-21 03:00:00,18.2,-110.2,53,993
2019-09-21 06:00:00,18.4,-110.2,50,995
2019-09-21 09:00:00,18.6,-110.3,48,997
2019-09-21 12:00:00,18.8,-110.3,45,998
2019-09-21 15:00:00,19.0,-110.3,43,1000
2019-09-21 18:00:00,19.3,-110.4,40,1002
2019-09-21 21:00:00,19.6,-110.5,38,1003
2019-09-22 00:00:00,20.0,-110.6,35,1004
2019-09-22 03:00:00,20.3,-110.8,33,1005
2019-09-22 06:00:00,20.7,-111.0,30,1005
2019-09-22 09:00:00,21.1,-111.2,30,1006
2019-09-22 12:00:00,21.5,-111.5,30,1006
2019-09-22 15:00:00,21.9,-111.8,30,1006
2019-09-22 18:00:00,22.3,-112.1,30,1006
2019-09-22 21:00:00,22.7,-112.4,30,1006
2019-09-23 00:00:00,23.1,-112.7,30,1006
2019-09-23 03:00:00,23.5,-113.0,28,1007
2019-09-23 06:00:00,23.9,-113.3,25,1007
2019-09-23 09:00:00,24.3,-113.7,25,1007
2019-09-23 12:00:00,24.6,-114.0,25,1007
2019-09-23 15:00:00,24.9,-114.3,25,1007
2019-09-23 18:00:00,25.1,-114.5,25,1007
2019-09-23 21:00:00,25.4,-114.6,23,1008
2019-09-24 00:00:00,25.7,-114.6,20,1008
2019-09-24 03:00:00,25.8,-114.5,20,1008
2019-09-24 06:00:00,25.9,-114.4,20,1008
2019-09-24 09:00:00,26.0,-114.3,20,1009
2019-09-24 12:00:00,26.0,-114.1,20,1009
2019-09-24 15:00:00,26.0,-114.0,20,1009
2019-09-24 18:00:00,26.0,-113.9,20,1009
