time,lat,lon,vmax,mslp
2019-09-17 06:00:00,12.3,-98.4,35,1006
2019-09-17 09:00:00,12.7,-99.0,38,1005
2019-09-17 12:00:00,13.2,-99.6,40,1004
2019-09-17 15:00:00,13.7,-100.2,40,1003
2019-09-17 18:00:00,14.1,-100.8,40,1002
2019-09-17 21:00:00,14.4,-101.3,43,1001
2019-09-18 00:00:00,14.8,-101.8,45,1000
2019-09-18 03:00:00,15.3,-102.1,48,999
2019-09-18 06:00:00,15.8,-102.4,50,998
2019-09-18 09:00:00,16.3,-102.7,53,997
2019-09-18 12:00:00,16.8,-103.1,55,995
2019-09-18 15:00:00,17.2,-103.5,58,993
2019-09-18 18:00:00,17.6,-103.8,60,990
2019-09-18 21:00:00,18.0,-104.0,65,988
2019-09-19 00:00:00,18.4,-104.2,70,985
2019-09-19 03:00:00,18.8,-104.5,68,988
2019-09-19 06:00:00,19.3,-104.8,65,990
2019-09-19 09:00:00,19.8,-105.2,63,992
2019-09-19 12:00:00,20.3,-105.6,60,994
2019-09-19 15:00:00,20.8,-106.1,58,994
2019-09-19 18:00:00,21.3,-106.7,55,994
2019-09-19 21:00:00,21.6,-107.1,55,994
2019-09-20 00:00:00,21.9,-107.5,55,994
2019-09-20 03:00:00,22.1,-107.9,58,993
2019-09-20 06:00:00,22.3,-108.2,60,992
2019-09-20 09:00:00,22.4,-108.5,63,991
2019-09-20 12:00:00,22.6,-108.8,65,989
2019-09-20 15:00:00,22.8,-109.0,70,988
2019-09-20 18:00:00,23.0,-109.2,75,986
2019-09-20 21:00:00,23.4,-109.3,73,987
2019-09-21 00:00:00,23.7,-109.5,70,987
2019-09-21 03:00:00,23.9,-109.8,70,987
2019-09-21 06:00:00,24.2,-110.2,60,989
2019-09-21 09:00:00,24.6,-110.4,58,992
2019-09-21 12:00:00,25.0,-110.6,55,994
2019-09-21 15:00:00,25.4,-110.8,50,998
2019-09-21 18:00:00,25.9,-111.0,45,1002
2019-09-21 21:00:00,26.4,-111.2,40,1003
2019-09-22 00:00:00,26.9,-111.4,35,1004
2019-09-22 03:00:00,27.4,-111.5,33,1005
2019-09-22 06:00:00,27.9,-111.5,30,1005
2019-09-22 09:00:00,28.2,-111.5,28,1006
2019-09-22 12:00:00,28.5,-111.5,25,1006
