time,lat,lon,vmax,mslp
2019-11-13 06:00:00,11.2,-111.8,25,1008
2019-11-13 09:00:00,11.2,-111.4,25,1008
2019-11-13 12:00:00,11.3,-111.0,25,1008
2019-11-13 15:00:00,11.4,-110.6,25,1008
2019-11-13 18:00:00,11.5,-110.2,25,1008
2019-11-13 21:00:00,11.7,-109.9,25,1008
2019-11-14 00:00:00,11.9,-109.6,25,1008
2019-11-14 03:00:00,12.0,-109.2,25,1008
2019-11-14 06:00:00,12.1,-108.8,25,1008
2019-11-14 09:00:00,12.1,-108.5,25,1008
2019-11-14 12:00:00,12.2,-108.3,25,1008
2019-11-14 15:00:00,12.3,-108.2,25,1008
2019-11-14 18:00:00,12.5,-108.2,25,1008
2019-11-14 21:00:00,12.6,-108.2,28,1008
2019-11-15 00:00:00,12.8,-108.3,30,1007
2019-11-15 03:00:00,13.0,-108.3,33,1007
2019-11-15 06:00:00,13.2,-108.4,35,1006
2019-11-15 09:00:00,13.5,-108.5,38,1005
2019-11-15 12:00:00,13.8,-108.7,40,1004
2019-11-15 15:00:00,14.1,-108.9,43,1003
2019-11-15 18:00:00,14.4,-109.1,45,1001
2019-11-15 21:00:00,14.7,-109.4,45,1001
2019-11-16 00:00:00,15.0,-109.8,45,1001
2019-11-16 03:00:00,15.3,-110.2,45,1001
2019-11-16 06:00:00,15.6,-110.6,45,1001
2019-11-16 09:00:00,15.8,-111.0,45,1001
2019-11-16 12:00:00,16.0,-111.3,45,1001
2019-11-16 15:00:00,16.2,-111.6,43,1002
2019-11-16 18:00:00,16.3,-111.8,40,1003
2019-11-16 21:00:00,16.4,-112.0,38,1004
2019-11-17 00:00:00,16.6,-112.0,35,1004
2019-11-17 03:00:00,16.8,-112.0,33,1005
2019-11-17 06:00:00,17.2,-111.8,30,1005
2019-11-17 09:00:00,17.7,-111.6,30,1005
2019-11-17 12:00:00,18.4,-111.3,30,1005
2019-11-17 15:00:00,19.2,-111.0,30,1005
2019-11-17 18:00:00,20.1,-110.7,30,1005
