time,lat,lon,vmax,mslp
2020-07-20 00:00:00,14.7,-118.8,30,1008
2020-07-20 03:00:00,14.5,-119.0,30,1008
2020-07-20 06:00:00,14.3,-119.1,30,1008
2020-07-20 09:00:00,14.1,-119.2,30,1008
2020-07-20 12:00:00,13.9,-119.4,30,1008
2020-07-20 15:00:00,13.7,-119.6,33,1007
2020-07-20 18:00:00,13.5,-120.0,35,1006
2020-07-20 21:00:00,13.4,-120.4,38,1005
2020-07-21 00:00:00,13.3,-121.0,40,1004
2020-07-21 03:00:00,13.2,-121.6,45,1003
2020-07-21 06:00:00,13.0,-122.3,50,1001
2020-07-21 09:00:00,12.8,-123.0,53,1000
2020-07-21 12:00:00,12.6,-123.6,55,998
2020-07-21 15:00:00,12.4,-124.2,55,998
2020-07-21 18:00:00,12.2,-124.8,55,998
2020-07-21 21:00:00,12.1,-125.4,55,998
2020-07-22 00:00:00,12.1,-126.1,55,998
2020-07-22 03:00:00,12.0,-126.8,55,998
2020-07-22 06:00:00,11.8,-127.5,55,998
2020-07-22 09:00:00,11.7,-128.2,58,997
2020-07-22 12:00:00,11.6,-128.9,60,996
2020-07-22 15:00:00,11.7,-129.6,65,993
2020-07-22 18:00:00,11.9,-130.3,70,989
2020-07-22 21:00:00,12.1,-131.0,75,985
2020-07-23 00:00:00,12.3,-131.8,80,981
2020-07-23 03:00:00,12.5,-132.5,90,974
2020-07-23 06:00:00,12.8,-133.3,100,967
2020-07-23 09:00:00,13.0,-134.1,103,966
2020-07-23 12:00:00,13.3,-134.9,105,964
2020-07-23 15:00:00,13.5,-135.7,108,962
2020-07-23 18:00:00,13.8,-136.5,110,959
2020-07-23 21:00:00,14.2,-137.3,113,957
2020-07-24 00:00:00,14.6,-138.0,115,954
2020-07-24 03:00:00,14.9,-138.7,115,954
2020-07-24 06:00:00,15.3,-139.5,115,954
2020-07-24 09:00:00,15.7,-140.3,110,958
2020-07-24 12:00:00,16.1,-141.1,105,962
2020-07-24 15:00:00,16.4,-141.9,103,965
2020-07-24 18:00:00,16.7,-142.7,100,967
2020-07-24 21:00:00,17.1,-143.5,100,967
2020-07-25 00:00:00,17.5,-144.3,100,967
2020-07-25 03:00:00,17.9,-145.1,98,970
2020-07-25 06:00:00,18.2,-145.9,95,972
2020-07-25 09:00:00,18.5,-146.8,93,974
2020-07-25 12:00:00,18.7,-147.6,90,975
2020-07-25 15:00:00,18.9,-148.4,88,979
2020-07-25 18:00:00,19.1,-149.2,85,982
2020-07-25 21:00:00,19.4,-150.0,83,982
2020-07-26 00:00:00,19.7,-150.7,80,982
2020-07-26 03:00:00,19.9,-151.4,80,983
2020-07-26 06:00:00,20.1,-152.1,80,983
2020-07-26 09:00:00,20.3,-152.8,80,983
2020-07-26 12:00:00,20.5,-153.6,80,983
2020-07-26 15:00:00,20.7,-154.4,78,985
2020-07-26 18:00:00,21.0,-155.1,75,987
2020-07-26 21:00:00,21.3,-155.9,75,988
2020-07-27 00:00:00,21.7,-156.6,75,989
2020-07-27 03:00:00,22.0,-157.3,78,988
2020-07-27 06:00:00,22.3,-158.1,80,987
2020-07-27 09:00:00,22.5,-158.9,80,987
2020-07-27 12:00:00,22.7,-159.7,80,987
2020-07-27 15:00:00,22.8,-160.6,75,990
2020-07-27 18:00:00,22.8,-161.4,70,992
2020-07-27 21:00:00,22.8,-162.1,65,994
2020-07-28 00:00:00,22.9,-162.8,60,996
2020-07-28 03:00:00,23.0,-163.5,55,998
2020-07-28 06:00:00,23.2,-164.2,50,999
2020-07-28 09:00:00,23.5,-164.9,48,1001
2020-07-28 12:00:00,23.8,-165.7,45,1003
2020-07-28 15:00:00,24.0,-166.6,43,1005
2020-07-28 18:00:00,24.2,-167.7,40,1006
2020-07-28 21:00:00,24.3,-168.8,40,1006
2020-07-29 00:00:00,24.4,-169.9,40,1006
2020-07-29 03:00:00,24.5,-171.0,38,1008
2020-07-29 06:00:00,24.6,-172.1,35,1010
2020-07-29 09:00:00,24.6,-173.3,33,1011
2020-07-29 12:00:00,24.6,-174.4,30,1012
2020-07-29 15:00:00,24.7,-175.4,30,1013
2020-07-29 18:00:00,24.8,-176.4,30,1013
2020-07-29 21:00:00,24.9,-177.3,30,1013
2020-07-30 00:00:00,25.0,-178.1,30,1013
