time,lat,lon,vmax,mslp
2020-09-26 06:00:00,18.7,160.2,20.0,1006.0
2020-09-26 09:00:00,18.8,160.0,20.0,1006.0
2020-09-26 12:00:00,19.1,159.8,20.0,1006.0
2020-09-26 15:00:00,19.5,159.5,23.0,1006.0
2020-09-26 18:00:00,20.0,159.1,25.0,1005.0
2020-09-26 21:00:00,20.4,158.8,28.0,1005.0
2020-09-27 00:00:00,20.8,158.5,30.0,1004.0
2020-09-27 03:00:00,21.3,158.1,30.0,1003.0
2020-09-27 06:00:00,21.9,157.7,30.0,1002.0
2020-09-27 09:00:00,22.6,157.1,33.0,1001.0
2020-09-27 12:00:00,23.4,156.5,35.0,1000.0
2020-09-27 15:00:00,24.2,155.9,35.0,999.0
2020-09-27 18:00:00,25.0,155.3,35.0,998.0
2020-09-27 21:00:00,25.9,154.5,38.0,999.0
2020-09-28 00:00:00,26.8,153.8,40.0,999.0
2020-09-28 03:00:00,27.5,153.4,43.0,996.0
2020-09-28 06:00:00,28.0,153.2,45.0,993.0
2020-09-28 09:00:00,28.3,153.1,45.0,993.0
2020-09-28 12:00:00,28.8,153.1,45.0,992.0
2020-09-28 15:00:00,29.7,153.2,48.0,990.0
2020-09-28 18:00:00,30.7,153.5,50.0,988.0
2020-09-28 21:00:00,31.6,153.8,55.0,984.0
2020-09-29 00:00:00,32.6,154.1,60.0,980.0
2020-09-29 03:00:00,33.7,154.6,63.0,977.0
2020-09-29 06:00:00,34.8,155.1,65.0,974.0
2020-09-29 09:00:00,35.7,155.6,65.0,976.0
2020-09-29 12:00:00,36.5,156.3,65.0,977.0
2020-09-29 15:00:00,37.3,157.1,60.0,980.0
2020-09-29 18:00:00,38.1,158.1,55.0,982.0
2020-09-29 21:00:00,39.0,159.1,55.0,983.0
2020-09-30 00:00:00,39.7,160.3,55.0,984.0
2020-09-30 03:00:00,40.2,161.6,50.0,989.0
2020-09-30 06:00:00,40.6,163.1,45.0,993.0
2020-09-30 09:00:00,40.9,164.8,43.0,996.0
2020-09-30 12:00:00,41.2,166.5,40.0,999.0
