time,lat,lon,vmax,mslp
2021-04-11 12:00:00,5.5,143.8,20.0,1007.0
2021-04-11 15:00:00,5.6,143.5,20.0,1006.0
2021-04-11 18:00:00,5.6,143.1,20.0,1005.0
2021-04-11 21:00:00,5.6,142.7,20.0,1005.0
2021-04-12 00:00:00,5.7,142.3,20.0,1005.0
2021-04-12 03:00:00,5.9,141.9,20.0,1005.0
2021-04-12 06:00:00,6.1,141.5,20.0,1005.0
2021-04-12 09:00:00,6.3,141.1,20.0,1005.0
2021-04-12 12:00:00,6.5,140.6,20.0,1005.0
2021-04-12 15:00:00,6.7,140.1,20.0,1006.0
2021-04-12 18:00:00,6.9,139.7,20.0,1006.0
2021-04-12 21:00:00,7.1,139.4,20.0,1006.0
2021-04-13 00:00:00,7.4,139.2,20.0,1006.0
2021-04-13 03:00:00,7.7,139.0,23.0,1005.0
2021-04-13 06:00:00,7.9,138.8,25.0,1003.0
2021-04-13 09:00:00,8.0,138.5,25.0,1004.0
2021-04-13 12:00:00,8.0,138.3,25.0,1004.0
2021-04-13 15:00:00,8.1,138.1,28.0,1003.0
2021-04-13 18:00:00,8.2,137.9,30.0,1001.0
2021-04-13 21:00:00,8.3,137.7,33.0,1000.0
2021-04-14 00:00:00,8.4,137.6,35.0,998.0
2021-04-14 03:00:00,8.6,137.4,35.0,998.0
2021-04-14 06:00:00,8.7,137.3,35.0,997.0
2021-04-14 09:00:00,8.8,137.2,38.0,999.0
2021-04-14 12:00:00,8.8,137.1,40.0,1001.0
2021-04-14 15:00:00,8.9,137.0,43.0,997.0
2021-04-14 18:00:00,8.9,136.8,45.0,993.0
2021-04-14 21:00:00,8.9,136.7,48.0,993.0
2021-04-15 00:00:00,8.9,136.5,50.0,992.0
2021-04-15 03:00:00,8.8,136.4,53.0,990.0
2021-04-15 06:00:00,8.7,136.2,55.0,987.0
2021-04-15 09:00:00,8.6,136.0,58.0,987.0
2021-04-15 12:00:00,8.6,135.7,60.0,986.0
2021-04-15 15:00:00,8.6,135.5,65.0,983.0
2021-04-15 18:00:00,8.6,135.2,70.0,980.0
2021-04-15 21:00:00,8.7,134.9,73.0,979.0
2021-04-16 00:00:00,8.9,134.6,75.0,978.0
2021-04-16 03:00:00,9.0,134.1,78.0,975.0
2021-04-16 06:00:00,9.1,133.7,80.0,972.0
2021-04-16 09:00:00,9.2,133.4,88.0,967.0
2021-04-16 12:00:00,9.4,133.1,95.0,962.0
2021-04-16 15:00:00,9.7,132.6,103.0,955.0
2021-04-16 18:00:00,10.0,132.1,110.0,947.0
2021-04-16 21:00:00,10.3,131.6,118.0,941.0
2021-04-17 00:00:00,10.7,131.1,125.0,935.0
2021-04-17 03:00:00,11.1,130.6,143.0,915.0
2021-04-17 06:00:00,11.4,130.1,160.0,895.0
2021-04-17 09:00:00,11.7,129.6,165.0,889.0
2021-04-17 12:00:00,12.0,129.2,170.0,882.0
2021-04-17 15:00:00,12.3,128.8,168.0,885.0
2021-04-17 18:00:00,12.6,128.4,165.0,888.0
2021-04-17 21:00:00,12.9,128.0,160.0,895.0
2021-04-18 00:00:00,13.1,127.7,155.0,902.0
2021-04-18 03:00:00,13.3,127.3,145.0,913.0
2021-04-18 06:00:00,13.4,127.0,135.0,924.0
2021-04-18 09:00:00,13.5,126.9,130.0,928.0
2021-04-18 12:00:00,13.6,126.8,125.0,932.0
2021-04-18 15:00:00,13.7,126.6,125.0,932.0
2021-04-18 18:00:00,13.9,126.5,125.0,932.0
2021-04-18 21:00:00,14.0,126.4,125.0,932.0
2021-04-19 00:00:00,14.2,126.4,125.0,931.0
2021-04-19 03:00:00,14.4,126.3,125.0,931.0
2021-04-19 06:00:00,14.5,126.3,125.0,930.0
2021-04-19 09:00:00,14.6,126.3,123.0,933.0
2021-04-19 12:00:00,14.7,126.3,120.0,935.0
2021-04-19 15:00:00,14.9,126.3,118.0,938.0
2021-04-19 18:00:00,15.1,126.2,115.0,940.0
2021-04-19 21:00:00,15.2,126.2,115.0,940.0
2021-04-20 00:00:00,15.4,126.2,115.0,939.0
2021-04-20 03:00:00,15.6,126.1,120.0,934.0
2021-04-20 06:00:00,15.9,126.0,125.0,929.0
2021-04-20 09:00:00,16.1,126.0,123.0,932.0
2021-04-20 12:00:00,16.4,125.9,120.0,935.0
2021-04-20 15:00:00,16.6,125.7,118.0,938.0
2021-04-20 18:00:00,16.9,125.5,115.0,940.0
2021-04-20 21:00:00,17.2,125.3,115.0,941.0
2021-04-21 00:00:00,17.5,125.2,115.0,941.0
2021-04-21 03:00:00,17.8,125.0,115.0,941.0
2021-04-21 06:00:00,18.1,124.9,115.0,940.0
2021-04-21 09:00:00,18.5,124.8,115.0,941.0
2021-04-21 12:00:00,18.8,124.8,115.0,942.0
2021-04-21 15:00:00,19.1,124.8,110.0,945.0
2021-04-21 18:00:00,19.3,124.8,105.0,948.0
2021-04-21 21:00:00,19.5,124.9,103.0,951.0
2021-04-22 00:00:00,19.7,125.0,100.0,954.0
2021-04-22 03:00:00,20.0,125.1,100.0,954.0
2021-04-22 06:00:00,20.3,125.3,100.0,953.0
2021-04-22 09:00:00,20.7,125.7,98.0,956.0
2021-04-22 12:00:00,21.1,126.1,95.0,958.0
2021-04-22 15:00:00,21.4,126.5,93.0,960.0
2021-04-22 18:00:00,21.6,126.9,90.0,962.0
2021-04-22 21:00:00,21.9,127.4,85.0,967.0
2021-04-23 00:00:00,22.3,128.0,80.0,972.0
2021-04-23 03:00:00,22.6,128.6,78.0,974.0
2021-04-23 06:00:00,22.9,129.2,75.0,975.0
2021-04-23 09:00:00,23.2,129.6,68.0,979.0
2021-04-23 12:00:00,23.3,129.9,60.0,983.0
2021-04-23 15:00:00,23.3,130.2,58.0,984.0
2021-04-23 18:00:00,23.2,130.5,55.0,985.0
2021-04-23 21:00:00,23.1,130.8,50.0,988.0
2021-04-24 00:00:00,23.0,131.2,45.0,990.0
2021-04-24 03:00:00,22.9,131.5,45.0,989.0
2021-04-24 06:00:00,22.7,131.9,45.0,988.0
2021-04-24 09:00:00,22.5,132.3,43.0,990.0
2021-04-24 12:00:00,22.2,132.8,40.0,991.0
2021-04-24 15:00:00,21.9,133.4,40.0,992.0
2021-04-24 18:00:00,21.7,134.1,40.0,992.0
2021-04-24 21:00:00,21.7,135.0,35.0,996.0
2021-04-25 00:00:00,22.0,136.1,30.0,1000.0
2021-04-25 03:00:00,22.4,137.3,33.0,999.0
2021-04-25 06:00:00,22.9,138.5,35.0,997.0
