time,lat,lon,vmax,mslp
2021-05-08 12:00:00,12.7,-105.6,25,1009
2021-05-08 15:00:00,12.8,-106.0,25,1009
2021-05-08 18:00:00,12.9,-106.4,25,1008
2021-05-08 21:00:00,13.0,-106.7,25,1008
2021-05-09 00:00:00,13.1,-107.0,25,1007
2021-05-09 03:00:00,13.2,-107.3,28,1007
2021-05-09 06:00:00,13.4,-107.5,30,1006
2021-05-09 09:00:00,13.5,-107.7,33,1006
2021-05-09 12:00:00,13.7,-107.9,35,1005
2021-05-09 15:00:00,13.8,-108.1,35,1005
2021-05-09 18:00:00,14.0,-108.3,35,1005
2021-05-09 21:00:00,14.2,-108.5,35,1005
2021-05-10 00:00:00,14.4,-108.7,35,1005
2021-05-10 03:00:00,14.6,-108.9,35,1005
2021-05-10 06:00:00,14.8,-109.0,35,1005
2021-05-10 09:00:00,15.0,-109.1,35,1005
2021-05-10 12:00:00,15.3,-109.3,35,1005
2021-05-10 15:00:00,15.5,-109.5,33,1006
2021-05-10 18:00:00,15.7,-109.7,30,1006
2021-05-10 21:00:00,15.8,-109.9,28,1007
2021-05-11 00:00:00,15.8,-110.1,25,1007
2021-05-11 03:00:00,15.9,-110.3,25,1007
2021-05-11 06:00:00,15.9,-110.6,25,1007
2021-05-11 09:00:00,15.9,-110.8,23,1008
2021-05-11 12:00:00,15.9,-111.1,20,1008
2021-05-11 15:00:00,15.9,-111.4,20,1009
2021-05-11 18:00:00,15.9,-111.7,20,1009
2021-05-11 21:00:00,15.9,-112.0,20,1009
2021-05-12 00:00:00,15.9,-112.4,20,1009
2021-05-12 03:00:00,15.9,-112.7,20,1009
2021-05-12 06:00:00,15.9,-113.1,20,1009
2021-05-12 09:00:00,15.8,-113.5,20,1009
2021-05-12 12:00:00,15.7,-114.0,20,1009
