time,lat,lon,vmax,mslp
2021-07-17 00:00:00,15.0,-105.6,25,1007
2021-07-17 03:00:00,15.4,-106.3,28,1007
2021-07-17 06:00:00,15.7,-107.0,30,1006
2021-07-17 09:00:00,16.0,-107.7,33,1006
2021-07-17 12:00:00,16.3,-108.3,35,1005
2021-07-17 15:00:00,16.6,-108.8,35,1005
2021-07-17 18:00:00,16.8,-109.3,35,1005
2021-07-17 21:00:00,17.0,-109.8,35,1005
2021-07-18 00:00:00,17.2,-110.3,35,1005
2021-07-18 03:00:00,17.3,-110.8,38,1004
2021-07-18 06:00:00,17.5,-111.2,40,1003
2021-07-18 09:00:00,17.7,-111.7,43,1002
2021-07-18 12:00:00,17.9,-112.2,45,1001
2021-07-18 15:00:00,18.1,-112.8,48,1000
2021-07-18 18:00:00,18.3,-113.4,50,999
2021-07-18 21:00:00,18.5,-114.0,48,1000
2021-07-19 00:00:00,18.6,-114.6,45,1001
2021-07-19 03:00:00,18.7,-115.3,40,1003
2021-07-19 06:00:00,18.8,-116.0,35,1004
2021-07-19 09:00:00,18.9,-116.7,35,1005
2021-07-19 12:00:00,19.0,-117.4,35,1005
2021-07-19 15:00:00,19.1,-118.2,35,1006
2021-07-19 18:00:00,19.2,-119.1,35,1006
2021-07-19 21:00:00,19.2,-120.1,33,1007
2021-07-20 00:00:00,19.2,-121.0,30,1007
2021-07-20 03:00:00,19.2,-121.9,30,1007
2021-07-20 06:00:00,19.1,-122.7,30,1007
2021-07-20 09:00:00,19.1,-123.5,30,1007
2021-07-20 12:00:00,19.0,-124.3,30,1007
2021-07-20 15:00:00,18.9,-125.1,30,1007
2021-07-20 18:00:00,18.8,-125.8,30,1007
2021-07-20 21:00:00,18.7,-126.5,30,1007
2021-07-21 00:00:00,18.5,-127.2,30,1007
