time,lat,lon,vmax,mslp
2021-08-07 00:00:00,7.7,-167.0,15.0,1012.0
2021-08-07 03:00:00,7.8,-167.4,18.0,1012.0
2021-08-07 06:00:00,7.8,-167.8,20.0,1011.0
2021-08-07 09:00:00,7.8,-168.1,20.0,1011.0
2021-08-07 12:00:00,8.0,-168.4,20.0,1011.0
2021-08-07 15:00:00,8.4,-168.6,23.0,1011.0
2021-08-07 18:00:00,8.8,-168.8,25.0,1011.0
2021-08-07 21:00:00,9.2,-169.0,25.0,1011.0
2021-08-08 00:00:00,9.5,-169.4,25.0,1011.0
2021-08-08 03:00:00,9.7,-169.9,23.0,1011.0
2021-08-08 06:00:00,9.9,-170.5,20.0,1010.0
2021-08-08 09:00:00,10.0,-171.2,20.0,1011.0
2021-08-08 12:00:00,10.0,-171.9,20.0,1011.0
2021-08-08 15:00:00,10.1,-172.3,20.0,1011.0
2021-08-08 18:00:00,10.3,-172.5,20.0,1011.0
2021-08-08 21:00:00,10.3,-172.6,20.0,1011.0
2021-08-09 00:00:00,10.5,-173.0,20.0,1011.0
2021-08-09 03:00:00,11.0,-174.0,20.0,1011.0
2021-08-09 06:00:00,11.5,-175.1,20.0,1011.0
2021-08-09 09:00:00,11.7,-175.7,20.0,1011.0
2021-08-09 12:00:00,11.7,-176.4,20.0,1011.0
2021-08-09 15:00:00,11.9,-177.7,20.0,1009.0
2021-08-09 18:00:00,12.0,-178.9,20.0,1007.0
2021-08-09 21:00:00,12.1,-179.5,20.0,1007.0
2021-08-10 00:00:00,12.1,-179.8,20.0,1007.0
2021-08-10 03:00:00,12.1,179.8,23.0,1009.0
2021-08-10 06:00:00,12.1,179.4,25.0,1011.0
2021-08-10 09:00:00,12.1,179.0,25.0,1009.0
2021-08-10 12:00:00,12.1,178.7,25.0,1007.0
2021-08-10 15:00:00,12.1,178.4,33.0,1006.0
2021-08-10 18:00:00,12.2,178.1,40.0,1005.0
2021-08-10 21:00:00,12.2,177.7,38.0,1006.0
2021-08-11 00:00:00,12.2,177.2,35.0,1006.0
2021-08-11 03:00:00,12.3,176.8,33.0,1006.0
2021-08-11 06:00:00,12.3,176.5,30.0,1006.0
2021-08-11 09:00:00,12.3,176.2,30.0,1007.0
2021-08-11 12:00:00,12.2,175.8,30.0,1008.0
2021-08-11 15:00:00,12.2,175.4,30.0,1008.0
2021-08-11 18:00:00,12.2,175.0,30.0,1007.0
2021-08-11 21:00:00,12.4,174.5,30.0,1006.0
2021-08-12 00:00:00,12.6,174.0,30.0,1004.0
2021-08-12 03:00:00,12.7,173.4,30.0,1004.0
2021-08-12 06:00:00,12.8,172.7,30.0,1004.0
2021-08-12 09:00:00,12.8,171.9,30.0,1004.0
2021-08-12 12:00:00,12.7,171.2,30.0,1003.0
2021-08-12 15:00:00,12.6,170.5,33.0,1004.0
2021-08-12 18:00:00,12.6,169.9,35.0,1004.0
2021-08-12 21:00:00,12.7,169.1,35.0,1006.0
2021-08-13 00:00:00,12.7,168.4,35.0,1007.0
2021-08-13 03:00:00,12.6,167.8,38.0,1006.0
2021-08-13 06:00:00,12.5,167.3,40.0,1004.0
2021-08-13 09:00:00,12.5,166.7,35.0,1006.0
2021-08-13 12:00:00,12.5,166.0,30.0,1008.0
2021-08-13 15:00:00,12.4,165.5,28.0,1008.0
